config,lam,w,nu_c,a_c,fpr_chi2,fpr_zi_simple,fpr_opt1,fpr_opt2
"p=0.50, N=1000",250.0,1.0,0.9884078305632955,1.0059653850496053,0.04935,0.04935,0.0499,0.04935
"p=0.50, N=200",50.0,1.0,1.0005476891159775,1.0110478312506839,0.0528,0.0528,0.0515,0.0528
"p=0.50, N=50",12.5,0.999996273346828,1.0139293457436724,1.0214263889095325,0.0572,0.0572,0.05105,0.0572
"p=0.50, N=20",5.0,0.9932620530009145,0.9719909733391028,1.1103463547202392,0.0568,0.0568,0.05315,0.0568
"p=0.10, N=500",5.000000000000001,0.9932620530009145,1.0976775331519921,0.9225282649144583,0.0569,0.0571,0.06075,0.0569
"p=0.10, N=100",1.0000000000000002,0.6321205588285578,0.7000544844013192,1.1021182432113334,0.03375,0.06705,0.1147,0.1147
"p=0.10, N=50",0.5000000000000001,0.3934693402873667,1.1178538966174127,1.065724742690434,0.0273,0.0782,0.0552,0.0552
"p=0.05, N=200",0.5000000000000001,0.3934693402873667,1.1726315383822972,0.9518138640042861,0.02215,0.0604,0.04935,0.04935
"p=0.05, N=100",0.25000000000000006,0.22119921692859512,2.4354811375890546,0.7639958671285519,0.02205,0.1142,0.0428,0.0428
"p=0.05, N=50",0.12500000000000003,0.11750309741540466,3.8469510222496486,0.7353140697041379,0.02985,0.1816,0.04365,0.04365
"p=0.05, N=20",0.05000000000000001,0.048770575499285984,6.088099687569518,0.6758693549305188,0.02755,,,
"p=0.01, N=500",0.05,0.048770575499285984,13.693880104240819,0.31525596614677354,0.0273,,,
