group,education,income,count
Female,Preschool,<=50K,24
Female,Preschool,>50K,0
Female,1st-4th,<=50K,61
Female,1st-4th,>50K,0
Female,5th-6th,<=50K,123
Female,5th-6th,>50K,4
Female,7th-8th,<=50K,238
Female,7th-8th,>50K,1
Female,9th,<=50K,215
Female,9th,>50K,5
Female,10th,<=50K,453
Female,10th,>50K,4
Female,11th,<=50K,639
Female,11th,>50K,11
Female,12th,<=50K,207
Female,12th,>50K,4
Female,HS-grad,<=50K,4767
Female,HS-grad,>50K,330
Female,Some-college,<=50K,3885
Female,Some-college,>50K,293
Female,Assoc-voc,<=50K,641
Female,Assoc-voc,>50K,93
Female,Assoc-acdm,<=50K,541
Female,Assoc-acdm,>50K,86
Female,Bachelors,<=50K,1956
Female,Bachelors,>50K,521
Female,Masters,<=50K,555
Female,Masters,>50K,290
Female,Prof-school,<=50K,69
Female,Prof-school,>50K,63
Female,Doctorate,<=50K,49
Female,Doctorate,>50K,64
Male,Preschool,<=50K,58
Male,Preschool,>50K,1
Male,1st-4th,<=50K,178
Male,1st-4th,>50K,8
Male,5th-6th,<=50K,359
Male,5th-6th,>50K,23
Male,7th-8th,<=50K,655
Male,7th-8th,>50K,61
Male,9th,<=50K,500
Male,9th,>50K,36
Male,10th,<=50K,849
Male,10th,>50K,83
Male,11th,<=50K,1081
Male,11th,>50K,81
Male,12th,<=50K,402
Male,12th,>50K,44
Male,HS-grad,<=50K,8514
Male,HS-grad,>50K,2173
Male,Some-college,<=50K,4930
Male,Some-college,>50K,1770
Male,Assoc-voc,<=50K,898
Male,Assoc-voc,>50K,429
Male,Assoc-acdm,<=50K,647
Male,Assoc-acdm,>50K,327
Male,Bachelors,<=50K,2756
Male,Bachelors,>50K,2792
Male,Masters,<=50K,643
Male,Masters,>50K,1169
Male,Prof-school,<=50K,148
Male,Prof-school,>50K,554
Male,Doctorate,<=50K,114
Male,Doctorate,>50K,367
