n_p,n_q,mi_p_plugin,mi_q_plugin,mi_p_jackknife,mi_q_jackknife,delta_plugin,delta_jackknife,standard_error,z_plugin,z_jackknife,wald_plugin_p,wald_jackknife_p,naive_perm_plugin_p,student_perm_plugin_p,student_perm_jackknife_p,valid_studentization,permutations,deterministic_seconds,permutation_seconds,scenario_id,family,regular,replicate,scenario_seed,true_delta,zero_cells_p,zero_cells_q
300,300,0.03156647218017272,0.07444502899432331,0.024767911794072006,0.06394442833783387,-0.04287855681415059,-0.03917651654376186,0.029786834732756957,-1.439513704589649,-1.3152292580009837,0.1500050299103384,0.18843286489143063,0.292,0.158,0.206,True,499,0.00020595896057784557,0.0007367079379037023,curve_effect_d02_n300,power,True,0,3674827978,-0.01999999999999985,0,0
300,300,0.06564523288943236,0.04968793849744946,0.05883221039817954,0.041184668288622106,0.0159572943919829,0.017647542109557435,0.029645669265488644,0.538267301341017,0.5952822974417189,0.5903925224079489,0.551654787028685,0.734,0.59,0.56,True,499,0.00012591597624123096,0.0007071249419823289,curve_effect_d02_n300,power,True,1,3674827978,-0.01999999999999985,0,1
300,300,0.0402647565349985,0.06232199634274377,0.033459654030821184,0.05271576257166544,-0.022057239807745266,-0.019256108540844252,0.02925325379304145,-0.754009791997637,-0.658255272287856,0.45084334200516174,0.5103741136062301,0.594,0.448,0.484,True,499,0.00012104096822440624,0.0007243329891934991,curve_effect_d02_n300,power,True,2,3674827978,-0.01999999999999985,0,0
300,300,0.03660128530836215,0.14629201312003592,0.029799395778695725,0.14219696340850874,-0.10969072781167377,-0.11239756762981301,0.036928922923691515,-2.9703202565191087,-3.0436188962799418,0.002974894378769745,0.002337510525497476,0.018,0.004,0.004,True,499,0.00011479202657938004,0.0007251659408211708,curve_effect_d02_n300,power,True,3,3674827978,-0.01999999999999985,0,2
300,300,0.059325737835598025,0.10716004127629297,0.05251488122473802,0.09808679983214574,-0.04783430344069495,-0.045571918607407724,0.0347322594765928,-1.3772298192385681,-1.3120919656298238,0.16844120528986295,0.18948910651488482,0.278,0.192,0.208,True,499,0.00012095796409994364,0.0007263750303536654,curve_effect_d02_n300,power,True,4,3674827978,-0.01999999999999985,0,0
300,300,0.05988311835431648,0.07004366013773394,0.053073459141955937,0.059634531442355865,-0.010160541783417465,-0.006561072300399928,0.03153296022525159,-0.32221972535521437,-0.20807029386178033,0.7472862420709647,0.8351740815999658,0.82,0.74,0.84,True,499,0.00012104108463972807,0.0007280000718310475,curve_effect_d02_n300,power,True,5,3674827978,-0.01999999999999985,0,0
300,300,0.0425871080139566,0.08018483647324404,0.03577687010886166,0.07295056069874306,-0.03759772845928744,-0.0371736905898814,0.03135286350776222,-1.1991800509697985,-1.1856553574660917,0.23045794245939355,0.23575843121775186,0.386,0.254,0.258,True,499,0.00011854199692606926,0.0007501249201595783,curve_effect_d02_n300,power,True,6,3674827978,-0.01999999999999985,0,1
300,300,0.06368689543724537,0.09588656860290018,0.056871634965204976,0.08547046469240627,-0.03219967316565481,-0.02859882972720129,0.03466890122873267,-0.9287768583495969,-0.8249130694542849,0.3530047398209619,0.4094209458130562,0.508,0.386,0.452,True,499,0.0001235411036759615,0.0007399580208584666,curve_effect_d02_n300,power,True,7,3674827978,-0.01999999999999985,0,0
300,300,0.059997632123721445,0.14826594506474988,0.053187198357079524,0.13752167429530004,-0.08826831294102844,-0.08433447593822052,0.04054350909914784,-2.177125633727735,-2.080098092446396,0.02947119495654408,0.037516536537360735,0.064,0.03,0.04,True,499,0.00012812507338821888,0.0008232910186052322,curve_effect_d02_n300,power,True,8,3674827978,-0.01999999999999985,0,0
300,300,0.012216757741315254,0.032215800196403244,0.005425048897109264,0.024285055011318946,-0.01999904245508799,-0.018860006114209682,0.019334370032550553,-1.0343777646449521,-0.9754652508697076,0.3009595951232983,0.32932953044995816,0.59,0.286,0.318,True,499,0.00015125004574656487,0.0007130829617381096,curve_effect_d02_n300,power,True,9,3674827978,-0.01999999999999985,0,0
