rows,columns,sample_size,manual_mi_nats,jidt_mi_bits,jidt_mi_nats,absolute_mi_error_nats,g_statistic,jidt_bits_statistic,degrees_of_freedom,scipy_chi2_p,scipy_jidt_bits_p,jidt_analytic_p,jidt_vs_standard_p_difference,jidt_bits_convention_p_error
2,2,100,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0
2,2,100,0.6931471805599453,1.0,0.6931471805599453,0.0,138.62943611198907,200.0,1,5.308044762406675e-32,2.0884875837625688e-45,0.0,-5.308044762406675e-32,2.0884875837625688e-45
2,2,50,0.28957384378203754,0.41776674839550054,0.28957384378203727,2.7755575615628914e-16,28.957384378203756,41.776674839550054,1,7.398822229722561e-08,1.0231677262074827e-10,1.0231682168182488e-10,-7.388590547554378e-08,4.9061076608411513e-17
2,3,29,0.23170362420041934,0.3342776695899449,0.2317036242004193,5.551115123125783e-17,13.438810203624321,19.388104836216804,2,0.0012072561948966883,6.164906972365509e-05,6.164906972361273e-05,-0.0011456071251730756,4.2365199889871086e-17
2,2,200,0.3940618015151778,0.5685110068497179,0.3940618015151777,5.551115123125783e-17,157.62472060607112,227.40440273988716,1,3.738022043641695e-36,2.1948899829448213e-51,0.0,-3.738022043641695e-36,2.1948899829448213e-51
2,5,213,0.19935742338427498,0.28761196608089523,0.19935742338427515,1.6653345369377348e-16,84.92626236170113,122.52269755046137,4,1.5725970421393913e-17,1.5443751239058506e-25,0.0,-1.5725970421393913e-17,1.5443751239058506e-25
3,3,226,0.3144104382397852,0.4535983800522639,0.31441043823978526,5.551115123125783e-17,142.11351808438292,205.02646778362327,4,9.956721752629596e-30,3.1193497765585573e-43,0.0,-9.956721752629596e-30,3.1193497765585573e-43
4,7,239,0.28914439650867085,0.41714718694389247,0.28914439650867146,6.106226635438361e-16,138.21102153114467,199.3963553591806,18,1.4157096911593718e-20,1.3229144939141914e-32,0.0,-1.4157096911593718e-20,1.3229144939141914e-32
10,10,252,0.5846375019504335,0.843453624781602,0.5846375019504334,1.1102230246251565e-16,294.6573009830185,425.1006268899274,81,4.877337168364658e-26,4.025109943118168e-48,0.0,-4.877337168364658e-26,4.025109943118168e-48
2,2,265,0.18789708240759184,0.271078188986938,0.18789708240759206,2.220446049250313e-16,99.58545367602368,143.67144016307714,1,1.8787932599714592e-23,4.192046111222484e-33,0.0,-1.8787932599714592e-23,4.192046111222484e-33
2,5,278,0.16623614490269212,0.23982806186761296,0.16623614490269206,5.551115123125783e-17,92.42729656589682,133.34440239839282,4,4.0154583218253566e-19,7.499653974817752e-28,0.0,-4.0154583218253566e-19,7.499653974817752e-28
3,3,291,0.22013680255185286,0.31759027335871093,0.22013680255185278,8.326672684688674e-17,128.11961908517836,184.83753909476977,4,9.828584854362011e-27,6.81510425687968e-39,0.0,-9.828584854362011e-27,6.81510425687968e-39
4,7,304,0.3201906001667949,0.46193739099989567,0.32019060016679474,1.6653345369377348e-16,194.6758849014113,280.85793372793654,18,1.159382720510495e-31,4.091536342343019e-49,0.0,-1.159382720510495e-31,4.091536342343019e-49
10,10,317,0.5708919528248075,0.823622989223766,0.5708919528248075,0.0,361.94549809092797,522.1769751678677,81,3.776553689483451e-37,1.0850821075444541e-65,0.0,-3.776553689483451e-37,1.0850821075444541e-65
2,2,330,0.0446863423455236,0.06446876449735335,0.04468634234552357,2.7755575615628914e-17,29.492985948045575,42.54938456825321,1,5.611942974220575e-08,6.891995184692801e-11,6.891998083347062e-11,-5.6050509761372276e-08,2.898654260889272e-17
2,5,343,0.2711094781535035,0.39112829967005386,0.2711094781535032,2.7755575615628914e-16,185.9811020133034,268.31401357365695,4,3.8708026015771786e-39,7.365306241709609e-57,0.0,-3.8708026015771786e-39,7.365306241709609e-57
3,3,356,0.2489286248304179,0.35912809257815315,0.24892862483041786,2.7755575615628914e-17,177.23718087925755,255.69920191564503,4,2.923030095556736e-37,3.8521826278892667e-54,0.0,-2.923030095556736e-37,3.8521826278892667e-54
4,7,369,0.3091195253980552,0.445965206333724,0.30911952539805504,1.6653345369377348e-16,228.13020974376474,329.1223222742883,18,2.2137771700423184e-38,4.770868605621957e-59,0.0,-2.2137771700423184e-38,4.770868605621957e-59
10,10,382,0.5013414991248126,0.7232828945792057,0.5013414991248125,1.1102230246251565e-16,383.0249053313569,552.5881314585132,81,9.211088097758677e-41,2.503965358237856e-71,0.0,-9.211088097758677e-41,2.503965358237856e-71
2,2,395,0.032838295749839985,0.047375646429539085,0.03283829574983985,1.3183898417423734e-16,25.94225364237359,37.42676067933588,1,3.517842132544588e-07,9.491087956184591e-10,9.491087915591834e-10,-3.508351044628996e-07,4.059275739155217e-18
2,5,408,0.1814846483582171,0.26182700218387694,0.18148464835821695,1.3877787807814457e-16,148.09147306030513,213.65083378204358,4,5.22000886796146e-31,4.355440279217218e-45,0.0,-5.22000886796146e-31,4.355440279217218e-45
3,3,421,0.08601610257951287,0.12409500462805978,0.086016102579513,1.3877787807814457e-16,72.42555837194983,104.48799389682634,4,6.977212193128205e-15,1.0889076843545927e-21,0.0,-6.977212193128205e-15,1.0889076843545927e-21
4,7,434,0.24192031768082778,0.34901724260841316,0.24192031768082797,1.942890293094024e-16,209.98683574695852,302.9469665841026,18,9.994766788899359e-35,1.192540332238498e-53,0.0,-9.994766788899359e-35,1.192540332238498e-53
10,10,447,0.5151815029748659,0.7432497994995623,0.5151815029748662,3.3306690738754696e-16,460.5722636595301,664.4653207526087,81,1.8602830800923285e-54,1.801670134195121e-92,0.0,-1.8602830800923285e-54,1.801670134195121e-92
2,2,460,0.13386835791021334,0.1931312160890138,0.13386835791021345,1.1102230246251565e-16,123.15888927739627,177.68071880189268,1,1.2871724870355443e-28,1.55536128225205e-40,0.0,-1.2871724870355443e-28,1.55536128225205e-40
2,5,473,0.3295482865932611,0.47543767880155285,0.32954828659326124,1.6653345369377348e-16,311.752679117225,449.764044146269,4,3.157354293011692e-66,4.8849531313035875e-96,0.0,-3.157354293011692e-66,4.8849531313035875e-96
3,3,486,0.47193807532763776,0.6808627208818648,0.4719380753276376,1.6653345369377348e-16,458.7238092184639,661.7985646971727,4,5.6467834081983256e-98,6.505398775717926e-142,0.0,-5.6467834081983256e-98,6.505398775717926e-142
4,7,499,0.3812252607648119,0.5499917931669955,0.38122526076481156,3.3306690738754696e-16,380.46281024328226,548.8918095806615,18,1.0736018046034664e-69,5.3038425822854904e-105,0.0,-1.0736018046034664e-69,5.3038425822854904e-105
10,10,512,0.45161510280202455,0.6515428692030395,0.45161510280202405,4.996003610813204e-16,462.45386526927314,667.1798980639124,81,8.522623008467614e-55,5.443970544110944e-93,0.0,-8.522623008467614e-55,5.443970544110944e-93
2,2,525,0.0003532661701364237,0.0005096553517699703,0.000353266170136642,2.1830410742995632e-16,0.3709294786432449,0.5351381193584688,1,0.5424980580962717,0.46445466151146086,0.46445466151146086,-0.07804339658481085,0.0
2,5,538,0.14755878127242927,0.21288232198135346,0.1475587812724296,3.3306690738754696e-16,158.7732486491339,229.06137845193632,4,2.6792356334932187e-33,2.102088638044728e-48,0.0,-2.6792356334932187e-33,2.102088638044728e-48
3,3,551,0.043259676593803476,0.062410520892340365,0.04325967659380329,1.8735013540549517e-16,47.67216360637143,68.77639402335909,4,1.104598080767224e-09,4.1139047447274285e-14,4.118927421359331e-14,-1.1045568914930105e-09,5.022676631902259e-17
4,7,564,0.3549803348690359,0.5121283687286623,0.3549803348690363,3.885780586188048e-16,400.4178177322725,577.6807999259311,18,7.487540300945348e-74,4.467923707797796e-111,0.0,-7.487540300945348e-74,4.467923707797796e-111
10,10,577,0.4935323023083642,0.712016605058789,0.4935323023083637,4.996003610813204e-16,569.5362768638523,821.6671622378426,81,1.715887913133742e-74,5.64374382994588e-123,0.0,-1.715887913133742e-74,5.64374382994588e-123
