scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2543636122529566,0.25069613195970397,1,0.02999999999998848,0.030000000000000027,-1.1546319456101628e-14,0.4814375360823758,0.05798384385395715,0.0581971886470407,0.13949776846866332,0.16451923070688146,55.79910738746533,65.80769228275258,0.0,0.0,0.0,0.0,True,"[[0.26423071329066267, 0.13949776846866332], [0.24235169861890538, 0.35391981962176877]]","[[0.21291253416436204, 0.2736574976528604], [0.3489107374758962, 0.16451923070688146]]"
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.4006283035605739,0.40186554689071097,1,0.07000000000000006,0.07000000000000006,0.0,0.39420655959947537,0.12811352423195316,0.1288339140595005,0.10179031176887661,0.1041721758841155,20.35806235377532,41.6688703536462,0.0,0.0,0.0,0.0,False,"[[0.3611470991679288, 0.10179031176887661], [0.22381908431445663, 0.313243504748738]]","[[0.28369072779853216, 0.21612013658237664], [0.1041721758841155, 0.3960169597349756]]"
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,1.0079227676014457,0.7270806535703553,7,0.1499999999999999,0.15000000000004032,-4.04121180963557e-14,0.9273813141189995,0.157939812300102,0.2583343483620854,0.005870526215493641,0.0403565125460056,0.704463145859237,19.371126022082688,0.0,0.0,0.0,0.0,True,"[[0.33901049136864014, 0.33155481619907584], [0.005870526215493641, 0.3235641662167904]]","[[0.15852748797992516, 0.6084131881441739], [0.19270281132989533, 0.0403565125460056]]"
random_2x2_d3,0,3,2,2,800,800,0.03,1.0,0.5,0.27667342667920447,0.28529564527976087,1,0.03000000000000136,0.030000000000002136,-7.771561172376096e-16,0.10319950562406163,0.058387312592935794,0.05938781602126146,0.10248683496603761,0.10334187023886088,81.98946797283008,82.6734961910887,0.0,0.0,0.0,0.0,False,"[[0.2641868797462564, 0.45227075775577774], [0.18105552753192833, 0.10248683496603761]]","[[0.23956759554772114, 0.5030154752949852], [0.1540750589184327, 0.10334187023886088]]"
random_2x2_d4,0,4,2,2,120,240,0.07,10.0,0.8,0.39858222978327557,0.39032479160640554,1,0.06999999999999984,0.06999999999999951,3.3306690738754696e-16,0.7423339461785046,0.12950672118777115,0.13036123289779575,0.11320021554604806,0.15325045017677152,13.584025865525767,36.78010804242517,0.0,0.0,0.0,0.0,False,"[[0.11320021554604806, 0.28260169644534605], [0.400955277134365, 0.2032428108742409]]","[[0.2991745315011266, 0.15325045017677152], [0.1591395503136872, 0.3884354680084147]]"
random_2x2_d5,0,5,2,2,120,480,0.15,2.0,20.0,1.0206576092786863,0.6101202690404953,1,0.15000000000000013,0.15000000000000002,1.1102230246251565e-16,0.5102894381147727,0.156542479097782,0.24864335711669647,0.005543423030870029,0.07665574317445607,0.6652107637044035,36.794756723738914,0.0,0.0,0.0,0.0,False,"[[0.3318004622318424, 0.3047785833778777], [0.3578775313594098, 0.005543423030870029]]","[[0.07665574317445607, 0.37474866348519037], [0.38473629574215346, 0.16385929759820012]]"
random_2x5_d0,1,0,2,5,1000,1000,0.03,50.0,50.0,0.25631115716422187,0.2568508858566013,1,0.029999999999999805,0.030000000000008464,-8.659739592076221e-15,0.19616863700070294,0.05687704697436657,0.05758406483741037,0.056048458543362545,0.053299048598704574,56.04845854336254,53.29904859870457,0.0,0.0,0.0,0.0,False,"[[0.1141768946650769, 0.10875822781120281, 0.10641372739911965, 0.12455530955254086, 0.061163296660170834], [0.08365853608825939, 0.09523102090178408, 0.056048458543362545, 0.10200156644190796, 0.14799296193657485]]","[[0.12711141822259217, 0.0889818420308497, 0.11472582290538513, 0.10295324338649096, 0.06499387179936833], [0.0919031992812013, 0.12734614671134056, 0.08869579383823745, 0.053299048598704574, 0.13998961322582984]]"
random_2x5_d1,1,1,2,5,500,1000,0.07,20.0,5.0,0.38450268814235794,0.4400107325881239,1,0.06999999999999984,0.07000000000000028,-4.440892098500626e-16,0.47511167343725663,0.1285378612160486,0.12052301122750983,0.05456188537383887,0.03414960645073062,27.280942686919435,34.149606450730616,0.0,0.0,0.0,0.0,True,"[[0.22872562925429973, 0.11715277963841184, 0.11375869329797028, 0.06443775688358074, 0.05456188537383887], [0.061497142142470894, 0.06771318741523252, 0.06443155709738307, 0.11530893071198889, 0.11241243818482315]]","[[0.12253669624612121, 0.06139630190479968, 0.10909262497701235, 0.03733884860490535, 0.15308012045254246], [0.03414960645073062, 0.05121527372976849, 0.12734561724001475, 0.16329380642954952, 0.14055110396455556]]"
random_2x5_d2,1,2,2,5,250,1000,0.15,5.0,1.2,0.6367893500059991,0.6640852873452264,1,0.1499999999999999,0.15000000000000036,-4.440892098500626e-16,0.3669892870589832,0.25212264938544027,0.2385299682199042,0.01007545518272863,0.008876670836574922,2.5188637956821576,8.876670836574922,0.0,0.0,0.0,0.0,False,"[[0.046982199178312804, 0.10067994749562298, 0.14882217128751726, 0.01007545518272863, 0.052098248189573156], [0.11534649394686924, 0.06682030060428544, 0.04752315654124233, 0.08914645309857243, 0.32250557447527584]]","[[0.04396308290373364, 0.14069440741345648, 0.12454587105966185, 0.06792588773538798, 0.0739134899001257], [0.08710212094226778, 0.027648906222828736, 0.11133766588968852, 0.008876670836574922, 0.31399189709627445]]"
random_2x5_d3,1,3,2,5,2000,2000,0.03,1.0,0.5,0.394469208187887,0.6035617943414554,1,0.029999999999999583,0.03000000000000025,-6.661338147750939e-16,0.5238772395321433,0.0500403998286069,0.04384616366913433,0.010082974460563407,8.251371301461759e-05,20.165948921126812,0.16502742602923517,0.0,0.0,0.0,0.1,False,"[[0.3170453296092412, 0.1247812516939793, 0.1413374828507413, 0.17442472810136528, 0.022436401022192555], [0.12635928770703872, 0.010082974460563407, 0.05329636816330016, 0.01763678108235467, 0.012599395309223304]]","[[0.3976612576321179, 0.08999869855478486, 0.08334505213131756, 0.3557474198445603, 0.01859222912783786], [0.05041912413566276, 0.0014671322095523031, 0.0007221103598363724, 0.0019644622913155716, 8.251371301461759e-05]]"
