experiment,method,scenarios,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,within_035_065,minimum_fpr_05,maximum_fpr_05,mean_coverage_95,within_coverage_935_965
randomized_weak_null_2_seeds,wald_plugin,144,0.07115740740740739,0.007499999999999948,0.6111111111111112,0.0376666666666666,0.967,0.881537037037037,0.6111111111111112
randomized_weak_null_2_seeds,wald_analytic,144,0.005129629629629633,0.004333333333333352,0.9583333333333334,0.0376666666666666,0.0733333333333333,0.9498611111111112,0.9583333333333334
randomized_weak_null_2_seeds,wald_jackknife,144,0.006101851851851858,0.0049999999999999975,0.9097222222222222,0.0376666666666666,0.0803333333333333,0.9487546296296296,0.9097222222222222
randomized_strong_null,wald_plugin,72,0.0711111111111111,0.0083333333333333,0.5972222222222222,0.0403333333333333,0.966,0.8815185185185186,0.5972222222222222
randomized_strong_null,wald_analytic,72,0.004958333333333335,0.004,0.9722222222222222,0.0383333333333333,0.0673333333333333,0.950300925925926,0.9722222222222222
randomized_strong_null,wald_jackknife,72,0.005884259259259268,0.004,0.9305555555555556,0.0373333333333333,0.0776666666666666,0.9491805555555557,0.9305555555555556
permutation_anchors_all,naive_perm_plugin,24,0.07558333333333332,0.024499999999999994,0.3333333333333333,0.004,0.972,,
permutation_anchors_all,student_perm_plugin,24,0.034083333333333334,0.0075,0.7083333333333334,0.024,0.66,,
permutation_anchors_all,student_perm_analytic,24,0.03254166666666667,0.007500000000000003,0.875,0.034,0.66,,
permutation_anchors_all,student_perm_jackknife,24,0.03325,0.008499999999999997,0.875,0.035,0.66,,
permutation_anchors_all,wald_plugin,24,0.09991666666666665,0.0125,0.625,0.035,0.622,,
permutation_anchors_all,wald_analytic,24,0.007749999999999997,0.008999999999999994,0.9583333333333334,0.033,0.064,,
permutation_anchors_all,wald_jackknife,24,0.009875,0.010499999999999999,0.7916666666666666,0.033,0.073,,
permutation_anchors_regular_mixture,naive_perm_plugin,23,0.03878260869565217,0.021999999999999992,0.34782608695652173,0.004,0.213,,
permutation_anchors_regular_mixture,student_perm_plugin,23,0.009043478260869568,0.006999999999999999,0.7391304347826086,0.024,0.067,,
permutation_anchors_regular_mixture,student_perm_analytic,23,0.007434782608695651,0.007000000000000006,0.9130434782608695,0.034,0.067,,
permutation_anchors_regular_mixture,student_perm_jackknife,23,0.00817391304347826,0.008,0.9130434782608695,0.035,0.067,,
permutation_anchors_regular_mixture,wald_plugin,23,0.10408695652173912,0.012999999999999998,0.6086956521739131,0.035,0.622,,
permutation_anchors_regular_mixture,wald_analytic,23,0.00791304347826087,0.008999999999999994,0.9565217391304348,0.033,0.064,,
permutation_anchors_regular_mixture,wald_jackknife,23,0.010130434782608697,0.010999999999999996,0.782608695652174,0.033,0.073,,
posthoc_hard_deterministic,wald_plugin,6,0.05483333333333334,0.0418,0.16666666666666666,0.0625,0.2026,0.8951666666666668,0.16666666666666666
posthoc_hard_deterministic,wald_analytic,6,0.011899999999999999,0.010499999999999999,0.8333333333333334,0.0584,0.0689,0.9381,0.8333333333333334
posthoc_hard_deterministic,wald_jackknife,6,0.019933333333333334,0.018250000000000002,0.16666666666666666,0.0635,0.0813,0.9300666666666665,0.16666666666666666
posthoc_hard_permutation,naive_perm_plugin,6,0.03788888888888884,0.017333333333333298,0.5,0.0536666666666666,0.207,,
posthoc_hard_permutation,student_perm_plugin,6,0.004833333333333297,0.004833333333333297,1.0,0.05,0.0616666666666666,,
posthoc_hard_permutation,student_perm_analytic,6,0.005111111111111098,0.005333333333333298,1.0,0.0486666666666666,0.0603333333333333,,
posthoc_hard_permutation,student_perm_jackknife,6,0.00972222222222218,0.00999999999999995,0.8333333333333334,0.0473333333333333,0.0656666666666666,,
posthoc_hard_permutation,wald_plugin,6,0.05627777777777775,0.04599999999999999,0.16666666666666666,0.0636666666666666,0.2056666666666666,,
posthoc_hard_permutation,wald_analytic,6,0.012888888888888866,0.011166666666666648,0.6666666666666666,0.0603333333333333,0.068,,
posthoc_hard_permutation,wald_jackknife,6,0.020055555555555517,0.01999999999999995,0.0,0.067,0.0726666666666666,,
