n_p,n_q,mi_p_plugin,mi_q_plugin,mi_p_jackknife,mi_q_jackknife,delta_plugin,delta_jackknife,standard_error,z_plugin,z_jackknife,wald_plugin_p,wald_jackknife_p,naive_perm_plugin_p,student_perm_plugin_p,student_perm_jackknife_p,valid_studentization,permutations,deterministic_seconds,permutation_seconds,scenario_id,family,regular,replicate,scenario_seed,true_delta,zero_cells_p,zero_cells_q
100,100,0.039733217591059744,0.07171132525766544,0.034548711132217136,0.06649090460122409,-0.03197810766660569,-0.03194219346900695,0.045591922865581204,-0.7013985297546418,-0.7006107981710316,0.48305433927059105,0.4835459377412057,0.51,0.51,0.51,True,99,0.00040495803114026785,0.0002174580004066229,strong_2x2_bal_100,strong_null,True,0,1062694068,0.0,0,0
100,100,0.0821686050052226,0.018954412334843185,0.07695994894501723,0.013778569508630767,0.06321419267037942,0.06318137943638646,0.04331524256610695,1.4593983301352416,1.4586407853992776,0.14445550535300525,0.14466400184838954,0.13,0.13,0.13,True,99,0.00012804206926375628,0.0001846670638769865,strong_2x2_bal_100,strong_null,True,1,1062694068,0.0,0,0
100,100,0.0381670583565088,0.0749012577510274,0.03298502137083403,0.06969267816045033,-0.03673419939451861,-0.036707656789616294,0.046003535845489135,-0.7985081737607473,-0.7979312049601,0.42457565174794076,0.4249104136367605,0.48,0.48,0.48,True,99,0.00011604104656726122,0.0001811670372262597,strong_2x2_bal_100,strong_null,True,2,1062694068,0.0,0,0
100,100,0.02164980322274923,0.045309082788670074,0.016477079796672456,0.040107099488949416,-0.023659279565920843,-0.02363001969227696,0.03579414214775085,-0.6609818854789202,-0.6601644368158651,0.5086239305478775,0.5091483114246544,0.57,0.57,0.57,True,99,0.00011112506035715342,0.00018012500368058681,strong_2x2_bal_100,strong_null,True,3,1062694068,0.0,0,0
100,100,0.03491786242053263,0.07484944193393295,0.02973575019713337,0.06963433056918689,-0.03993157951340032,-0.039898580372053516,0.04529699771691204,-0.8815502467284162,-0.8808217405798844,0.37802007049973985,0.37841431068479214,0.38,0.38,0.38,True,99,0.00011416594497859478,0.00018233293667435646,strong_2x2_bal_100,strong_null,True,4,1062694068,0.0,0,0
100,100,0.030786547214457283,0.09219219289364067,0.02560902236767504,0.08696106002729209,-0.061405645679183385,-0.061352037659617054,0.04756698767678568,-1.290929879697878,-1.2898028791837695,0.19672799330013213,0.19711910803487087,0.22,0.22,0.22,True,99,0.00011366605758666992,0.00017866690177470446,strong_2x2_bal_100,strong_null,True,5,1062694068,0.0,0,0
100,100,0.0927149227294487,0.03448819381301116,0.08748926078428099,0.02931219336318236,0.05822672891643754,0.05817706742109863,0.04855920344616918,1.1990873981486414,1.1980646981903529,0.23049396364320907,0.23089183066039798,0.29,0.29,0.29,True,99,0.00011320901103317738,0.00017800007481127977,strong_2x2_bal_100,strong_null,True,6,1062694068,0.0,0,0
100,100,0.09090858770311627,0.03848848195167354,0.08569033444935314,0.033308664659855935,0.052420105751442736,0.05238166978949721,0.048884339824485645,1.0723292150339332,1.0715429517421813,0.2835721890789128,0.28392536873947005,0.28,0.26,0.26,True,99,0.00011037499643862247,0.00017966690938919783,strong_2x2_bal_100,strong_null,True,7,1062694068,0.0,0,0
100,100,0.13088084901561248,0.08348437420425292,0.12562645201602152,0.07824483280955974,0.04739647481135956,0.04738161920646178,0.061483313407811234,0.7708835484676075,0.7706419283584367,0.44077595931554026,0.44091920163571685,0.44,0.44,0.44,True,99,0.00010874995496124029,0.00018375006038695574,strong_2x2_bal_100,strong_null,True,8,1062694068,0.0,0,0
100,100,0.03284120813174418,0.03676105641245542,0.02766403529844297,0.03158011490856438,-0.003919848280711236,-0.003916079610121415,0.03669416076439651,-0.10682485166725963,-0.10672214675423496,0.9149279315047145,0.9150094123781758,0.95,0.95,0.95,True,99,0.00011875003110617399,0.0001801669131964445,strong_2x2_bal_100,strong_null,True,9,1062694068,0.0,0,0
100,100,0.07423588846649132,0.004567963219939575,0.06902712915848497,-0.0005975222041456618,0.06966792524655174,0.06962465136263063,0.03823293075178489,1.8221968307595495,1.8210649822961906,0.06842512529783976,0.06859697952050588,0.03,0.04,0.04,True,99,0.00011216697748750448,0.00018391699995845556,strong_2x2_bal_100,strong_null,True,10,1062694068,0.0,0,0
