config,p_x,p_y,kx,ky,nu0,Sx,Sy,Sxy,mean_c1,mean_order1,lam_min,lam_tp,frac_lt1,frac_lt5,n_lt1,n_lt5,inv_lam_min,inv_lam_tp,N,n_tables,prob_sum,mu,sigma2,nu,a,mean_resid_order1,mean_c1_emp,var_c1_emp,nu_norm
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.1875,2.0,0.5,0.0,1.0,0,4,0.5,2.0,8,165,1.000000000000001,1.370742885644661,2.9390808071043075,1.2785875461496077,1.0720758932562529,0.18324288564466107,2.9659430851572886,7.51264645683446,1.2785875461496077
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.15,2.5,0.625,0.0,1.0,0,4,0.4,1.6,10,286,1.000000000000001,1.299167860947439,3.0186841626740843,1.1182601689761298,1.161776031186863,0.14916786094743917,2.991678609474391,10.186841626740843,1.1182601689761298
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.125,3.0,0.75,0.0,1.0,0,4,0.3333333333333333,1.3333333333333333,12,455,1.0000000000000016,1.2364652136775844,2.964391936119829,1.0314737440798072,1.1987364882279703,0.11146521367758444,2.8375825641310133,11.57270323343795,1.0314737440798072
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.1,3.75,0.9375,0.0,1.0,0,4,0.26666666666666666,1.0666666666666667,15,816,0.9999999999999999,1.1691087960729885,2.792380784885683,0.9789605948109891,1.194234785618426,0.06910879607298837,2.536631941094827,11.885711773285248,0.9789605948109891
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.075,5.0,1.25,0.0,0.0,0,0,0.2,0.8,20,1771,1.0000000000000013,1.1074877335603794,2.5271851267329977,0.9706681691121644,1.140954003440083,0.032487733560379484,2.149754671207589,10.543702534659953,0.9706681691121644
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.05,7.5,1.875,0.0,0.0,0,0,0.13333333333333333,0.5333333333333333,30,5456,0.9999999999999848,1.0606545146952473,2.273737072000509,0.9895497710767491,1.0718556516274342,0.010654514695247252,1.819635440857419,8.212112160015263,0.9895497710767491
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.0375,10.0,2.5,0.0,0.0,0,0,0.1,0.4,40,12341,1.0000000000000118,1.0427521446591312,2.183269812102499,0.9960583242289343,1.0468786006746578,0.005252144659131153,1.7100857863652497,7.330792484099966,0.9960583242289343
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.025,15.0,3.75,0.0,0.0,0,0,0.06666666666666667,0.26666666666666666,60,39711,1.0000000000000426,1.0271255950082905,2.112640426113915,0.9987378589187794,1.0284236106962474,0.0021255950082905706,1.627535700497429,6.758425566834907,0.9987378589187794
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.01875,20.0,5.0,0.0,0.0,0,0,0.05,0.2,80,91881,1.000000000000022,1.019900532456118,2.081712063492315,0.9993669291220043,1.0205466107950494,0.0011505324561178476,1.5920425964894314,6.536965079385197,0.9993669291220043
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.0125,30.0,7.5,0.0,0.0,0,0,0.03333333333333333,0.13333333333333333,120,302621,0.9999999999999437,1.0129935732670399,2.05283471899443,0.9997453472367056,1.0132516005870418,0.0004935732670399151,1.5592287920447845,6.340166279331605,0.9997453472367056
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.57421875,0.32000000000000006,0.20480000000000004,0.25,0.75,1,3,3.1249999999999996,4.882812499999999,8,165,1.0000000000000024,0.9180309921903778,1.750049416501891,0.963150976966871,0.9531537776989191,-0.6561877578096222,-0.6557520624769779,-1.9996046679848725,0.963150976966871
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.459375,0.4000000000000001,0.25600000000000006,0.25,0.75,1,3,2.4999999999999996,3.906249999999999,10,286,1.0000000000000027,1.0109770634448694,1.808959214180461,1.1300140045165767,0.8946588798050942,-0.4483979365551307,0.10977063444869373,-1.910407858195391,1.1300140045165767
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.3828125,0.4800000000000001,0.30720000000000003,0.25,0.75,1,3,2.083333333333333,3.2552083333333326,12,455,1.0000000000000049,1.0738301644321948,1.8305888924409823,1.2598254330133827,0.8523642532471306,-0.3089823355678052,0.8859619731863377,-2.032933290708212,1.2598254330133827
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.30625,0.6000000000000001,0.38400000000000006,0.25,0.75,1,3,1.6666666666666665,2.604166666666666,15,816,1.000000000000001,1.131976199476102,1.8422376855154103,1.3911018390896346,0.8137263338080913,-0.17427380052389796,1.9796429921415293,-2.366434717268845,1.3911018390896346
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.2296875,0.8000000000000002,0.5120000000000001,0.25,0.75,1,3,1.2499999999999998,1.9531249999999996,20,1771,1.0000000000000042,1.1764434455066777,1.8757583937783164,1.475690243547636,0.7972157101740039,-0.05324405449332237,3.5288689101335535,-2.4848321244336713,1.475690243547636
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.153125,1.2000000000000002,0.7680000000000001,0.0,0.75,0,3,0.8333333333333333,1.302083333333333,30,5456,0.9999999999999967,1.1902930781778385,2.0370210109133806,1.3910485992707513,0.855680440497796,0.037168078177838515,5.708792345335154,1.1106303274014184,1.3910485992707513
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.11484375,1.6000000000000003,1.0240000000000002,0.0,0.25,0,1,0.6249999999999999,0.9765624999999998,40,12341,1.0000000000000122,1.1740690606246431,2.215464076929527,1.2443787046427288,0.9434981941142491,0.0592253106246432,6.9627624249857245,8.618563077181083,1.2443787046427288
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.0765625,2.4000000000000004,1.5360000000000003,0.0,0.25,0,1,0.41666666666666663,0.6510416666666665,60,39711,1.000000000000051,1.1285799996802544,2.3968884346925146,1.0627885697497463,1.0619045328517223,0.052017499680254264,7.714799980815261,23.813306081550873,1.0627885697497463
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.057421875,3.2000000000000006,2.0480000000000005,0.0,0.25,0,1,0.31249999999999994,0.4882812499999999,80,91881,1.0000000000000555,1.0923827841050098,2.3972044219857485,0.9955764607012781,1.0972364526734006,0.03496090910500982,7.390622728400782,31.776353758859877,0.9955764607012781
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.03828125,4.800000000000001,3.0720000000000005,0.0,0.25,0,1,0.20833333333333331,0.32552083333333326,120,302621,1.0000000000000004,1.0526817501364245,2.2691474911236234,0.976700607964063,1.0777936878023906,0.014400500136424466,6.321810016370941,32.2976989348348,0.976700607964063
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,3.1298868312757198,0.08000000000000002,0.06480000000000001,0.75,0.75,3,3,12.499999999999998,15.432098765432096,8,165,1.000000000000001,0.3853835151782598,1.088166965567679,0.27297364921139894,1.4117974987388153,-2.74450331609746,-4.916931878573921,-7.294664275458569,0.27297364921139894
