target,formula,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,train_mae,train_rmse,features,coefficients
log_mu_ratio,hybrid_moment,10670,23,1e-06,0.9842175097662305,0.9837092456192987,0.9738794914610344,0.014620868951997351,0.027384759172480108,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,zero_pressure_min,birthday_inverse,tp_x_expected_cv,tp_x_one_minus_cell_simpson_n,tp_x_asym_min_p","{""birthday_inverse"": 0.11465365498497687, ""expected_le1_frac"": 0.05830089387963337, ""expected_singleton_frac"": 0.48477680608327395, ""expected_singleton_norm_nu0"": 0.6247508782029612, ""expected_zero_frac"": -0.0613474001326093, ""expected_zero_norm_nu0"": -0.9110016382281462, ""frac_cells_lt_0p5"": -0.001454205385910376, ""frac_cells_lt_1"": -0.5220567564030143, ""frac_cells_lt_5"": -0.04436692220784377, ""inv_lam_min_x_frac_lt1"": 0.06648257126194115, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.006176921299743902, ""inv_lam_sqrt_harm"": -0.011981195402267001, ""inv_lam_tp"": 0.00046452336308618335, ""inv_lambda_simpson"": -0.04411612149534263, ""inv_sqrt_lam_min_x_frac_lt1"": -0.0657861415130822, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -0.38894121588584185, ""inv_sqrt_lam_tp"": 0.0004554421256891563, ""n_lt1_norm_nu0"": 0.5432232377342748, ""n_lt5_norm_nu0"": -0.02225372651614758, ""tp_x_asym_min_p"": -6.334663329533177e-05, ""tp_x_expected_cv"": -1.5857947252377005e-05, ""tp_x_one_minus_cell_simpson_n"": -0.0005291006271637404, ""zero_pressure_min"": 1.1267554155783162}"
log_mu_ratio,occupancy_collision,10670,13,0.01,0.9758018013034448,0.9754061347909915,0.9722094712546533,0.01818692730417901,0.03390882028732587,"inv_lambda_simpson,inv_sqrt_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_doubleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,doubleton_pressure_simpson,zero_pressure_min,singleton_pressure_min,birthday_inverse,sparse_collision_pressure","{""birthday_inverse"": 0.0415137748857373, ""doubleton_pressure_simpson"": -0.06079433047084441, ""expected_doubleton_frac"": -1.3147550445739349, ""expected_le1_frac"": 0.01409488337317131, ""expected_singleton_frac"": 1.443063474519549, ""expected_singleton_norm_nu0"": 0.7959446892132092, ""expected_zero_frac"": -0.5850257646762622, ""expected_zero_norm_nu0"": -1.1451944399175018, ""inv_lambda_simpson"": -0.09011213812471836, ""inv_sqrt_lambda_simpson"": 0.1227799034986721, ""singleton_pressure_min"": 0.4841742702612102, ""sparse_collision_pressure"": 0.008349930138199733, ""zero_pressure_min"": 0.04259808199536045}"
log_mu_ratio,exact_occupancy,10670,11,1.0,0.9650122145163819,0.9645223126711208,0.9611152156050768,0.021699343532383755,0.04077363106431634,"expected_zero_frac,expected_singleton_frac,expected_doubleton_frac,expected_le1_frac,expected_le2_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,expected_le1_norm_nu0,expected_nonempty_frac,birthday_inverse,inv_lambda_simpson","{""birthday_inverse"": 0.1778190644716552, ""expected_doubleton_frac"": -1.4632379670401003, ""expected_le1_frac"": 0.098220070344033, ""expected_le1_norm_nu0"": -0.1813444917866541, ""expected_le2_frac"": -0.01871848050416732, ""expected_nonempty_frac"": 0.008094205587987685, ""expected_singleton_frac"": 1.6937790345102561, ""expected_singleton_norm_nu0"": 0.95559386617084, ""expected_zero_frac"": -0.4807278042414866, ""expected_zero_norm_nu0"": -0.9775151860601444, ""inv_lambda_simpson"": -0.05151083886735552}"
log_mu_ratio,weighted_sparse,10670,10,0.0,0.8932658123772153,0.8919809721266843,0.885353855005914,0.02596593657594593,0.07121523895188665,"inv_lam_tp,inv_sqrt_lam_tp,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": -1.3437243837529569, ""frac_cells_lt_5"": 0.05883408812817498, ""inv_lam_min_x_frac_lt1"": -0.26060195615468357, ""inv_lam_min_x_n_lt1_norm_nu0"": 0.23561751243956428, ""inv_lam_tp"": -0.0006027922772470155, ""inv_sqrt_lam_min_x_frac_lt1"": 1.5529792385491403, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -1.620169618989843, ""inv_sqrt_lam_tp"": 0.0031985815539234026, ""n_lt1_norm_nu0"": 1.4040615192751071, ""n_lt5_norm_nu0"": -0.00022437639265096484}"
log_mu_ratio,sparse_thresholds,10670,5,1.0,0.8279824070739378,0.827306430015891,0.8245744261069894,0.028594685296469195,0.09040815249930398,"frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0","{""frac_cells_lt_0p5"": -0.8746930801412464, ""frac_cells_lt_1"": 0.24783349325714857, ""frac_cells_lt_5"": 0.03379926881192837, ""n_lt1_norm_nu0"": -0.33813569869865356, ""n_lt5_norm_nu0"": 0.010729742406072473}"
log_mu_ratio,harmonic_sparse,10670,8,0.0,0.7965708442569022,0.7963137665392225,0.7639777715468907,0.044912023709542906,0.09831680565405197,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_one_minus_cell_simpson_n","{""inv_lam_sqrt_harm"": -0.041085904187785266, ""inv_lam_tp"": 0.0006236490134445714, ""inv_sqrt_lam_tp"": 0.004660904319236005, ""tp_x_expected_cv"": -6.958430627546056e-05, ""tp_x_frac_cells_lt_0p5"": -0.00017100360382829466, ""tp_x_frac_cells_lt_1"": -0.000382155716297871, ""tp_x_frac_cells_lt_5"": 0.0015429899822758386, ""tp_x_one_minus_cell_simpson_n"": -0.0016754413469494682}"
log_mu_ratio,bartlett_only,10670,0,,-0.07096045545450003,-0.07096045545450003,-0.07096045545450003,0.07591439972636323,0.22558378481152142,,{}
log_sigma2_ratio,hybrid_moment,10670,23,0.0,0.9938280543026315,0.9937252838034593,0.9926874423718368,0.02672306726142929,0.04060392251666049,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,zero_pressure_min,birthday_inverse,tp_x_expected_cv,tp_x_one_minus_cell_simpson_n,tp_x_asym_min_p","{""birthday_inverse"": 2.151436392811273, ""expected_le1_frac"": -0.28431207089188243, ""expected_singleton_frac"": 0.681570501624435, ""expected_singleton_norm_nu0"": 0.7325698434226298, ""expected_zero_frac"": -1.0099643495906492, ""expected_zero_norm_nu0"": -1.52561591023579, ""frac_cells_lt_0p5"": -0.024045107535325398, ""frac_cells_lt_1"": 0.6797066607619844, ""frac_cells_lt_5"": 0.13753514806095277, ""inv_lam_min_x_frac_lt1"": 0.2260282299030673, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.2218149483001742, ""inv_lam_sqrt_harm"": 0.007835555095821274, ""inv_lam_tp"": -0.00017401369825815858, ""inv_lambda_simpson"": -0.34355770591735774, ""inv_sqrt_lam_min_x_frac_lt1"": -0.9617936595983175, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.9373637007003323, ""inv_sqrt_lam_tp"": 0.002356263694082869, ""n_lt1_norm_nu0"": -0.7017317646404524, ""n_lt5_norm_nu0"": -0.07923800071961083, ""tp_x_asym_min_p"": 1.1643664386443781e-05, ""tp_x_expected_cv"": 2.6931453549827656e-05, ""tp_x_one_minus_cell_simpson_n"": -0.00018357608400155326, ""zero_pressure_min"": -0.0013792776139998936}"
log_sigma2_ratio,occupancy_collision,10670,13,0.01,0.993342328091133,0.9932913774084813,0.9927756911314481,0.026952653493862146,0.04217141144835102,"inv_lambda_simpson,inv_sqrt_lambda_simpson,expected_zero_frac,expected_singleton_frac,expected_doubleton_frac,expected_le1_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,doubleton_pressure_simpson,zero_pressure_min,singleton_pressure_min,birthday_inverse,sparse_collision_pressure","{""birthday_inverse"": 1.6226019286961377, ""doubleton_pressure_simpson"": 0.08112475043276603, ""expected_doubleton_frac"": 0.25729708153406766, ""expected_le1_frac"": -0.3247361792458087, ""expected_singleton_frac"": 1.006636991249272, ""expected_singleton_norm_nu0"": 0.2803331825475764, ""expected_zero_frac"": -1.2516792752192551, ""expected_zero_norm_nu0"": -1.204593150822628, ""inv_lambda_simpson"": -0.14635925646020753, ""inv_sqrt_lambda_simpson"": 0.004844079564591055, ""singleton_pressure_min"": 0.17036924282605864, ""sparse_collision_pressure"": -0.0950145596259582, ""zero_pressure_min"": 0.06636964311459038}"
log_sigma2_ratio,exact_occupancy,10670,11,0.0,0.9930037086254336,0.992955678700999,0.9924166893487453,0.02817164828769726,0.04323056248499968,"expected_zero_frac,expected_singleton_frac,expected_doubleton_frac,expected_le1_frac,expected_le2_frac,expected_zero_norm_nu0,expected_singleton_norm_nu0,expected_le1_norm_nu0,expected_nonempty_frac,birthday_inverse,inv_lambda_simpson","{""birthday_inverse"": 1.7161221735078247, ""expected_doubleton_frac"": 0.3922596959548794, ""expected_le1_frac"": -0.2404621381426237, ""expected_le1_norm_nu0"": -0.25548460244737686, ""expected_le2_frac"": -0.13611678895586907, ""expected_nonempty_frac"": 0.0010944862403628316, ""expected_singleton_frac"": 1.318490074227268, ""expected_singleton_norm_nu0"": 0.49503820216980415, ""expected_zero_frac"": -1.1732971377960761, ""expected_zero_norm_nu0"": -0.9427711950892591, ""inv_lambda_simpson"": -0.24219033604582105}"
