lam_target,sparse_bin,n,median_mu_ratio,median_sigma2_ratio,median_q95_standard,median_q95_bartlett,median_q95_moment,median_nu_norm,median_a
0.1,"(0.0, 0.25]",104,1.0350384452187864,1.024979954946605,0.9765585936611335,1.087317275517994,1.0316797946643428,1.0827540770818946,0.9673264237703618
0.1,"(0.25, 0.5]",78,1.0455378227922991,1.0088734985390162,1.0231299207670617,1.3526097734299523,1.0392279350000657,1.2301623954946996,0.8204018408035973
0.1,"(0.5, 0.75]",61,1.024866974589913,0.9633502126526452,1.1257259960202068,1.7363745436344487,1.0163321981323787,1.3224153227895026,0.7056298250729856
0.1,"(0.75, 1.0]",179,0.9808308506291201,1.0099954578761143,1.4505111688816368,2.7665679315387752,0.9963767057029931,1.4495466564509871,0.4234121747846056
0.15,"(0.0, 0.25]",121,1.0302841495280906,1.0114366113584379,0.9795709984710443,1.059533153707768,1.0239166908262756,1.0671223812811217,0.9703884231865536
0.15,"(0.25, 0.5]",79,1.040624933783388,0.9948902425805082,1.0030544851278809,1.2650838448660746,1.0321794992230895,1.2602332350298258,0.8295299965798643
0.15,"(0.5, 0.75]",48,1.0228075909361773,0.9723358501784033,1.064004022586441,1.4998719043394448,1.0185106031282531,1.425642824879933,0.701743917585431
0.15,"(0.75, 1.0]",182,0.9875728377726699,0.995561090029959,1.2990714175287246,2.1293361461215525,0.9955461101592415,1.8025947915318676,0.4649146804443058
0.2,"(0.0, 0.25]",36,1.0278713032105422,1.0261041370146118,0.9815929381596168,1.0727648184150111,1.0212622570813408,1.100972686216945,0.9498201150343598
0.2,"(0.25, 0.5]",20,1.033761461039239,1.0293651977458675,0.9986607476892222,1.2504804061120787,1.0266757592399312,1.4071758863769877,0.7599119044748003
0.2,"(0.5, 0.75]",13,1.020356569326338,0.9891381121259099,1.022126462670631,1.3653387308160556,1.0110583456901037,1.5164141854091164,0.6861059642132259
0.2,"(0.75, 1.0]",25,0.9918556724680937,0.9920693301202823,1.2256444863851652,1.8651485125714644,0.9990799954906329,1.7885839482097583,0.5292801831064123
0.25,"(0.0, 0.25]",202,1.0171477421322512,0.9954124210194426,0.9700547024661907,1.0625497922407612,1.0139434157372578,1.104855451952388,0.9446827836614642
