q,model,n,median_ratio,mean_abs_log_error,median_abs_log_error,within_05pct,within_10pct,within_20pct,p01,p05,p95,p99
0.95,standard_chi2,10670,0.9813326857190843,0.055048432935498375,0.027776918459204193,0.6483598875351453,0.8360824742268042,0.9583880037488285,0.8611814494894846,0.8878328632960265,1.1242753558528769,1.6547165436855271
0.95,bartlett_proxy,10670,0.9998778106888875,0.08492127382666721,0.010477432874831483,0.7776944704779757,0.8353327085285848,0.8809746954076851,0.9442398705476281,0.966400610591215,1.6397685556281505,3.175531908576833
0.95,true_moment_matched,10670,1.0007193184209475,0.004990139138312943,0.002261937414820861,0.991377694470478,0.9963448922211808,0.9991565135895033,0.9732684957823095,0.9931158274833399,1.012689253788506,1.0329011022135206
0.95,predicted_moment_model,10670,0.9999724042815314,0.014604708378746067,0.007450186102033716,0.9485473289597001,0.9876288659793815,0.9974695407685098,0.9283388390630554,0.9676354760744038,1.0361133600277572,1.0919176624255476
0.95,stage10_direct_formula,10670,1.0032337843675965,0.03150246606158539,0.011739434887422899,0.8225866916588566,0.9348641049671977,0.9792877225866916,0.8684204786105238,0.9503760773234713,1.0949087611477282,1.271303647915209
0.99,standard_chi2,10670,0.9832710112937763,0.054055547489022374,0.026646808356391126,0.6700093720712278,0.8638238050609185,0.9553889409559513,0.8795538734799598,0.9021172240767625,1.1696235731830222,1.7015379416777014
0.99,bartlett_proxy,10670,1.0020044642283465,0.09138693442387219,0.013251529079190954,0.7568884723523899,0.8186504217432052,0.8701030927835052,0.9482896791871569,0.9698055301900772,1.6861038135978141,3.254835099559802
0.99,true_moment_matched,10670,1.0022305405456806,0.009736088585263078,0.005024636550691241,0.9744142455482662,0.9942830365510777,0.9991565135895033,0.970049570421562,0.9880146191881745,1.0312951893321245,1.0739018486025613
0.99,predicted_moment_model,10670,1.0019678086138775,0.016845590552765327,0.009653348787163896,0.9327085285848172,0.9853795688847236,0.9980318650421743,0.9392192779533362,0.9710104111419393,1.048996707606615,1.1115330390660436
0.99,stage10_direct_formula,10670,1.004673760299605,0.03219167333681084,0.013992575039180631,0.8194001874414245,0.9334582942830365,0.9792877225866916,0.8833897342945958,0.9538799906596201,1.099295139573035,1.2846096212839804
