config_id,seed,bootstrap,shape_x,shape_y,family_x,family_y,pair_family,symmetric_shape,lam_target,kx,ky,k_cells,nu0,log_nu0,log_k_cells,N,pi_min,pi_max,pi_max_min_ratio,lam_min,lam_tp,lam_sqrt_harm,inv_pi_sum,inv_sqrt_pi_sum,expected_mean,expected_sd,expected_cv,n_cells_lt_0p5,n_cells_lt_1,n_cells_lt_5,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,H_cell,H_cell_norm,cell_perp,cell_perp_n,cell_simpson,cell_simpson_n,q95_chi2,q99_chi2,x_k,x_H,x_H_norm,x_perp,x_perp_n,x_simpson,x_simpson_n,x_min_p,x_max_p,x_k_min_p,x_max_min_ratio,x_gini,y_k,y_H,y_H_norm,y_perp,y_perp_n,y_simpson,y_simpson_n,y_min_p,y_max_p,y_k_min_p,y_max_min_ratio,y_gini,mu,sigma2,nu,a,T_q50,T_q90,T_q95,T_q99,nu_norm,q95_ratio_chi2,q99_ratio_chi2,descriptor_mode,descriptor_bootstrap,x_inv_p_sum,y_inv_p_sum,x_inv_p2_sum,y_inv_p2_sum,bartlett_B,bartlett_C,expected_zero_count,expected_singleton_count,expected_doubleton_count,expected_le1_count,expected_le2_count,expected_nonempty_count,expected_zero_frac,expected_singleton_frac,expected_doubleton_frac,expected_le1_frac,expected_le2_frac,collision_prob,expected_collision_count,birthday_ratio
kx=2|ky=2|x=uniform|y=uniform|N=12|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,3.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,12.0,0.25,0.25,1.0,3.0,0.75,1.5,16.0,8.0,3.0,0.0,0.0,0,0,4,0.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.182561591907472,2.682803160710717,1.042530394428388,1.1343185754846623,0.4511389449179901,3.255733857863208,4.74933630202205,7.638170019537753,1.042530394428388,1.2363366428496252,1.1512116132091823,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,0.19914827347145578,0.5974448204143673,0.896167230621551,0.7965930938858231,1.6927603245073741,3.800851726528544,0.049787068367863944,0.14936120510359183,0.22404180765538775,0.19914827347145578,0.42319008112684353,0.25,16.5,6.0
kx=2|ky=2|x=uniform|y=uniform|N=20|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,20.0,0.25,0.25,1.0,5.0,1.25,2.5,16.0,8.0,5.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0988101404299309,2.424509705801135,0.9959817622694864,1.1032432340187988,0.5537717523356198,3.177339916558789,4.460684589724232,7.337448273665514,0.9959817622694864,1.1611954723279376,1.105887358144536,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,0.026951787996341868,0.13475893998170935,0.33689734995427334,0.16171072797805122,0.49860807793232453,3.973048212003658,0.006737946999085467,0.03368973499542734,0.08422433748856833,0.040427681994512805,0.12465201948308113,0.25,47.5,10.0
kx=2|ky=2|x=uniform|y=uniform|N=32|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,8.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,32.0,0.25,0.25,1.0,8.0,2.0,4.0,16.0,8.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.1286747291246273,2.4094092656113757,1.0574431354162683,1.0673621032873015,0.5352286234963466,3.0726442767573,4.005796919319734,7.289437280327518,1.0574431354162683,1.042780127627639,1.098651225281425,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,0.0013418505116100474,0.01073480409288038,0.04293921637152152,0.012076654604490427,0.055015870976011946,3.99865814948839,0.00033546262790251185,0.002683701023220095,0.01073480409288038,0.003019163651122607,0.013753967744002987,0.25,124.0,16.0
kx=2|ky=2|x=uniform|y=uniform|N=48|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,12.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,48.0,0.25,0.25,1.0,12.0,3.0,6.0,16.0,8.0,12.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.014109344481581,2.0290159338339384,1.013710878673692,1.000393076385261,0.4195377254051835,2.7895750162357285,3.9852081950598066,6.660358332568597,1.013710878673692,1.0374205168076516,1.003837547602997,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,2.457684941331284e-05,0.00029492219295975406,0.0017695331577585243,0.0003194990423730669,0.002089032200131591,3.9999754231505866,6.14421235332821e-06,7.373054823993851e-05,0.0004423832894396311,7.987476059326673e-05,0.0005222580500328978,0.25,282.0,24.0
kx=2|ky=2|x=uniform|y=uniform|N=80|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,20.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,80.0,0.25,0.25,1.0,20.0,5.0,10.0,16.0,8.0,20.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,0.9991368036240742,1.9828103917212432,1.0069287073783664,0.9922617125748862,0.4529829192437706,2.723332539304535,3.926408607080493,6.2090812311472,1.0069287073783664,1.0221139390922904,0.9358218529270712,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,8.244614489754231e-09,1.6489228979508464e-07,1.6489228979508463e-06,1.7313690428483886e-07,1.8220598022356852e-06,3.9999999917553857,2.061153622438558e-09,4.122307244877116e-08,4.122307244877116e-07,4.3284226071209714e-08,4.555149505589213e-07,0.25,790.0,40.0
kx=2|ky=2|x=uniform|y=uniform|N=120|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,30.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,120.0,0.25,0.25,1.0,30.0,7.5,15.0,16.0,8.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0278864099579923,1.9757310988814856,1.0695286138629614,0.9610648996527882,0.4968057338446584,2.782211720953449,4.06763516459609,6.3945516579906085,1.0695286138629614,1.058877721839304,0.9637756309580447,medium,2000,4.0,4.0,8.0,8.0,1.5,6.666666666666667,3.74304918753607e-13,1.122914756260821e-11,1.6843721343912315e-10,1.1603452481361818e-11,1.8004066592048498e-10,3.9999999999996256,9.357622968840175e-14,2.8072868906520526e-12,4.210930335978079e-11,2.9008631203404545e-12,4.5010166480121245e-11,0.25,1785.0,60.0
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=12|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,2.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,12.0,0.16,0.36,2.2499999999999996,1.9200000000000004,0.6912,1.4546954078444707,17.36111111111111,8.249149571305297,3.0,0.856971411425142,0.285657137141714,0,0,4,0.0,0.0,1.0,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.1974761246689554,2.648392506475895,1.0828825905872053,1.10582267650975,0.4511389449179901,3.255733857863208,4.74933630202205,7.638170019537753,1.0828825905872053,1.2363366428496252,1.1512116132091823,medium,2000,4.166666666666667,4.166666666666667,9.027777777777777,9.027777777777777,1.6712962962962967,9.069573045267488,0.27217637134106126,0.6622770981182394,0.8599340027613513,0.9344534694593007,1.794387472220652,3.727823628658939,0.06804409283526532,0.16556927452955986,0.21498350069033784,0.23361336736482521,0.448596868055163,0.2704,17.8464,6.24
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=19|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,3.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,19.0,0.16,0.36,2.2499999999999996,3.0400000000000005,1.0944,2.3032677290870787,17.36111111111111,8.249149571305297,4.75,1.356871401423141,0.285657137141714,0,0,3,0.0,0.0,0.75,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.1326276568088791,2.4866669549870477,1.0317790296731189,1.0977424663958433,0.4613952374549281,3.033729008175711,4.398617039812823,7.063351950149439,1.0317790296731189,1.145038186044652,1.0645760401243145,medium,2000,4.166666666666667,4.166666666666667,9.027777777777777,9.027777777777777,1.6712962962962967,9.069573045267488,0.06982911078069155,0.24815154887995033,0.46361204102792075,0.3179806596606419,0.7815927006885626,3.9301708892193083,0.017457277695172888,0.062037887219987584,0.11590301025698019,0.07949516491516047,0.19539817517214067,0.2704,46.2384,9.879999999999999
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=31|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,31.0,0.16,0.36,2.2499999999999996,4.960000000000001,1.7856,3.75796313693155,17.36111111111111,8.249149571305297,7.75,2.213842812848283,0.285657137141714,0,0,1,0.0,0.0,0.25,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.0798736505569655,2.5978498758321185,0.8977632710925642,1.202848997423091,0.4372915276782468,2.793209814076385,4.32173207098378,7.825231144577582,0.8977632710925642,1.1250236622874634,1.1794051384874868,medium,2000,4.166666666666667,4.166666666666667,9.027777777777777,9.027777777777777,1.6712962962962967,9.069573045267488,0.008201730478270981,0.043681757705732384,0.1196592546887124,0.05188348818400337,0.17154274287271576,3.991798269521729,0.0020504326195677452,0.010920439426433096,0.0299148136721781,0.012970872046000843,0.04288568571817895,0.2704,125.73599999999999,16.12
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=50|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,8.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,50.0,0.16,0.36,2.2499999999999996,8.000000000000002,2.88,6.061230866018628,17.36111111111111,8.249149571305297,12.5,3.5707142142714243,0.2856571371417139,0,0,0,0.0,0.0,0.0,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.0285125979886276,1.978684320727227,1.069233887528384,0.9619154517877406,0.4850783318729728,2.791675798790215,4.008700398725049,6.361005700074955,1.069233887528384,1.0435359549163952,0.9587196429098678,medium,2000,4.166666666666667,4.166666666666667,9.027777777777777,9.027777777777777,1.6712962962962967,9.069573045267488,0.00034776628258891234,0.0028314362593353723,0.011622037928478272,0.003179202541924285,0.014801240470402557,3.999652233717411,8.694157064722809e-05,0.0007078590648338431,0.002905509482119568,0.0007948006354810712,0.003700310117600639,0.2704,331.23999999999995,26.0
