q,reference,model,n,median_ratio,mean_abs_log_error,within_05pct,within_10pct,p05,p95
0.95,product,standard,9,0.6834942853702639,0.30784582791971116,0.1111111111111111,0.1111111111111111,0.618643637486664,0.987113661285315
0.95,product,stage12,9,1.0375756434759162,0.07877390249247435,0.5555555555555556,0.6666666666666666,0.9866663637868829,1.2218707850858288
0.95,permutation,standard,9,0.7290343662252663,0.35231113487233384,0.1111111111111111,0.1111111111111111,0.5826313399380044,1.449283714098992
0.95,permutation,stage12,9,1.0487045493929852,0.2164599697159918,0.3333333333333333,0.4444444444444444,0.8440155981476457,1.85416084189486
0.95,product,permutation_empirical,9,1.0011673153286595,0.18529370920469188,0.3333333333333333,0.4444444444444444,0.6558152788088965,1.2523371893316437
0.99,product,standard,9,0.684469858887492,0.3321145456171883,0.0,0.0,0.6087855029876118,0.8705118336711659
0.99,product,stage12,9,1.0178871188788619,0.06400467223780329,0.5555555555555556,0.8888888888888888,0.9590458723329289,1.1702212420667113
0.99,permutation,standard,9,0.7257205757928306,0.29841937877147323,0.1111111111111111,0.1111111111111111,0.6166088575616308,1.2582688956406558
0.99,permutation,stage12,9,1.0657496984495072,0.19873119661776176,0.3333333333333333,0.4444444444444444,0.9333037566439142,1.6568361682497934
0.99,product,permutation_empirical,9,0.9257547746831069,0.17898321217592247,0.3333333333333333,0.4444444444444444,0.6235140742423585,1.1152402770810068
