kmax,pair_family,q,n,median_ratio,within_10pct,max_abs_log_error
10,one_rare_0p25|geom_q0p72,0.95,4,0.9989173755944094,1.0,0.009840814148375506
10,one_rare_0p25|geom_q0p72,0.99,4,1.0043896868824576,1.0,0.02556653907324752
10,uniform|uniform,0.95,4,0.9690488702130393,1.0,0.061471799387090034
10,uniform|uniform,0.99,4,0.9744142855317928,1.0,0.06651816542854949
11,dirichlet_a0p55|dirichlet_a1p60_rect,0.95,3,0.9974904063177812,1.0,0.008367898654545463
11,dirichlet_a0p55|dirichlet_a1p60_rect,0.99,3,0.9884089163152794,1.0,0.012060413623516604
12,zipf_a0p85|two_rare_0p35_rect,0.95,4,0.9994215138121938,1.0,0.01845034982833254
12,zipf_a0p85|two_rare_0p35_rect,0.99,4,1.0171408551114376,1.0,0.02911817091932729
13,uniform|zipf_a1p45_rect,0.95,4,1.0050198739375662,1.0,0.021857738185572153
13,uniform|zipf_a1p45_rect,0.99,4,1.0086521953659515,1.0,0.021457682608734843
15,one_rare_0p25|geom_q0p72,0.95,2,1.0082060721819561,1.0,0.01779782112885412
15,one_rare_0p25|geom_q0p72,0.99,2,1.0136623733542256,1.0,0.01870018821776755
15,uniform|uniform,0.95,4,0.9865255528441198,1.0,0.06281730693044528
15,uniform|uniform,0.99,4,0.9890303950931321,1.0,0.05267513247691363
17,zipf_a0p85|two_rare_0p35_rect,0.95,4,0.9980381529832565,1.0,0.004100004401158694
17,zipf_a0p85|two_rare_0p35_rect,0.99,4,0.9970255610788048,1.0,0.0124020167140743
18,uniform|zipf_a1p45_rect,0.95,4,0.9896366574766289,1.0,0.014321353247352276
18,uniform|zipf_a1p45_rect,0.99,4,0.9938952725425927,1.0,0.012644660377539007
20,uniform|uniform,0.95,4,1.0062011492886598,1.0,0.046783167100749444
20,uniform|uniform,0.99,4,1.0098239459258607,1.0,0.045853037145922405
21,dirichlet_a0p55|dirichlet_a1p60_rect,0.95,1,0.9985253260550078,1.0,0.001475762346771014
21,dirichlet_a0p55|dirichlet_a1p60_rect,0.99,1,0.9971141940791272,1.0,0.002889977887035594
22,zipf_a0p85|two_rare_0p35_rect,0.95,4,0.9946887703229964,1.0,0.016166854941717945
22,zipf_a0p85|two_rare_0p35_rect,0.99,4,0.992838138903749,1.0,0.011097713917273343
23,uniform|zipf_a1p45_rect,0.95,4,0.9697449419818251,1.0,0.05699967405786444
23,uniform|zipf_a1p45_rect,0.99,4,0.9751826795648373,1.0,0.0578817405863238
30,uniform|uniform,0.95,4,1.076069547875178,0.75,0.23358437039048938
30,uniform|uniform,0.99,4,1.0754378707313497,0.75,0.2308213044275683
32,zipf_a0p85|two_rare_0p35_rect,0.95,3,0.9922471415889379,1.0,0.02193525687246786
32,zipf_a0p85|two_rare_0p35_rect,0.99,3,0.9890916557084282,1.0,0.017128840182867797
33,uniform|zipf_a1p45_rect,0.95,3,0.9083411596948732,0.3333333333333333,0.17288238400719227
33,uniform|zipf_a1p45_rect,0.99,3,0.9154030155610835,0.6666666666666666,0.1667618458306209
