p,N,lam,mu,sigma2,nu,a
0.5,10,2.5,1.2745171450493147,2.9482654419255314,1.1019319562785048,1.1566205497421749
0.5,20,5.0,1.1182300073162372,2.5432520088926163,0.9833381394295553,1.1371775002695759
0.5,30,7.5,1.0851094702996646,2.4567864992029156,0.9585387765001451,1.1320454601342884
0.5,50,12.5,0.9965495991328107,1.9552436814282634,1.0158438183074137,0.9810067071070524
0.5,75,18.75,1.0180387942490812,2.1212796391664015,0.9771488562473526,1.041846170867725
0.5,100,25.0,1.0355555209776306,2.0784114134045835,1.0319181564449034,1.0035248575771343
0.5,150,37.5,1.0112868936966317,2.151273842384035,0.9507866095087442,1.0636318218860352
0.5,200,50.0,1.0382689011931712,2.216839416342891,0.9725578706672855,1.0675651624522873
0.5,300,75.0,1.0180995912921598,2.0600175231278652,1.0063281172632295,1.0116974511861436
0.5,500,125.0,1.0002186966097757,1.872895993868229,1.0683320849883202,0.9362432437107896
0.5,750,187.5,0.9904023722536462,1.884944255301325,1.040770151379193,0.9516052808981876
0.5,1000,250.0,0.9941460811066087,2.0007216647167088,0.9879699390565349,1.0062513461249356
0.3,10,0.8999999999999999,1.2713321365997856,2.185116171152703,1.4793587845709322,0.8593805301724139
0.3,20,1.7999999999999998,1.2071802117677246,2.6472196138802397,1.1009921927463446,1.0964475676766623
0.3,30,2.6999999999999997,1.1256616926898484,2.422948920159276,1.0459273291705045,1.0762331772921347
0.3,50,4.5,1.0482852730756156,2.2068740213001043,0.9958901170986075,1.0526113825987693
0.3,75,6.75,1.0234418191444365,2.1141995800649354,0.9908555152976642,1.0328870388706297
0.3,100,9.0,1.029609346127121,2.189542959702827,0.9683257420774222,1.0632882111738788
0.3,150,13.5,1.0006265479212155,2.063515157777289,0.9704348278044408,1.0311115380979081
0.3,200,18.0,1.0188738442823853,1.9205240698899573,1.0810631606634826,0.9424739287731072
0.3,300,27.0,0.9859734288947897,1.984419327689203,0.9797763899211575,1.0063249523435964
0.3,500,45.0,0.9998970727828664,2.0109284266592615,0.9943607568576615,1.0055677136160326
0.3,750,67.5,1.0039124664356602,2.0315391650463,0.992193758904925,1.0118109063129657
0.3,1000,90.0,1.0094672554823847,2.1366096552234835,0.953870200295946,1.0582857658926648
0.2,10,0.4000000000000001,1.0240502730246366,1.861282685061642,1.1268347039365518,0.9087848195011727
0.2,20,0.8000000000000002,1.1547163033067611,1.9639686254282722,1.3578320181481218,0.8504117504031315
0.2,30,1.2000000000000002,1.181005829496648,2.009214084579291,1.3883784510669672,0.8506368192253678
0.2,50,2.0000000000000004,1.1589868048643326,2.4552425425653404,1.0941895886555877,1.0592193682708682
0.2,75,3.0000000000000004,1.1018410188541765,2.3991025821847716,1.0120898037832273,1.0886791021265663
0.2,100,4.000000000000001,1.0756711133659613,2.293578216297633,1.008963492858546,1.0661149991843832
0.2,150,6.000000000000001,1.0400050828315859,2.1415259080975715,1.0101307373641673,1.029574731628673
0.2,200,8.000000000000002,1.0044162730535693,1.9182153555093222,1.0518652628624727,0.9548906200402711
0.2,300,12.000000000000002,1.0197996940596465,2.226525663101461,0.9341831834585571,1.09164852474021
0.2,500,20.000000000000004,1.0342699958530883,2.1077287338884876,1.0150399405035981,1.0189451218441212
0.2,750,30.000000000000007,1.023285840586296,2.043708122283837,1.0247196261805291,0.9986008020558976
0.2,1000,40.00000000000001,1.0104251961163762,2.143932643408061,0.952417120086263,1.0609061668535098
0.1,10,0.10000000000000002,0.45139518849237303,1.2217401933303234,0.333553102871479,1.3532933275284196
0.1,20,0.20000000000000004,0.7787551658779355,1.7314144981877682,0.700536594808855,1.1116552249357121
0.1,30,0.30000000000000004,0.864554778962598,1.4383706104514955,1.0393078951918313,0.831856260269265
0.1,50,0.5000000000000001,1.0352543338317592,1.2300581334001532,1.7426030634095007,0.594084995929151
0.1,75,0.7500000000000001,1.1071940512547631,1.3538076207016072,1.811008666798059,0.6113687204006205
0.1,100,1.0000000000000002,1.1427024114060556,1.5229059818755377,1.7148383637249782,0.6663615857787746
0.1,150,1.5000000000000002,1.1482761834618196,1.984024582128826,1.3291550975551647,0.8639143660314345
0.1,200,2.0000000000000004,1.157338749055305,2.3320801047989774,1.1487023771684344,1.0075183720853433
0.1,300,3.0000000000000004,1.0879687018749216,2.388116327154718,0.991305057295658,1.0975115014978014
0.1,500,5.000000000000001,1.0890471583292038,2.3677357734115816,1.001821002481216,1.0870676055222983
0.1,750,7.500000000000002,1.038754350378966,2.0668984812208326,1.0440866934053772,0.9948928158359922
0.1,1000,10.000000000000002,1.0414845413995435,2.2019871119196472,0.9851920059864536,1.0571386441130581
0.07,10,0.04900000000000001,0.2744903404582145,0.8618886446032955,0.17483684806996339,1.5699799183543588
0.07,20,0.09800000000000002,0.48996110119430525,1.4803201741899537,0.32433778160849636,1.5106507134766387
0.07,30,0.14700000000000002,0.6049055099542243,1.364142845080943,0.5364697359846775,1.127566886590414
0.07,50,0.24500000000000002,0.7521378880845935,1.1091765490648842,1.020056551266411,0.7373492059345202
0.07,75,0.36750000000000005,0.9203398403187794,1.0680200529088821,1.5861601462838077,0.5802313483131136
0.07,100,0.49000000000000005,0.971487910124981,0.7960045310006939,2.37131504347726,0.40968318941729737
0.07,150,0.7350000000000001,1.091362621748102,1.3138222200643104,1.8131408556792243,0.6019182780696123
0.07,200,0.9800000000000001,1.1623655964376822,1.482811456934158,1.8223406266032405,0.637842113306928
0.07,300,1.4700000000000002,1.218979078933479,2.120878911108158,1.4012209627763477,0.8699406526992154
0.07,500,2.45,1.1505391639539853,2.443702899441143,1.0833889570574762,1.0619816239210074
0.07,750,3.6750000000000007,1.020128736074799,2.2619140110599605,0.9201610963786372,1.1086414542948968
0.07,1000,4.9,1.0627385457425291,2.331730536868662,0.9687339070694356,1.0970386583839846
0.05,10,0.025000000000000005,0.17638518865576922,0.6812074081899858,0.09134291378244778,1.9310221379172046
0.05,20,0.05000000000000001,0.2996362335855493,1.162798484278042,0.15442378656535247,1.9403502546464408
0.05,30,0.07500000000000001,0.43357916803807073,1.4077910821360513,0.2670721491875708,1.6234533228455745
0.05,50,0.12500000000000003,0.5699080677505238,1.50049382093913,0.4329177516823796,1.3164349706977374
0.05,75,0.18750000000000003,0.712098154866736,1.344628174473437,0.7542364376875956,0.9441312024780308
0.05,100,0.25000000000000006,0.773605200788297,1.0423520516935705,1.1482972681146262,0.6736976759149388
