p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.02,0.01,2.0,10,0.002,0.016241712917732836,0.08522663907150627,0.00619039402177349,2.6236961428635746
0.02,0.01,2.0,20,0.004,0.03173725977091816,0.15575972011286138,0.01293342922081393,2.4538936448380597
0.02,0.01,2.0,30,0.006,0.04128613107125565,0.2143751022956379,0.015902449496977666,2.5962120539418954
0.02,0.01,2.0,50,0.01,0.09056411218956031,0.5009657387453447,0.03274418900272343,2.765807153813699
0.02,0.01,2.0,75,0.015,0.11612423976963812,0.6226911671118704,0.043311483362197,2.6811420610681123
0.02,0.01,2.0,100,0.02,0.14054167395262634,0.7027706698521134,0.05621168601576046,2.5002216427598647
0.02,0.01,2.0,150,0.03,0.20162393000583803,0.8821789513764566,0.0921631809228043,2.187684148778652
0.02,0.01,2.0,200,0.04,0.27846063625268447,1.0055875492162032,0.15421894593402238,1.8056188528990136
0.02,0.01,2.0,300,0.06,0.36960900045423106,1.191738957183477,0.22926298144962554,1.6121617110499058
0.02,0.01,2.0,500,0.1,0.4770338751729984,0.9879191675784427,0.46068813224944133,1.0354811460927902
0.02,0.01,2.0,750,0.15,0.6015847956220463,0.8259827935592043,0.8762997707595196,0.6865057092285117
0.02,0.01,2.0,1000,0.2,0.698202413279652,0.7794692609690755,1.250816765509039,0.558197197649096
0.02,0.02,1.0,10,0.004,0.03497395877216847,0.16827119685598418,0.014538171892177161,2.4056641393122877
0.02,0.02,1.0,20,0.008,0.05772485687216393,0.25860840134973373,0.025769921499228528,2.2400090304462914
0.02,0.02,1.0,30,0.012,0.07831178336348281,0.38046758491595173,0.03223788652020819,2.4291847827677344
0.02,0.02,1.0,50,0.02,0.130558709740094,0.6415313944175716,0.05314027290737134,2.4568693873226906
0.02,0.02,1.0,75,0.03,0.21225386588908313,0.895950267501746,0.10056742035578016,2.110562895400784
0.02,0.02,1.0,100,0.04,0.2862044360786745,1.3162429076600881,0.12446483662613683,2.299480269583011
0.02,0.02,1.0,150,0.06,0.34597821439061494,1.0903681934426104,0.2195605586310943,1.575775797564478
0.02,0.02,1.0,200,0.08,0.41842181498003916,1.1557305666270137,0.30297167922476914,1.3810591671494803
0.02,0.02,1.0,300,0.12,0.5575267568047408,1.1176530956109267,0.5562299890258967,1.0023313517869021
0.02,0.02,1.0,500,0.2,0.6853213598179327,0.8140184527151492,1.1539427998373675,0.5938954339110392
0.02,0.02,1.0,750,0.3,0.8310072782460648,0.7324697310451008,1.8856017313168985,0.4407119830472853
0.02,0.02,1.0,1000,0.4,0.9397450190324845,0.6612974050383501,2.6708730264718055,0.351849380228261
0.05,0.01,5.0,10,0.005,0.04276562824358057,0.20350149793414288,0.01797430463789514,2.379264683954338
0.05,0.01,5.0,20,0.01,0.060483758705063166,0.26502387075920486,0.027607211807846133,2.1908680646943606
0.05,0.01,5.0,30,0.015,0.12092356884776241,0.5614762257873899,0.05208594355842427,2.321616171014041
0.05,0.01,5.0,50,0.025,0.14145840813474614,0.5389641810597529,0.07425532877776873,1.9050270258462219
0.05,0.01,5.0,75,0.0375,0.2544860558637791,0.9241433785292192,0.1401582354724513,1.8157053348021026
0.05,0.01,5.0,100,0.05,0.3379158014394994,1.2582693616878686,0.18149863986090586,1.8618090014253887
0.05,0.01,5.0,150,0.075,0.38482106228790175,1.0415679441733101,0.28435446925726127,1.3533146262587712
0.05,0.01,5.0,200,0.1,0.44793244129730153,0.9694564222018008,0.413929842273601,1.0821458023826784
0.05,0.01,5.0,300,0.15,0.587459518318831,0.9528168021323687,0.7243967253538194,0.8109637961600342
0.05,0.01,5.0,500,0.25,0.7832363044819161,0.8652491363097581,1.4179941543192045,0.5523551011096777
0.05,0.01,5.0,750,0.375,0.9076902177993242,0.7424735429792402,2.219342464871159,0.40899060517549235
0.05,0.01,5.0,1000,0.5,1.0117586045050235,0.8238519954499824,2.4850470216579104,0.4071386157635054
0.05,0.025,2.0,10,0.0125,0.06432803409878299,0.2179908728392442,0.037965772760273284,1.6943691494169906
0.05,0.025,2.0,20,0.025,0.17721208037965763,0.750376745491407,0.08370227787888147,2.1171715378652696
0.05,0.025,2.0,30,0.037500000000000006,0.23382573814436178,0.913985453341733,0.11963970677838179,1.9544158410342471
0.05,0.025,2.0,50,0.0625,0.3727610741137854,1.3557128494198718,0.20498561835409612,1.818474276911811
0.05,0.025,2.0,75,0.09375,0.4576423303524255,1.2665687059948185,0.3307147911346791,1.3837975881945266
0.05,0.025,2.0,100,0.125,0.5420577911115648,1.1345829467188135,0.5179465278488249,1.046551645713083
0.05,0.025,2.0,150,0.1875,0.6928290694010703,1.3203397826883347,0.7271039253695797,0.9528611319886797
0.05,0.025,2.0,200,0.25,0.7945346659852042,1.0676372003449202,1.182583999973533,0.6718631961898575
0.05,0.025,2.0,300,0.375,0.9221943400771895,0.8377283663296068,2.030353596826382,0.4542038103701045
0.05,0.025,2.0,500,0.625,1.0931649100924643,1.1446426804957384,2.0880044768904016,0.5235452903436683
0.05,0.025,2.0,750,0.9375,1.1275607828718373,1.2684697311129463,2.0046096298333254,0.5624839699914985
0.05,0.025,2.0,1000,1.25,1.1376222996074161,1.878830912213583,1.3776487156465782,0.8257709579277549
0.05,0.05,1.0,10,0.025,0.16476366833433784,0.598796923757252,0.09067203028582327,1.8171388444149454
0.05,0.05,1.0,20,0.05,0.30216146976077485,1.170542260007853,0.15599873140398898,1.9369482497794746
0.05,0.05,1.0,30,0.07500000000000001,0.39909486629192603,1.2625150546349742,0.2523165354992481,1.581722995293407
0.05,0.05,1.0,50,0.125,0.5048006133990228,1.0702623985631867,0.47618912825514026,1.0600842888805992
0.05,0.05,1.0,75,0.1875,0.6868523911749322,1.2018105156402676,0.7850924935723124,0.8748681165573626
0.05,0.05,1.0,100,0.25,0.7454056374264434,0.8092772792215074,1.3731500403461616,0.5428435462438844
0.05,0.05,1.0,150,0.375,0.9428145199240662,1.0182271884837235,1.7459742364635484,0.5399933746065616
0.05,0.05,1.0,200,0.5,1.039828733297551,0.9753044595061746,2.2172436187539946,0.46897360511150993
0.05,0.05,1.0,300,0.75,1.1268137895519437,1.2850214257860777,1.9761683203806522,0.5702013223928695
0.05,0.05,1.0,500,1.25,1.22175814543297,1.859770608980945,1.6052441722903947,0.7611042397928415
0.05,0.05,1.0,750,1.875,1.068767980370917,2.0030641707548154,1.1405176254894405,0.9370902794354159
0.05,0.05,1.0,1000,2.5,1.070823101423014,2.175344385221943,1.0542350189064087,1.0157347102108338
0.1,0.01,10.0,10,0.01,0.08002377392790384,0.3184360520875894,0.0402203478637703,1.9896340578393574
0.1,0.01,10.0,20,0.02,0.11134976756783906,0.38926876359440715,0.06370288035918803,1.7479549894760575
0.1,0.01,10.0,30,0.03,0.1740386410502581,0.5348166328930896,0.11327040602596769,1.5364881892482936
0.1,0.01,10.0,50,0.05,0.3026090387199388,0.9381083477616149,0.1952274074386024,1.5500335874465128
0.1,0.01,10.0,75,0.075,0.3917311800914011,1.0930268448931428,0.28078599930599824,1.3951236210481268
0.1,0.01,10.0,100,0.1,0.4717503119547121,1.0321503988735783,0.4312324193688109,1.0939583639031747
0.1,0.01,10.0,150,0.15,0.5777690111188468,1.0704047424517098,0.6237211345769237,0.9263258515534403
0.1,0.01,10.0,200,0.2,0.7319821838793641,1.320965695780741,0.8112215468246906,0.902320934083312
0.1,0.01,10.0,300,0.3,0.8620338782337076,1.1886214661265098,1.2503600656721696,0.6894285109547983
0.1,0.01,10.0,500,0.5,1.020192253689313,1.0780433410259886,1.9308912636056796,0.528353032052277
0.1,0.01,10.0,750,0.75,1.1274429076065087,1.2505388392077401,2.032927678947616,0.5545907605479361
0.1,0.01,10.0,1000,1.0,1.1460532266708787,1.4302441018280585,1.8366627020995494,0.6239867697867375
0.1,0.02,5.0,10,0.02,0.11850605483626644,0.41245540383995727,0.06809795629835162,1.7402292414924498
