shape,N,lam,n_rare,n_very_rare,mu,sigma2,nu,a,nu_norm
"uniform (1/3,1/3,1/3)",10,1.1111111111111112,9,0,5.165794856727899,7.533501264369763,7.084471234645466,0.7291715479717683,1.7711178086613666
"uniform (1/3,1/3,1/3)",15,1.6666666666666665,9,0,5.244021209931037,9.238720836365424,5.953152809198891,0.8808813376716796,1.4882882022997228
"uniform (1/3,1/3,1/3)",20,2.2222222222222223,9,0,5.052018749721049,10.979993403317733,4.648981563107496,1.0866936513175056,1.162245390776874
"uniform (1/3,1/3,1/3)",30,3.333333333333333,9,0,4.55114086209137,10.199961716824237,4.061364879915794,1.120593937421779,1.0153412199789484
"uniform (1/3,1/3,1/3)",50,5.555555555555555,0,0,4.268311278942963,9.277245171703132,3.927562727245922,1.0867582710603783,0.9818906818114805
"uniform (1/3,1/3,1/3)",75,8.333333333333332,0,0,4.187234762097018,9.111086456729748,3.8487034529154895,1.08795983201176,0.9621758632288724
"uniform (1/3,1/3,1/3)",100,11.11111111111111,0,0,4.17049861516463,8.932356070034698,3.894394393308714,1.0708978582986648,0.9735985983271785
"uniform (1/3,1/3,1/3)",150,16.666666666666664,0,0,4.0556277770748235,8.561633129235396,3.842284858017453,1.055525013615844,0.9605712145043632
"uniform (1/3,1/3,1/3)",200,22.22222222222222,0,0,4.06673099943402,8.19021674946772,4.038550267386377,1.0069779327188815,1.0096375668465942
"bimodal (.45,.10,.45)",10,0.10000000000000002,9,5,3.541988531883941,6.839631115549733,3.668526137754726,0.965507236116292,0.9171315344386815
"bimodal (.45,.10,.45)",15,0.15000000000000002,9,5,3.858076931770789,7.098810640888176,4.193591959117136,0.919993401690664,1.048397989779284
"bimodal (.45,.10,.45)",20,0.20000000000000004,9,5,4.143358451157014,7.368141153346383,4.659905096138757,0.8891508229620905,1.1649762740346892
"bimodal (.45,.10,.45)",30,0.30000000000000004,5,1,4.381688037472738,7.391678856463495,5.194811741839509,0.8434738841799032,1.2987029354598771
"bimodal (.45,.10,.45)",50,0.5000000000000001,5,1,4.430985770591594,8.30755506915378,4.726693891464048,0.9374386986628276,1.181673472866012
"bimodal (.45,.10,.45)",75,0.7500000000000001,5,1,4.3520937076095745,8.393562660160603,4.513153807671089,0.9643131816629519,1.1282884519177723
"bimodal (.45,.10,.45)",100,1.0000000000000002,5,0,4.267584758235863,8.495100392152283,4.287713818085406,0.9953054096650201,1.0719284545213514
"bimodal (.45,.10,.45)",150,1.5000000000000002,1,0,4.369493592885032,8.967085921293112,4.25834533667769,1.0261012781772316,1.0645863341694226
"bimodal (.45,.10,.45)",200,2.0000000000000004,1,0,4.316369192167497,8.888110230845,4.192351921657349,1.0295817891311758,1.0480879804143373
"bimodal (.45,.10,.45)",300,3.0000000000000004,1,0,4.148972745081847,8.314846832499656,4.140539251342298,1.002036810479895,1.0351348128355744
"bimodal (.45,.10,.45)",500,5.000000000000001,0,0,4.010983605359962,8.100579420101854,3.9720589474238164,1.0097996173902182,0.9930147368559541
"bimodal (.45,.10,.45)",750,7.500000000000002,0,0,4.0672697002159435,7.888678541858145,4.194031415152107,0.9697756877837866,1.0485078537880268
"bimodal (.45,.10,.45)",1000,10.000000000000002,0,0,3.9851293357066866,8.083264870720823,3.9294161644597474,1.0141784857890204,0.9823540411149368
"bimodal (.45,.10,.45)",1500,15.000000000000004,0,0,4.125451286937426,8.376375913283638,4.06365437680599,1.0152072259107843,1.0159135942014974
"rare-rare (.10,.10,.80)",10,0.10000000000000002,8,8,1.8889058117013355,4.956808086777476,1.4396220725175137,1.3120845031211177,0.35990551812937843
"rare-rare (.10,.10,.80)",15,0.15000000000000002,8,4,2.474116677102655,5.7845909839953,2.1163997070332727,1.16902146077634,0.5290999267583182
"rare-rare (.10,.10,.80)",20,0.20000000000000004,8,4,2.84788686628732,5.706506061991566,2.8425307938221196,1.001884261896772,0.7106326984555299
"rare-rare (.10,.10,.80)",30,0.30000000000000004,8,4,3.486681383472181,5.678788134589535,4.281528657779444,0.8143543257936525,1.070382164444861
"rare-rare (.10,.10,.80)",50,0.5000000000000001,8,4,4.009254055752757,4.832801010111438,6.652091840710523,0.602705758091957,1.6630229601776307
"rare-rare (.10,.10,.80)",75,0.7500000000000001,4,4,4.435587618977681,5.537219105261565,7.106252128232775,0.6241810083483132,1.7765630320581938
"rare-rare (.10,.10,.80)",100,1.0000000000000002,4,0,4.57437361952087,6.22142426819994,6.726721441559141,0.6800301839852323,1.6816803603897852
"rare-rare (.10,.10,.80)",150,1.5000000000000002,4,0,4.771199174729417,8.188686276200688,5.559949617583997,0.8581371240559332,1.3899874043959992
"rare-rare (.10,.10,.80)",200,2.0000000000000004,4,0,4.532586546863749,9.391471059170682,4.375106024470766,1.0359946756746388,1.0937765061176914
"rare-rare (.10,.10,.80)",300,3.0000000000000004,4,0,4.390435407412177,9.621292499347065,4.006930060169496,1.0957105169004269,1.001732515042374
"rare-rare (.10,.10,.80)",500,5.000000000000001,0,0,4.11407130529533,8.974200785114546,3.772053492078936,1.0906715172344745,0.943013373019734
"rare-rare (.10,.10,.80)",750,7.500000000000002,0,0,4.101665886253566,8.698128285079536,3.868340978901168,1.0603165306846027,0.967085244725292
"rare-rare (.10,.10,.80)",1000,10.000000000000002,0,0,4.126171598731885,8.64474430543899,3.9388769547457594,1.0475502652502164,0.9847192386864398
"rare-rare (.10,.10,.80)",1500,15.000000000000004,0,0,4.038889054284571,7.977281284377698,4.089770489794695,0.9875588530854996,1.0224426224486738
"rare-rare (.05,.05,.90)",10,0.025000000000000005,8,8,0.6204985744069321,2.206580819042345,0.34897292455223367,1.7780708208325686,0.08724323113805842
"rare-rare (.05,.05,.90)",15,0.037500000000000006,8,8,0.9565260210939028,3.4720646454307635,0.5270305264815832,1.8149347581051893,0.1317576316203958
"rare-rare (.05,.05,.90)",20,0.05000000000000001,8,8,1.136456738322137,3.963561676108139,0.6517037067256942,1.7438242664476327,0.16292592668142356
"rare-rare (.05,.05,.90)",30,0.07500000000000001,8,4,1.5654765786937725,4.922923440272452,0.9956347882197121,1.572340176555091,0.24890869705492802
"rare-rare (.05,.05,.90)",50,0.12500000000000003,8,4,2.1829989389145505,4.970712733965678,1.9174249739836033,1.138505531394637,0.47935624349590084
"rare-rare (.05,.05,.90)",75,0.18750000000000003,8,4,2.7895120247436087,4.595369912531204,3.386616304802796,0.8236870592005382,0.846654076200699
"rare-rare (.05,.05,.90)",100,0.25000000000000006,8,4,3.229947177432052,4.583702740485757,4.552022397462751,0.7095631118230855,1.1380055993656877
"rare-rare (.05,.05,.90)",150,0.37500000000000006,4,4,3.6162755422360533,3.4959458049866616,7.481494008700491,0.48336275321888383,1.8703735021751227
"rare-rare (.05,.05,.90)",200,0.5000000000000001,4,4,4.070730994377555,3.923771844754678,8.44638856906937,0.48194929242120704,2.1115971422673425
"rare-rare (.05,.05,.90)",300,0.7500000000000001,4,4,4.337485628760891,4.380455954084264,8.589873646447973,0.5049533680340571,2.1474684116119933
"rare-rare (.05,.05,.90)",500,1.2500000000000002,4,0,4.700005328828431,7.253737505457101,6.0906670731872925,0.7716733277901664,1.5226667682968231
"rare-rare (.05,.05,.90)",750,1.8750000000000004,4,0,4.507035995568117,8.1771545394701,4.968323239409645,0.9071543412911395,1.2420808098524112
"rare-rare (.05,.05,.90)",1000,2.5000000000000004,4,0,4.517580233789307,9.332276712151842,4.373751828886359,1.0328844457870325,1.0934379572215898
"rare-rare (.05,.05,.90)",1500,3.750000000000001,4,0,4.370310881696424,9.986339743094955,3.8251486919179953,1.1425205223865627,0.9562871729794988
"rare-rare (.05,.05,.90)",3000,7.500000000000002,0,0,4.142226286660254,8.580717627390202,3.99920830750324,1.0357615728314742,0.99980207687581
"asymmetric (.05,.25,.70)",10,0.025000000000000005,9,6,2.3203660570087212,4.659739932920084,2.310900915512762,1.004095866435649,0.5777252288781906
"asymmetric (.05,.25,.70)",15,0.037500000000000006,8,6,2.621435562071973,4.677381264464487,2.9383640193301055,0.8921411863291239,0.7345910048325264
"asymmetric (.05,.25,.70)",20,0.05000000000000001,8,5,2.9616810085955616,5.357299705920596,3.274617765730664,0.9044356381346154,0.818654441432666
"asymmetric (.05,.25,.70)",30,0.07500000000000001,6,3,3.4415266922292727,6.547033260857762,3.6181597072793235,0.951181531679023,0.9045399268198309
"asymmetric (.05,.25,.70)",50,0.12500000000000003,6,3,3.844948229968272,6.751630946096009,4.379275765860536,0.8779872370546485,1.094818941465134
"asymmetric (.05,.25,.70)",75,0.18750000000000003,6,3,4.13438734659506,7.230481996753076,4.72808278600547,0.8744320972619866,1.1820206965013675
"asymmetric (.05,.25,.70)",100,0.25000000000000006,5,1,4.141669829667637,6.930821092170177,4.949898071198971,0.8367182051214311,1.2374745177997428
"asymmetric (.05,.25,.70)",150,0.37500000000000006,3,1,4.3100446240175785,7.734926869381098,4.80327350852102,0.8973140122817382,1.200818377130255
"asymmetric (.05,.25,.70)",200,0.5000000000000001,3,1,4.336544406678045,8.146220520143537,4.617016527993348,0.939252519540535,1.154254131998337
"asymmetric (.05,.25,.70)",300,0.7500000000000001,3,1,4.283265653158663,8.369433332985798,4.38413544277164,0.9769920909311123,1.09603386069291
"asymmetric (.05,.25,.70)",500,1.2500000000000002,1,0,4.219698953360956,7.7998771973575955,4.565676819380625,0.9242219982476543,1.1414192048451564
"asymmetric (.05,.25,.70)",750,1.8750000000000004,1,0,4.119409664328464,8.279690781253985,4.09907481592994,1.0049608385578859,1.024768703982485
"asymmetric (.05,.25,.70)",1000,2.5000000000000004,1,0,4.124338091794195,8.630938308575375,3.9416721768301652,1.0463422392247057,0.9854180442075413
"asymmetric (.05,.25,.70)",1500,3.750000000000001,1,0,4.200310652312112,8.877882517056383,3.974508457851572,1.0568126088685186,0.993627114462893
"asymmetric (.05,.25,.70)",3000,7.500000000000002,0,0,4.048454587284457,8.077616237413508,4.05812409591588,0.9976172466876618,1.01453102397897
"one-rare (.05,.475,.475)",10,0.025000000000000005,9,5,2.6064782307556693,5.291229464995366,2.567920674144928,1.0150150886664675,0.641980168536232
"one-rare (.05,.475,.475)",15,0.037500000000000006,9,5,2.8442990666575945,5.217081646280772,3.1013649887410155,0.9171120061596569,0.7753412471852539
"one-rare (.05,.475,.475)",20,0.05000000000000001,9,5,3.1071016987996143,5.709912968293766,3.381515977665865,0.9188487410147714,0.8453789944164662
"one-rare (.05,.475,.475)",30,0.07500000000000001,5,5,3.585527407627537,6.1059037517832735,4.211008660951642,0.8514652180309804,1.0527521652379106
"one-rare (.05,.475,.475)",50,0.12500000000000003,5,1,3.8969910828764824,6.995909278672615,4.341548437832308,0.897603962889842,1.085387109458077
"one-rare (.05,.475,.475)",75,0.18750000000000003,5,1,4.137799175010813,7.789695941468907,4.395905088303505,0.9412849212828883,1.0989762720758762
"one-rare (.05,.475,.475)",100,0.25000000000000006,5,1,4.145309368942967,8.431264789269092,4.076159436035454,1.0169644818836552,1.0190398590088634
"one-rare (.05,.475,.475)",150,0.37500000000000006,5,1,4.159387100396258,7.743072103824959,4.468640048540064,0.9307948403128058,1.117160012135016
"one-rare (.05,.475,.475)",200,0.5000000000000001,5,1,4.141037815491886,7.51378129871632,4.56446455056217,0.9072340840026606,1.1411161376405425
"one-rare (.05,.475,.475)",300,0.7500000000000001,1,1,4.116451546950115,7.441965229459844,4.55395122549314,0.9039296521021372,1.138487806373285
"one-rare (.05,.475,.475)",500,1.2500000000000002,1,0,4.251000815170251,8.147308767562295,4.436068018564871,0.9582812520862807,1.1090170046412178
"one-rare (.05,.475,.475)",750,1.8750000000000004,1,0,4.271820789041814,8.895014735887912,4.103074226524762,1.0411268607879849,1.0257685566311905
