k,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a
2,1,11,2.75,0.6875,1.2572113435341676,2.9216362442276846,1.081982991848325,1.1619511147642945
2,1,13,3.25,0.8125,1.1986861432167537,2.610489379107137,1.1008269035220513,1.0888961192550852
2,1,16,4.0,1.0,1.125706929277312,2.582709068179386,0.9813076557757598,1.1471498491341119
2,1,20,5.0,1.25,1.120948771367486,2.5542734763429875,0.9838618767081071,1.1393355082707914
2,1,36,9.0,2.25,1.019820370827023,1.950421385395152,1.066470657614388,0.9562573180478138
2,1,66,16.5,4.125,1.0055928778792103,2.1020144262067793,0.9621409096284832,1.045161751065658
2,1,120,30.0,7.5,1.0480330458138138,2.292479575135695,0.9582403935291467,1.0937057682926157
3,4,10,1.1111111111111112,0.12345679012345678,5.118944755074322,7.175345533836007,7.3037863561935605,0.7008617866722638
3,4,13,1.4444444444444444,0.16049382716049382,5.190953446791684,8.677786829056059,6.210338699847864,0.8358567378811155
3,4,16,1.7777777777777777,0.19753086419753085,5.1557633268949115,9.534811710871013,5.575756771923965,0.9246750778039892
3,4,19,2.111111111111111,0.2345679012345679,5.057778283288274,10.218483371828464,5.0068332514837905,1.0101751005567012
3,4,24,2.6666666666666665,0.2962962962962963,4.796094436542909,10.964777282575824,4.195711641273599,1.1430943893672982
3,4,30,3.3333333333333335,0.37037037037037035,4.579732403773032,10.464219163811219,4.008698319833297,1.1424487547777058
3,4,37,4.111111111111111,0.4567901234567901,4.374139653215435,10.033422826299002,3.813872501352405,1.1469024335932463
3,4,45,5.0,0.5555555555555556,4.313827668750347,10.21291342355417,3.6442312558447103,1.1837414713546845
3,4,82,9.11111111111111,1.0123456790123457,4.134324582085826,8.56208238776525,3.992636131243865,1.0354874439303887
3,4,149,16.555555555555557,1.8395061728395061,4.134538661500742,8.963799124062287,3.814099291349886,1.08401442796143
3,4,270,30.0,3.3333333333333335,4.11699964320869,8.80456249652652,3.8502051791596195,1.0692935705071445
4,9,12,0.75,0.046875,10.384733572411212,12.289799613993265,17.549951139508245,0.5917243580828679
4,9,15,0.9375,0.05859375,10.97769279377158,14.129530695609438,17.057854456818053,0.6435564813594583
4,9,18,1.125,0.0703125,11.224556455622293,14.889203678719577,16.923761719442997,0.6632424068419064
4,9,23,1.4375,0.08984375,11.46608183481811,19.725879471410554,13.329801881157358,0.8601839650014791
4,9,28,1.75,0.109375,11.20869637128054,21.37904351516435,11.753086545190255,0.9536810886385844
4,9,35,2.1875,0.13671875,10.809421885132178,22.884673591280734,10.211515670059017,1.0585521517463141
4,9,43,2.6875,0.16796875,10.482655368933148,23.42386040145269,9.382404240849054,1.1172675041322382
4,9,53,3.3125,0.20703125,10.158300494684948,22.95302042879705,8.99150238291533,1.1297667577763912
4,9,65,4.0625,0.25390625,9.961711550109099,23.305675525509734,8.516011209283029,1.1697626160062071
4,9,80,5.0,0.3125,9.677741842857865,21.172457377479482,8.847219338518912,1.0938738458447657
4,9,145,9.0625,0.56640625,9.157636064925743,18.22501492628943,9.202988160701915,0.9950720249788181
4,9,264,16.5,1.03125,9.074211334171572,18.37515841713083,8.96224233478635,1.0124934135010635
4,9,480,30.0,1.875,9.045934308378214,18.33151733198425,8.927676419749664,1.01324621133971
5,16,12,0.48,0.0192,15.272319130740522,14.98888794184266,31.122219678494584,0.49072075476974014
5,16,15,0.6,0.024,16.921086727274805,16.952569867655164,33.779324110411,0.5009302930978308
5,16,19,0.76,0.0304,18.3517433557935,18.7653915125148,35.89442660679955,0.5112699962260184
5,16,23,0.92,0.0368,19.19784198486847,22.525460623625477,32.72360490505781,0.5866664764034364
5,16,29,1.16,0.0464,19.581637934232354,27.44470466730645,27.942770660902156,0.7007765325730997
5,16,36,1.44,0.0576,19.80478202342143,32.79352852051198,23.92114595109225,0.8279194510126358
5,16,44,1.76,0.0704,19.64697092199194,37.785104771114995,20.431514944729177,0.9616012799413277
5,16,54,2.16,0.0864,19.081484530265065,38.354889159152854,18.986004645608887,1.0050289614080687
