k,shape,nu0,entropy,N,lam_min,lam_tp,mu,sigma2,nu,a
2,uniform,1,1.0,11,2.75,0.6875,1.2538078777700146,3.0718264853197055,1.0235175729299277,1.22499887733325
2,uniform,1,1.0,13,3.25,0.8125,1.1946401694452995,2.851222553012703,1.001089959073381,1.1933394782533535
2,uniform,1,1.0,16,4.0,1.0,1.1561356390762951,2.8318284106587277,0.9440187907652411,1.2246955785054954
2,uniform,1,1.0,20,5.0,1.25,1.1068022254077987,2.5659236629953543,0.9548305616680955,1.1591608708818533
2,uniform,1,1.0,36,9.0,2.25,1.0773783274066957,2.228082244394414,1.0419220953678356,1.0340296382968466
2,uniform,1,1.0,66,16.5,4.125,1.0128227126036187,2.1786153196690896,0.9417081004659078,1.075516619324531
2,uniform,1,1.0,120,30.0,7.5,1.0353730643558547,2.092759613430192,1.0244821005854061,1.010630701858261
2,mild_skew,1,0.8112781244591328,12,0.75,0.421875,1.229301712234492,2.0831453008641376,1.4508663405051772,0.8472880498464535
2,mild_skew,1,0.8112781244591328,15,0.9375,0.52734375,1.2031974581204616,2.0821500234924466,1.3905665844378499,0.8652569906293743
2,mild_skew,1,0.8112781244591328,18,1.125,0.6328125,1.2565561553522433,2.211385586392513,1.4280036745010745,0.8799390210191632
2,mild_skew,1,0.8112781244591328,23,1.4375,0.80859375,1.196537048326102,2.1989006994030964,1.3021969645155722,0.9188602653295412
2,mild_skew,1,0.8112781244591328,28,1.75,0.984375,1.1992725334289907,2.370055901373213,1.2136883426284275,0.9881223138650098
2,mild_skew,1,0.8112781244591328,35,2.1875,1.23046875,1.1983504317614515,2.533039009916762,1.1338504868506127,1.0568857584477422
2,mild_skew,1,0.8112781244591328,43,2.6875,1.51171875,1.0671858874551912,2.3379753131032333,0.974249567136671,1.0953927242602333
2,mild_skew,1,0.8112781244591328,53,3.3125,1.86328125,1.1387631198148922,2.62318869737866,0.9887061836965171,1.1517710100258005
2,mild_skew,1,0.8112781244591328,65,4.0625,2.28515625,1.0506770627405801,2.296626183982932,0.9613425971262698,1.092926773328631
2,mild_skew,1,0.8112781244591328,80,5.0,2.8125,1.0112804273750917,2.0197543725891203,1.0126856182823516,0.9986124115106491
2,mild_skew,1,0.8112781244591328,145,9.0625,5.09765625,1.008641680570307,2.0928933140248156,0.9722024844421956,1.0374810769476879
2,mild_skew,1,0.8112781244591328,264,16.5,9.28125,1.0357369678044734,1.9859087653886112,1.0803628899506714,0.9586935810538295
2,mild_skew,1,0.8112781244591328,480,30.0,16.875,0.9975352034096222,1.8904861241372066,1.052720217658954,0.9475786506959535
2,strong_skew,1,0.4689955935892812,17,0.17000000000000004,0.13770000000000002,0.6897407926449505,1.5247847692379373,0.6240124778741761,1.1053317314978877
2,strong_skew,1,0.4689955935892812,29,0.29000000000000004,0.2349,0.8603485425081733,1.3289996851613668,1.1139199246778801,0.7723612114730475
2,strong_skew,1,0.4689955935892812,50,0.5000000000000001,0.405,1.0056592951227343,1.1786123115783937,1.7161718199131273,0.5859898661974539
2,strong_skew,1,0.4689955935892812,62,0.6200000000000001,0.5022,1.066046580654186,1.1824910091200633,1.922137764024373,0.5546150752598543
2,strong_skew,1,0.4689955935892812,76,0.7600000000000001,0.6156,1.0798988002160002,1.1360513285524287,2.053043536675266,0.5259989770917409
2,strong_skew,1,0.4689955935892812,94,0.9400000000000002,0.7614000000000001,1.1134883978492403,1.382620242198762,1.7934880082084452,0.6208507627333
2,strong_skew,1,0.4689955935892812,115,1.1500000000000001,0.9315,1.1295284333849471,1.6341703993793983,1.5614460796861465,0.723386127820683
2,strong_skew,1,0.4689955935892812,142,1.4200000000000004,1.1502000000000001,1.1717319061940255,1.9105617767682752,1.4372271827979788,0.8152725750099648
2,strong_skew,1,0.4689955935892812,176,1.7600000000000002,1.4256,1.1806296450752514,2.3288705493319917,1.197049238507768,0.9862832764899586
2,strong_skew,1,0.4689955935892812,216,2.1600000000000006,1.7496,1.1466206661522986,2.3159753497930002,1.1353652379461217,1.0099134867177526
2,strong_skew,1,0.4689955935892812,267,2.6700000000000004,2.1627,1.1260000546315743,2.366477627833504,1.0715302000898619,1.0508337091545756
2,strong_skew,1,0.4689955935892812,329,3.2900000000000005,2.6649000000000003,1.0913444804658652,2.612453543819627,0.9118116399512459,1.1968968508936986
2,strong_skew,1,0.4689955935892812,406,4.0600000000000005,3.2886,1.0686129252673813,2.328047406634814,0.9810226207542497,1.0892846940122427
2,strong_skew,1,0.4689955935892812,500,5.000000000000001,4.05,1.0342844038016872,1.9873879069764042,1.0765328944513017,0.9607550397508771
2,strong_skew,1,0.4689955935892812,909,9.090000000000002,7.362900000000001,1.0321641282011893,2.250451377851259,0.946799204844438,1.0901615917292378
2,strong_skew,1,0.4689955935892812,1651,16.51,13.3731,1.0464682172357074,2.205119841183441,0.9932301267551654,1.05360096220044
2,strong_skew,1,0.4689955935892812,3000,30.000000000000007,24.3,1.0617905343532852,2.3587807610736617,0.9559168511524311,1.1107561636487684
3,uniform,4,1.584962500721156,10,1.1111111111111112,0.12345679012345678,5.150983731214136,7.602968569746102,6.979545727654838,0.7380113165251648
3,uniform,4,1.584962500721156,13,1.4444444444444444,0.16049382716049382,5.21421331647416,8.708993174393864,6.243665591479513,0.8351205297717726
3,uniform,4,1.584962500721156,16,1.7777777777777777,0.19753086419753085,5.097837364797377,10.07924908127632,5.156722606687175,0.9885808785189578
3,uniform,4,1.584962500721156,19,2.111111111111111,0.2345679012345679,5.130464446457271,10.539753852464397,4.994740067901605,1.0271734618239476
3,uniform,4,1.584962500721156,24,2.6666666666666665,0.2962962962962963,4.88257920830182,11.55450300097868,4.126456970641141,1.1832376401935916
3,uniform,4,1.584962500721156,30,3.333333333333333,0.37037037037037035,4.605296043064988,11.107625126619627,3.818773392602686,1.2059621165230356
3,uniform,4,1.584962500721156,37,4.111111111111111,0.4567901234567901,4.44881281243982,10.434798452225357,3.793448532953276,1.1727621381425015
3,uniform,4,1.584962500721156,45,5.0,0.5555555555555556,4.426956625943435,10.192289825962803,3.845641225402102,1.151162151243204
3,uniform,4,1.584962500721156,82,9.11111111111111,1.0123456790123457,4.203067794290162,8.897043455372664,3.9711571539490063,1.0583987566723565
3,uniform,4,1.584962500721156,149,16.555555555555554,1.8395061728395061,4.010271069188068,8.113877927475121,3.9641400060775367,1.0116370922923525
3,uniform,4,1.584962500721156,270,30.0,3.3333333333333335,4.042859209201845,8.064254994150874,4.053619484325145,0.9973455142583293
3,mild_skew,4,1.4833557549816874,11,0.3055555555555555,0.09430727023319617,4.433561113931282,7.406560127025682,5.307852448058695,0.8352834140204524
3,mild_skew,4,1.4833557549816874,18,0.5,0.154320987654321,4.743840085762604,7.917750051660497,5.684447882910535,0.8345296119301697
3,mild_skew,4,1.4833557549816874,22,0.611111111111111,0.18861454046639234,4.809517836608341,9.208939799815166,5.023697042979487,0.9573662176403618
3,mild_skew,4,1.4833557549816874,27,0.75,0.2314814814814815,4.743314198313114,8.850994755350976,5.083955014280563,0.9329968862803454
3,mild_skew,4,1.4833557549816874,34,0.9444444444444444,0.29149519890260633,4.669412069555171,8.987633502911935,4.85186875237922,0.9623945551423712
3,mild_skew,4,1.4833557549816874,42,1.1666666666666665,0.360082304526749,4.53304511109662,8.977217432709653,4.577921417914165,0.9901972308563582
3,mild_skew,4,1.4833557549816874,51,1.4166666666666665,0.4372427983539095,4.374317930578135,8.784445609337363,4.356486045616432,1.0040931807826277
3,mild_skew,4,1.4833557549816874,63,1.75,0.5401234567901235,4.306096750271236,9.067091968757317,4.090058706052328,1.0528202795473873
3,mild_skew,4,1.4833557549816874,78,2.1666666666666665,0.6687242798353911,4.39403276099374,9.463542872383233,4.080400789651413,1.0768630307438796
3,mild_skew,4,1.4833557549816874,96,2.6666666666666665,0.8230452674897121,4.222956509948347,8.929025780333525,3.9944697492516346,1.0572007738297478
3,mild_skew,4,1.4833557549816874,118,3.2777777777777777,1.0116598079561043,4.197676866073659,8.394482063769097,4.198112745519033,0.9998961725251809
