k,shape,n,entropy,nu0,A_nu,A_a,r2_nu,r2_a
2,mild_skew,10,0.8112781244591328,1,0.19714231565652068,-0.0431035824244503,0.785688900354335,0.2708728963020208
3,mild_skew,12,1.4833557549816874,4,0.21988538687448442,-0.011850042032392795,0.8479019522655408,0.3103467221580064
4,mild_skew,12,1.9304066313306079,9,0.21872559493957966,-0.0016215614919954443,0.7497771204249785,-0.027434957481381916
5,mild_skew,11,2.268995593589281,16,0.18703949829451516,0.001481853077829072,0.7044441233570369,-0.7115442217546935
6,mild_skew,12,2.5422509372837157,25,0.21707150229960953,0.0003018791132176993,0.7231326315325822,-0.25771176990942224
7,mild_skew,11,2.7715546487390923,36,0.08731537615272209,0.0040313776747463205,0.28704733971198004,-0.002328888624356429
8,mild_skew,12,2.9691853060460174,49,0.14660354101006462,0.0017687929980526283,0.4511103242041037,-0.3066382013236124
9,mild_skew,12,3.1428767624836587,64,0.19283290669472303,0.0007636388009597478,0.6132326605187658,-0.5780127174409972
10,mild_skew,11,3.297825708486153,81,0.16830390005817586,0.0009810140179589341,0.43698842557863926,-0.6771490670183182
11,mild_skew,12,3.437696351104599,100,0.1891951843474457,0.0006608448222996054,0.42927051167509744,-0.373055573339363
12,mild_skew,12,3.5651709273605956,121,0.1388717455340636,0.0009231409133560696,0.33367872148267863,-0.5876414149720535
2,strong_skew,11,0.4689955935892812,1,0.42898434446656175,-0.19966629599159974,0.725353408036981,0.6666607510074308
3,strong_skew,11,1.2866926683547546,4,0.22290968691299423,-0.020233252394373947,0.5561526679993503,0.24215202585012108
4,strong_skew,11,1.7921113328010545,9,0.1914708103006709,-0.004085826917437998,0.662000921303562,0.13381705272546796
5,strong_skew,11,2.162292189082415,16,0.061367250301322826,0.0071828418695934135,0.05544826702699379,-0.2620213351521816
6,strong_skew,12,2.455372792042982,25,0.09630034697164554,0.003417149577340816,-0.14045914587357866,0.2413923437282387
7,strong_skew,12,2.6982826861451885,36,-0.03910911056259162,0.006994679759301241,-0.08903762519785285,0.1482297901529619
8,strong_skew,11,2.9058319805028345,49,0.14367878121136654,0.0011532609787074245,-0.0003028123568269425,0.04729656641183677
9,strong_skew,11,3.0870755136620947,64,-0.02929778183943919,0.0036677694166795624,0.003017547737094839,0.2803622907436488
10,strong_skew,12,3.2479670439552866,81,0.00492462238518341,0.0025227621341471465,-0.10924487828258078,-0.44129124733802017
11,strong_skew,12,3.3926359318353914,100,-0.10997335073435455,0.003157087660885644,-0.31654904285996177,-0.45588367149999365
12,strong_skew,12,3.5240660220627174,121,0.0877371485975151,0.0009935276037544819,0.048477348627756545,-0.27417597343638334
2,uniform,4,1.0,1,-0.010732936647834935,0.17403518730702983,-0.2011321814056477,-0.42265599424307143
3,uniform,8,1.584962500721156,4,0.27103988902313203,-0.007239667538518238,0.6600029632731823,-0.01042930187631752
4,uniform,10,2.0,9,0.40141484390921156,-0.0149441435829998,0.8108021835152044,0.510398168812924
5,uniform,10,2.321928094887362,16,0.4720789095904284,-0.011282116260370841,0.8565490934448232,0.6642517857187973
6,uniform,12,2.584962500721156,25,0.5043983939997061,-0.008078597727748894,0.8623306387493599,0.7670478017123407
7,uniform,12,2.807354922057604,36,0.5925390507046492,-0.006223109515971926,0.8635860618348223,0.7305568141510193
8,uniform,12,3.0,49,0.6524195373164362,-0.0049353669790404954,0.8969501050730679,0.7569139959098059
9,uniform,11,3.169925001442312,64,0.6724927384141614,-0.00383131637166638,0.8629588087762531,0.691114697655935
10,uniform,11,3.321928094887362,81,0.7559367657394342,-0.0032890997838841704,0.9029709904250394,0.7718627742159196
11,uniform,11,3.4594316186372978,100,0.7766377728965467,-0.0027326099443852774,0.8518757679308883,0.6882088897744487
12,uniform,12,3.584962500721156,121,0.81435963849176,-0.002289862490088456,0.8874948872794767,0.7362870221686588
