k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
3,geometric,12,4,0.2295383565713024,-0.011877459513595472,0.8182810114720233,0.21990229476916412,1.4671774218401734,0.9256858892072269,2.76480440627115,0.92160146875705,2.5789473684210527,0.8596491228070176,0.5510204081632654,-0.5959834321062975
4,geometric,12,9,0.25418518629851705,-0.0058475217041576415,0.767736327114248,0.17359676357270548,1.7881989101356301,0.8940994550678151,3.453834395434162,0.8634585988585405,3.0821529745042495,0.7705382436260624,0.3970588235294117,-0.9236708391717778
5,geometric,11,16,0.17795934394810214,0.0017887221343501907,0.5960523910219003,-0.5703649463480827,1.999899029892671,0.8613096306884934,3.999720061215309,0.7999440122430619,3.4228028503562955,0.6845605700712591,0.28105482303955587,-1.2692055288929829
6,geometric,12,25,0.20106123832246808,-0.00032043557050684125,0.6317917205320616,-0.2907495066249697,2.142045736986558,0.8286564065780325,4.413874888656366,0.7356458147760611,3.6433899963311727,0.6072316660551954,0.1957572502685284,-1.6308799063883
7,geometric,10,36,0.17970824562537926,0.0004954950402103923,0.3455361274239924,-0.042168028570220395,2.2378429187389393,0.7971357312736038,4.716912761579514,0.6738446802256448,3.782149616495668,0.5403070880708097,0.13439911506755506,-2.0069414352335513
8,geometric,11,49,0.2599506820663643,-0.001367571834675069,0.544962803005144,0.10865296371524646,2.302221743106441,0.7674072477021471,4.9321673207208265,0.6165209150901033,3.8678503270508027,0.48348129088135033,0.09110981503082817,-2.3956897414326357
9,geometric,10,64,0.13796722411923454,0.0009696145911300382,0.10411193030736898,-0.011213763838403557,2.345240977793731,0.7398411560925413,5.0814526299477425,0.5646058477719714,3.9201828054225256,0.4355758672691695,0.061081739198796725,-2.7955423249244995
10,geometric,11,81,0.28644764203487977,-0.0011032689094455398,0.29062396396445744,-0.01697854587848613,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
11,geometric,10,100,-0.05056213269735045,0.00260584292293346,-0.05874987554960698,-0.004358957554037701,2.3926152399521996,0.6916209087823142,5.251083875322939,0.47737126139299446,3.9710811522482743,0.36100737747711587,0.02670199147897909,-3.623017129129741
12,geometric,11,121,0.20687902184699913,-6.18545722422661e-05,0.10054469678321643,-0.020205314922371986,2.404940070112323,0.6708410672715661,5.296135634305518,0.4413446361921265,3.9826235660265388,0.3318852971688782,0.017452248434114852,-4.04828678854162
13,geometric,11,144,-0.02170251742992721,0.001719470517067395,-0.004013114350187141,-0.0033789937042290052,2.412961763919982,0.6520743337854259,5.325665303736943,0.4096665618259187,3.9895650735253776,0.3068896210404137,0.011334071230830134,-4.479941936550899
14,geometric,11,169,0.14143672733626717,0.0003702328755820203,0.031888228634707194,-0.13230033973120592,2.4181539091375432,0.6351269998833476,5.344866482507685,0.3817761773219775,3.993735775779271,0.2852668411270908,0.007319724690027462,-4.917182562368201
15,geometric,11,196,0.29832585029040914,-0.00018702809890421031,0.05817530196874954,-0.1511095863948262,2.421497895714408,0.6198018184681844,5.357269583062594,0.3571513055375063,3.996240287883578,0.26641601919223856,0.004704061624902545,-5.359328967939619
3,one_rare_0.05,12,4,0.37454646690808724,-0.062325001163848245,0.7286010510145176,0.7235470613545635,1.105624930402708,0.6975716648814403,2.1519207238588214,0.7173069079529405,2.0671834625323,0.6890611541774333,0.05,-2.995732273553991
4,one_rare_0.05,11,9,0.4187113455106566,-0.033867871136967355,0.6489548069990512,0.6235285302882596,1.6620950755246149,0.8310475377623074,3.164757759620971,0.7911894399052427,3.0749519538757206,0.7687379884689302,0.05,-2.995732273553991
5,one_rare_0.05,12,16,0.24224979800847254,-0.007279390553251653,0.24575420591269903,0.11905824803776721,2.060793135895911,0.8875352946689251,4.172156097152901,0.8344312194305802,4.07955124936257,0.815910249872514,0.05,-2.995732273553991
6,one_rare_0.05,12,25,0.3768606564851804,-0.009566538519355912,0.48270504064027087,0.29994632122523857,2.372108341091442,0.9176567708156959,5.176971374843846,0.8628285624739743,5.08259212198221,0.847098686997035,0.05,-2.995732273553991
7,one_rare_0.05,11,36,0.37948849740026297,-0.006962995094126001,0.12827205135948716,0.0838618100817975,2.6276900061712034,0.9360020656901058,6.180356273014986,0.8829080390021409,6.08475190148497,0.86925027164071,0.05,-2.995732273553991
8,one_rare_0.05,11,49,0.14684398692658512,-5.671223832546005e-05,-0.09621394664400662,-0.03364824055426152,2.844559611868278,0.948186537289426,7.182866051289587,0.8978582564111984,7.086365074343563,0.8857956342929454,0.05,-2.995732273553991
9,one_rare_0.05,12,64,0.4059191589308118,-0.004520508595471182,0.21600411075736325,0.15409981471081335,3.032947406716887,0.9567883799575382,8.184801376436415,0.9094223751596017,8.087615838247684,0.8986239820275205,0.05,-2.995732273553991
10,one_rare_0.05,12,81,0.3139320383443924,-0.002102678576221127,0.0297144351401869,0.01836611267885413,3.1994900687688945,0.9631424815284513,9.186339286519294,0.9186339286519294,9.08861398636708,0.9088613986367079,0.05,-2.995732273553991
