config_id,seed,bootstrap,shape_x,shape_y,family_x,family_y,pair_family,symmetric_shape,lam_target,kx,ky,k_cells,nu0,log_nu0,log_k_cells,N,pi_min,pi_max,pi_max_min_ratio,lam_min,lam_tp,lam_sqrt_harm,inv_pi_sum,inv_sqrt_pi_sum,expected_mean,expected_sd,expected_cv,n_cells_lt_0p5,n_cells_lt_1,n_cells_lt_5,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,H_cell,H_cell_norm,cell_perp,cell_perp_n,cell_simpson,cell_simpson_n,q95_chi2,q99_chi2,x_k,x_H,x_H_norm,x_perp,x_perp_n,x_simpson,x_simpson_n,x_min_p,x_max_p,x_k_min_p,x_max_min_ratio,x_gini,y_k,y_H,y_H_norm,y_perp,y_perp_n,y_simpson,y_simpson_n,y_min_p,y_max_p,y_k_min_p,y_max_min_ratio,y_gini,mu,sigma2,nu,a,T_q50,T_q90,T_q95,T_q99,nu_norm,q95_ratio_chi2,q99_ratio_chi2
kx=2|ky=2|x=uniform|y=uniform|N=12|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,3.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,12.0,0.25,0.25,1.0,3.0,0.75,1.5,16.0,8.0,3.0,0.0,0.0,0,0,4,0.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.182561591907472,2.682803160710717,1.042530394428388,1.1343185754846623,0.4511389449179901,3.255733857863208,4.74933630202205,7.638170019537753,1.042530394428388,1.2363366428496252,1.1512116132091823
kx=2|ky=2|x=uniform|y=uniform|N=20|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,20.0,0.25,0.25,1.0,5.0,1.25,2.5,16.0,8.0,5.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0988101404299309,2.424509705801135,0.9959817622694864,1.1032432340187988,0.5537717523356198,3.177339916558789,4.460684589724232,7.337448273665514,0.9959817622694864,1.1611954723279376,1.105887358144536
kx=2|ky=2|x=uniform|y=uniform|N=32|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,8.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,32.0,0.25,0.25,1.0,8.0,2.0,4.0,16.0,8.0,8.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.1286747291246273,2.4094092656113757,1.0574431354162683,1.0673621032873015,0.5352286234963466,3.0726442767573,4.005796919319734,7.289437280327518,1.0574431354162683,1.042780127627639,1.098651225281425
kx=2|ky=2|x=uniform|y=uniform|N=48|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,12.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,48.0,0.25,0.25,1.0,12.0,3.0,6.0,16.0,8.0,12.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.014109344481581,2.0290159338339384,1.013710878673692,1.000393076385261,0.4195377254051835,2.7895750162357285,3.9852081950598066,6.660358332568597,1.013710878673692,1.0374205168076516,1.003837547602997
kx=2|ky=2|x=uniform|y=uniform|N=80|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,20.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,80.0,0.25,0.25,1.0,20.0,5.0,10.0,16.0,8.0,20.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,0.9991368036240742,1.9828103917212432,1.0069287073783664,0.9922617125748862,0.4529829192437706,2.723332539304535,3.926408607080493,6.2090812311472,1.0069287073783664,1.0221139390922904,0.9358218529270712
kx=2|ky=2|x=uniform|y=uniform|N=120|K=2000,42,2000,uniform,uniform,uniform,uniform,uniform|uniform,True,30.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,120.0,0.25,0.25,1.0,30.0,7.5,15.0,16.0,8.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.841458820694121,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0278864099579923,1.9757310988814856,1.0695286138629614,0.9610648996527882,0.4968057338446584,2.782211720953449,4.06763516459609,6.3945516579906085,1.0695286138629614,1.058877721839304,0.9637756309580447
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=12|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,2.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,12.0,0.16,0.36,2.2499999999999996,1.9200000000000004,0.6912,1.4546954078444707,17.36111111111111,8.249149571305297,3.0,0.856971411425142,0.285657137141714,0,0,4,0.0,0.0,1.0,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.1974761246689554,2.648392506475895,1.0828825905872053,1.10582267650975,0.4511389449179901,3.255733857863208,4.74933630202205,7.638170019537753,1.0828825905872053,1.2363366428496252,1.1512116132091823
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=19|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,3.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,19.0,0.16,0.36,2.2499999999999996,3.0400000000000005,1.0944,2.3032677290870787,17.36111111111111,8.249149571305297,4.75,1.356871401423141,0.285657137141714,0,0,3,0.0,0.0,0.75,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.1326276568088791,2.4866669549870477,1.0317790296731189,1.0977424663958433,0.4613952374549281,3.033729008175711,4.398617039812823,7.063351950149439,1.0317790296731189,1.145038186044652,1.0645760401243145
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=31|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,31.0,0.16,0.36,2.2499999999999996,4.960000000000001,1.7856,3.75796313693155,17.36111111111111,8.249149571305297,7.75,2.213842812848283,0.285657137141714,0,0,1,0.0,0.0,0.25,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.0798736505569655,2.5978498758321185,0.8977632710925642,1.202848997423091,0.4372915276782468,2.793209814076385,4.32173207098378,7.825231144577582,0.8977632710925642,1.1250236622874634,1.1794051384874868
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=50|K=2000,42,2000,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,8.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,50.0,0.16,0.36,2.2499999999999996,8.000000000000002,2.88,6.061230866018628,17.36111111111111,8.249149571305297,12.5,3.5707142142714243,0.2856571371417139,0,0,0,0.0,0.0,0.0,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.841458820694121,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384616,0.4,0.6,0.8,1.4999999999999998,0.1,1.0285125979886276,1.978684320727227,1.069233887528384,0.9619154517877406,0.4850783318729728,2.791675798790215,4.008700398725049,6.361005700074955,1.069233887528384,1.0435359549163952,0.9587196429098678
