target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,mixed_sparsity,11335,7,1e-08,0.8374111708094808,0.8371843494440183,0.8341235743390165,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.5046050400332955, ""frac_cells_lt_5"": -0.006443778485507369, ""inv_lam_min"": 0.0023050794392015642, ""inv_lam_sqrt_harm"": -0.003019058942205821, ""inv_lam_tp"": 9.186075336751608e-05, ""inv_sqrt_lam_min"": 0.01867582591923813, ""inv_sqrt_lam_tp"": -0.0036342400241287077}"
a,rich_interactions,11335,20,1e-06,0.734515812757591,0.7319397954601298,0.6968886710137027,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": -0.007050059617700724, ""inv_lam_sqrt_harm"": -0.030190493783208486, ""inv_lam_tp"": 0.004030171419465622, ""inv_sqrt_lam_min"": 0.02865686721562527, ""inv_sqrt_lam_tp"": -0.01486422438303306, ""tp_x_asym_H_norm"": 0.0032138075324059687, ""tp_x_asym_min_p"": -0.0002390118498774066, ""tp_x_expected_cv"": 0.0007291294555562586, ""tp_x_frac_cells_lt_0p5"": 0.0008011302501291472, ""tp_x_frac_cells_lt_1"": -0.0010106988336238405, ""tp_x_frac_cells_lt_5"": -0.0019589135221594733, ""tp_x_log_k_cells"": -0.012562751694509358, ""tp_x_log_nu0"": 0.011138300276381853, ""tp_x_mean_H_norm"": 0.004261058240575171, ""tp_x_mean_k_min_p"": 0.0012559727014072942, ""tp_x_min_H_norm"": 0.004402457910955593, ""tp_x_min_k_min_p"": -0.0006288302724071331, ""tp_x_one_minus_H_cell_norm"": -0.0037516392052150335, ""tp_x_one_minus_cell_perp_n"": 0.0006441629343377145, ""tp_x_one_minus_cell_simpson_n"": -0.0006692331065792689}"
a,tp_size,11335,3,1e-06,0.6241232449647024,0.6227541606829197,0.6187847556946606,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": 0.007952986347445292, ""tp_x_log_k_cells"": -0.02304457984183836, ""tp_x_log_nu0"": 0.022023026628680754}"
a,lambda_tp_power,11335,2,0.0,0.534857795342853,0.5345608015281966,0.5283972898338889,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.00018504645019335302, ""inv_sqrt_lam_tp"": -0.013903080892922252}"
a,tp_sparsity,11335,5,1e-06,0.5250701498020118,0.5240465001400162,0.5083896998036248,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 6.231846168902872e-05, ""tp_x_expected_cv"": 9.750715402893173e-05, ""tp_x_frac_cells_lt_0p5"": 0.0011704419215916746, ""tp_x_frac_cells_lt_1"": -0.0007227470982685166, ""tp_x_frac_cells_lt_5"": -0.0010811521053931583}"
a,tp_entropy,11335,4,0.0,0.46140952343748154,0.45925926435666664,0.4308926132342328,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": -0.0006978619593645706, ""tp_x_one_minus_H_cell_norm"": -0.0255920383873784, ""tp_x_one_minus_cell_perp_n"": 0.013191357630347438, ""tp_x_one_minus_cell_simpson_n"": -0.004530357720944411}"
a,tp_shape_asymmetry,11335,7,0.0001,0.44967829973317053,0.4467970119370669,0.3981343567051302,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": 0.0007996548211044475, ""tp_x_asym_H_norm"": -0.0007413598148474261, ""tp_x_asym_min_p"": 0.00012409743805113005, ""tp_x_mean_H_norm"": -0.0011780925869308402, ""tp_x_mean_k_min_p"": 0.0007978597919360574, ""tp_x_min_H_norm"": -0.0012173679702504488, ""tp_x_min_k_min_p"": 0.0002551672085511132}"
a,lambda_min_power,11335,3,0.01,0.4384855352618413,0.4383566434458692,0.41420968586166795,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.17196287275595648, ""inv_lam_min_sq"": 0.010809820505127504, ""inv_sqrt_lam_min"": 0.11479534820774083}"
a,lambda_tp,11335,1,1e-08,0.42925787789517933,0.4288842809444128,0.4238315040490742,inv_lam_tp,"{""inv_lam_tp"": -0.0006866672697141633}"
a,lambda_min,11335,1,0.0001,0.3453996068983817,0.3453541571805192,0.3271648527476607,inv_lam_min,"{""inv_lam_min"": -0.04239825019851378}"
