target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,mixed_sparsity,9713,7,1e-08,0.8466736998681325,0.8463318963030458,0.8433738268947245,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.5076792150830796, ""frac_cells_lt_5"": -0.007364654573617151, ""inv_lam_min"": 0.0013809010728874917, ""inv_lam_sqrt_harm"": -0.0030262835719573177, ""inv_lam_tp"": 0.00010147045343445859, ""inv_sqrt_lam_min"": 0.023256206293314156, ""inv_sqrt_lam_tp"": -0.003986483456473744}"
a,rich_interactions,9713,20,1e-08,0.7463763192250333,0.7438053628413912,0.7052108348722121,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": -0.007735932827423307, ""inv_lam_sqrt_harm"": -0.02837198771040708, ""inv_lam_tp"": 0.0038333484660598286, ""inv_sqrt_lam_min"": 0.03209812524616209, ""inv_sqrt_lam_tp"": -0.014998554477127063, ""tp_x_asym_H_norm"": 0.003122566111430999, ""tp_x_asym_min_p"": -0.0002224129865587886, ""tp_x_expected_cv"": 0.0007019139414676175, ""tp_x_frac_cells_lt_0p5"": 0.0007696309611291189, ""tp_x_frac_cells_lt_1"": -0.0009829423565252716, ""tp_x_frac_cells_lt_5"": -0.0018895946049085296, ""tp_x_log_k_cells"": -0.01249557939003022, ""tp_x_log_nu0"": 0.011133214967949846, ""tp_x_mean_H_norm"": 0.004030611074418867, ""tp_x_mean_k_min_p"": 0.0011994399545129375, ""tp_x_min_H_norm"": 0.004306848971709548, ""tp_x_min_k_min_p"": -0.0005744364547849934, ""tp_x_one_minus_H_cell_norm"": -0.0038283306006521183, ""tp_x_one_minus_cell_perp_n"": 0.0007766392085219212, ""tp_x_one_minus_cell_simpson_n"": -0.0006735137700498987}"
a,tp_size,9713,3,0.0,0.6313869388082058,0.6295338862557718,0.6258541587196735,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": 0.0073972014288625635, ""tp_x_log_k_cells"": -0.021848643377573865, ""tp_x_log_nu0"": 0.020900953054307156}"
a,tp_sparsity,9713,5,0.01,0.558414054839917,0.5563523145189857,0.5431540342734424,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 7.513737589081645e-05, ""tp_x_expected_cv"": 9.161471832460708e-05, ""tp_x_frac_cells_lt_0p5"": 0.0011248803057600167, ""tp_x_frac_cells_lt_1"": -0.0007016482356166496, ""tp_x_frac_cells_lt_5"": -0.0010555150793126946}"
a,lambda_tp_power,9713,2,1e-08,0.5524723497577525,0.5519693185312511,0.5458972597664971,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.0002133527359845716, ""inv_sqrt_lam_tp"": -0.012747446808971856}"
a,tp_entropy,9713,4,1.0,0.48637755043828024,0.4840649915380265,0.4568535709680456,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": -0.0006781793216914743, ""tp_x_one_minus_H_cell_norm"": -0.022160270370644004, ""tp_x_one_minus_cell_perp_n"": 0.011384471683197528, ""tp_x_one_minus_cell_simpson_n"": -0.0039059398710020563}"
a,tp_shape_asymmetry,9713,7,0.0001,0.4800012901780951,0.4774750017806506,0.42786596053006876,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": 0.0008642506751779784, ""tp_x_asym_H_norm"": -0.0006765328711544901, ""tp_x_asym_min_p"": 0.00012893150390417388, ""tp_x_mean_H_norm"": -0.0011553516966729687, ""tp_x_mean_k_min_p"": 0.0005272773324252064, ""tp_x_min_H_norm"": -0.001194626907581525, ""tp_x_min_k_min_p"": 0.0004400391606751345}"
a,lambda_tp,9713,1,1.0,0.459398279156511,0.45877008544557896,0.4539330967943993,inv_lam_tp,"{""inv_lam_tp"": -0.0006675954078155335}"
a,lambda_min_power,9713,3,0.01,0.4455493160264339,0.4453516060883058,0.42065324749300925,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.1710490709669152, ""inv_lam_min_sq"": 0.010612603332597038, ""inv_sqrt_lam_min"": 0.1141557428589366}"
a,lambda_min,9713,1,1.0,0.35976536913515966,0.3596343195367866,0.3412516377878295,inv_lam_min,"{""inv_lam_min"": -0.04354862323431885}"
nu_norm,mixed_sparsity,9713,7,1.0,0.7200142485100087,0.7186649970662764,0.6847074970670753,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": 1.0823168183722411, ""frac_cells_lt_5"": 0.14213186710736617, ""inv_lam_min"": -0.0631356333974094, ""inv_lam_sqrt_harm"": -0.0042658265635999015, ""inv_lam_tp"": 0.0001209084692906889, ""inv_sqrt_lam_min"": 0.013938725468312367, ""inv_sqrt_lam_tp"": 0.014573103378441293}"
nu_norm,rich_interactions,9713,20,0.01,0.6863806805473975,0.6814975464293584,0.6262971353103224,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": 0.011718873478166173, ""inv_lam_sqrt_harm"": 0.05982525807949628, ""inv_lam_tp"": -0.009033011115998262, ""inv_sqrt_lam_min"": -0.0761944043214703, ""inv_sqrt_lam_tp"": 0.08882098431540797, ""tp_x_asym_H_norm"": -0.007709316513823596, ""tp_x_asym_min_p"": 0.0008702613468308308, ""tp_x_expected_cv"": -0.0010978176029171945, ""tp_x_frac_cells_lt_0p5"": -0.0014017971506339309, ""tp_x_frac_cells_lt_1"": 0.00396458689762839, ""tp_x_frac_cells_lt_5"": 0.007961877179457124, ""tp_x_log_k_cells"": 0.0008728682095125168, ""tp_x_log_nu0"": 0.001715868339566503, ""tp_x_mean_H_norm"": -0.0095096664021644, ""tp_x_mean_k_min_p"": -0.004058693646804031, ""tp_x_min_H_norm"": -0.009824251863628652, ""tp_x_min_k_min_p"": 0.0026366217585421926, ""tp_x_one_minus_H_cell_norm"": -0.003366169799811383, ""tp_x_one_minus_cell_perp_n"": 0.005582171268421841, ""tp_x_one_minus_cell_simpson_n"": -0.0031473161879095823}"
