target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,mixed_sparsity,10670,7,1e-06,0.8405771985125479,0.8404119384215423,0.8373027356661176,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.5065024015558364, ""frac_cells_lt_5"": -0.0048396229236784966, ""inv_lam_min"": 0.001510934932305632, ""inv_lam_sqrt_harm"": -0.0030601282695131337, ""inv_lam_tp"": 9.91086895297946e-05, ""inv_sqrt_lam_min"": 0.02062518634155352, ""inv_sqrt_lam_tp"": -0.0037771136946621836}"
a,rich_interactions,10670,20,1e-06,0.7399751901392528,0.7373277042315235,0.7013988862804009,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": -0.008002392857675126, ""inv_lam_sqrt_harm"": -0.02968697981103554, ""inv_lam_tp"": 0.003917914959621471, ""inv_sqrt_lam_min"": 0.03106941864061186, ""inv_sqrt_lam_tp"": -0.014438325249759089, ""tp_x_asym_H_norm"": 0.0031665115884116244, ""tp_x_asym_min_p"": -0.0002264275598759308, ""tp_x_expected_cv"": 0.0007612218360362442, ""tp_x_frac_cells_lt_0p5"": 0.0007909536911871061, ""tp_x_frac_cells_lt_1"": -0.0009816842367835962, ""tp_x_frac_cells_lt_5"": -0.0018751197646484535, ""tp_x_log_k_cells"": -0.01248460030748949, ""tp_x_log_nu0"": 0.011091647641789654, ""tp_x_mean_H_norm"": 0.004147679707088612, ""tp_x_mean_k_min_p"": 0.0012245415459082069, ""tp_x_min_H_norm"": 0.004281839506456338, ""tp_x_min_k_min_p"": -0.000576279246907404, ""tp_x_one_minus_H_cell_norm"": -0.0046489949290760835, ""tp_x_one_minus_cell_perp_n"": 0.0009857204679853304, ""tp_x_one_minus_cell_simpson_n"": -0.0008281567392615555}"
a,tp_size,10670,3,0.0001,0.628827198561632,0.625665010486219,0.6232756096874316,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": 0.007501623286825173, ""tp_x_log_k_cells"": -0.022197449937716086, ""tp_x_log_nu0"": 0.021238820578573844}"
a,lambda_tp_power,10670,2,0.01,0.5437966788372718,0.5436940259469372,0.5374405462739021,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.0002047623052848111, ""inv_sqrt_lam_tp"": -0.01313277994899088}"
a,tp_sparsity,10670,5,0.01,0.5434357173193882,0.5418352137813451,0.5277920701935812,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 5.7735545468396155e-05, ""tp_x_expected_cv"": 9.382478319192992e-05, ""tp_x_frac_cells_lt_0p5"": 0.0011408552774947983, ""tp_x_frac_cells_lt_1"": -0.0007115944190647797, ""tp_x_frac_cells_lt_5"": -0.0010499109902920647}"
a,tp_entropy,10670,4,1e-06,0.4766723533352978,0.47445342066516205,0.4462241552944841,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": -0.0006860027671399284, ""tp_x_one_minus_H_cell_norm"": -0.024392945810843607, ""tp_x_one_minus_cell_perp_n"": 0.01257484204155631, ""tp_x_one_minus_cell_simpson_n"": -0.004328198211937982}"
a,tp_shape_asymmetry,10670,7,1.0,0.46700938334453934,0.4651216839317893,0.41656942175308265,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": 0.00047771140630069705, ""tp_x_asym_H_norm"": -0.0003924687990507136, ""tp_x_asym_min_p"": 0.00012609587567487132, ""tp_x_mean_H_norm"": -0.0009532592275842856, ""tp_x_mean_k_min_p"": 0.0005109162681269432, ""tp_x_min_H_norm"": -0.0009862022137280327, ""tp_x_min_k_min_p"": 0.0004191554626472689}"
a,lambda_tp,10670,1,1e-06,0.447131671578757,0.4467075152235068,0.44176044228490885,inv_lam_tp,"{""inv_lam_tp"": -0.0006751157315286176}"
a,lambda_min_power,10670,3,0.0,0.44046705677707054,0.4398652539765896,0.41532592470549634,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.16798370875961596, ""inv_lam_min_sq"": 0.01044748501160804, ""inv_sqrt_lam_min"": 0.11194140027599946}"
a,lambda_min,10670,1,0.01,0.35530108123772797,0.35521655362698923,0.3360406939900671,inv_lam_min,"{""inv_lam_min"": -0.0431038375077661}"
nu_norm,mixed_sparsity,10670,7,0.0,0.7198354015045437,0.7188058016528212,0.6859320217284182,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": 1.0694105266421468, ""frac_cells_lt_5"": 0.14304803224463086, ""inv_lam_min"": -0.06331155890337808, ""inv_lam_sqrt_harm"": -0.004638255708107304, ""inv_lam_tp"": 0.00016627865241552006, ""inv_sqrt_lam_min"": 0.020996110614323316, ""inv_sqrt_lam_tp"": 0.013525540348590975}"
nu_norm,rich_interactions,10670,20,0.0,0.6827678530760442,0.6792279521233929,0.6209321916556094,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": 0.011202420168334526, ""inv_lam_sqrt_harm"": 0.06347889659342076, ""inv_lam_tp"": -0.009135545068153315, ""inv_sqrt_lam_min"": -0.06923725469678835, ""inv_sqrt_lam_tp"": 0.08733324776807792, ""tp_x_asym_H_norm"": -0.007879480232310497, ""tp_x_asym_min_p"": 0.0008904582981258514, ""tp_x_expected_cv"": -0.001229491170025683, ""tp_x_frac_cells_lt_0p5"": -0.0014494372751440543, ""tp_x_frac_cells_lt_1"": 0.003959442668630416, ""tp_x_frac_cells_lt_5"": 0.007997569095893721, ""tp_x_log_k_cells"": 0.00016386417575361829, ""tp_x_log_nu0"": 0.002479945470262507, ""tp_x_mean_H_norm"": -0.009624859552070809, ""tp_x_mean_k_min_p"": -0.00414742884176071, ""tp_x_min_H_norm"": -0.009941649359618618, ""tp_x_min_k_min_p"": 0.0026651664976514726, ""tp_x_one_minus_H_cell_norm"": -0.0011971157038121684, ""tp_x_one_minus_cell_perp_n"": 0.004959749802974903, ""tp_x_one_minus_cell_simpson_n"": -0.002742640154318079}"
