target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,weighted_frac_sparsity,10670,8,0.0,0.8670970055130945,0.8666589360204882,0.8607515669530696,"inv_lam_tp,inv_sqrt_lam_tp,frac_cells_lt_1,frac_cells_lt_5,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_frac_lt5,inv_sqrt_lam_min_x_frac_lt5","{""frac_cells_lt_1"": -0.8023810171406073, ""frac_cells_lt_5"": 0.3536946236870066, ""inv_lam_min_x_frac_lt1"": -0.11910653965200822, ""inv_lam_min_x_frac_lt5"": 0.15191034771761308, ""inv_lam_tp"": -0.00022048220351557064, ""inv_sqrt_lam_min_x_frac_lt1"": 0.43761819035805555, ""inv_sqrt_lam_min_x_frac_lt5"": -0.5367574219273867, ""inv_sqrt_lam_tp"": 0.0017475148359113908}"
a,hybrid_weighted_sparsity,10670,11,0.0001,0.8535162172185377,0.8528706619697919,0.8483546528188222,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": 0.23742217899558524, ""frac_cells_lt_5"": -0.05821494940737493, ""inv_lam_min_x_frac_lt1"": 0.08920019238439483, ""inv_lam_min_x_n_lt1_norm_nu0"": -0.023194772427554335, ""inv_lam_sqrt_harm"": -0.004214350214256271, ""inv_lam_tp"": 4.1714030626570427e-05, ""inv_sqrt_lam_min_x_frac_lt1"": -0.5734234662942687, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.30513709020127805, ""inv_sqrt_lam_tp"": 0.000968760749209172, ""n_lt1_norm_nu0"": -0.4820740066349416, ""n_lt5_norm_nu0"": 0.03783725783821875}"
a,mixed_sparsity,10670,7,1e-06,0.8405771985125479,0.8403401186666414,0.8373027356661176,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.5065024015558364, ""frac_cells_lt_5"": -0.0048396229236784966, ""inv_lam_min"": 0.001510934932305632, ""inv_lam_sqrt_harm"": -0.0030601282695131337, ""inv_lam_tp"": 9.91086895297946e-05, ""inv_sqrt_lam_min"": 0.02062518634155352, ""inv_sqrt_lam_tp"": -0.0037771136946621836}"
a,weighted_count_sparsity,10670,8,0.0,0.8409162550167879,0.8399641400350681,0.8339342903604315,"inv_lam_tp,inv_sqrt_lam_tp,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0,inv_lam_min_x_n_lt5_norm_nu0,inv_sqrt_lam_min_x_n_lt5_norm_nu0","{""inv_lam_min_x_n_lt1_norm_nu0"": -0.03846837024356937, ""inv_lam_min_x_n_lt5_norm_nu0"": 0.09510761194169073, ""inv_lam_tp"": -0.0002320896588429121, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": 0.09175419884701655, ""inv_sqrt_lam_min_x_n_lt5_norm_nu0"": -0.30802837696626256, ""inv_sqrt_lam_tp"": -0.002449724560236747, ""n_lt1_norm_nu0"": -0.3360496753711208, ""n_lt5_norm_nu0"": 0.20785137283796265}"
a,rich_interactions,10670,20,0.0,0.7399751904007363,0.7370837454567276,0.7013866447965935,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": -0.008000773924703263, ""inv_lam_sqrt_harm"": -0.02968291126947774, ""inv_lam_tp"": 0.003919078926061, ""inv_sqrt_lam_min"": 0.031070384616931696, ""inv_sqrt_lam_tp"": -0.01443825780242666, ""tp_x_asym_H_norm"": 0.0031670631234254802, ""tp_x_asym_min_p"": -0.00022640069462330297, ""tp_x_expected_cv"": 0.0007611204398824293, ""tp_x_frac_cells_lt_0p5"": 0.0007909581889413417, ""tp_x_frac_cells_lt_1"": -0.0009816884593085347, ""tp_x_frac_cells_lt_5"": -0.0018750609330278275, ""tp_x_log_k_cells"": -0.01248789150427969, ""tp_x_log_nu0"": 0.011094833840891733, ""tp_x_mean_H_norm"": 0.004145824132377157, ""tp_x_mean_k_min_p"": 0.0012245295068368906, ""tp_x_min_H_norm"": 0.0042831966479175655, ""tp_x_min_k_min_p"": -0.0005762632882322894, ""tp_x_one_minus_H_cell_norm"": -0.004647411194339157, ""tp_x_one_minus_cell_perp_n"": 0.0009852058661800297, ""tp_x_one_minus_cell_simpson_n"": -0.0008277953187627407}"
a,tp_size,10670,3,0.0001,0.628827198561632,0.627913972898257,0.6232756096874316,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": 0.007501623286825173, ""tp_x_log_k_cells"": -0.022197449937716086, ""tp_x_log_nu0"": 0.021238820578573844}"
a,lambda_tp_power,10670,2,1e-08,0.5437966788378958,0.5433638595012046,0.5374405226826773,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.0002047613468607992, ""inv_sqrt_lam_tp"": -0.013132812067428909}"
a,tp_sparsity,10670,5,0.0,0.5434357175678752,0.5422147705104451,0.5277905122226128,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 5.7899888600523346e-05, ""tp_x_expected_cv"": 9.38189267066657e-05, ""tp_x_frac_cells_lt_0p5"": 0.001140877428701147, ""tp_x_frac_cells_lt_1"": -0.0007115970131886232, ""tp_x_frac_cells_lt_5"": -0.001050091504151173}"
a,tp_entropy,10670,4,0.01,0.47667234762198996,0.47391437920809765,0.44624064309118794,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": -0.0006860042293549224, ""tp_x_one_minus_H_cell_norm"": -0.02438302710905265, ""tp_x_one_minus_cell_perp_n"": 0.012569078463235364, ""tp_x_one_minus_cell_simpson_n"": -0.004325967166017814}"
a,tp_shape_asymmetry,10670,7,1e-08,0.46706636055536044,0.4650812895725033,0.4136267199960483,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": 0.0007754079160573494, ""tp_x_asym_H_norm"": -0.0006548003575835325, ""tp_x_asym_min_p"": 0.000126694390385715, ""tp_x_mean_H_norm"": -0.0011278389925400212, ""tp_x_mean_k_min_p"": 0.0006168917546347652, ""tp_x_min_H_norm"": -0.0011655861783169794, ""tp_x_min_k_min_p"": 0.00037188138412480663}"
a,lambda_tp,10670,1,1e-08,0.4471316715787569,0.44659197068793866,0.4417604422838387,inv_lam_tp,"{""inv_lam_tp"": -0.0006751157315912571}"
a,lambda_min_power,10670,3,0.0001,0.44046705677698006,0.4400509878058848,0.4153259274347554,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.16798355212651198, ""inv_lam_min_sq"": 0.01044747416095256, ""inv_sqrt_lam_min"": 0.11194122163628686}"
a,lambda_min,10670,1,1e-08,0.3553010812381461,0.35518880995031976,0.33604067307421615,inv_lam_min,"{""inv_lam_min"": -0.04310387790494923}"
nu_norm,hybrid_weighted_sparsity,10670,11,0.0001,0.7701371345812285,0.7677076757827138,0.7418112784226578,"inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5,n_lt1_norm_nu0,n_lt5_norm_nu0,inv_lam_min_x_frac_lt1,inv_sqrt_lam_min_x_frac_lt1,inv_lam_min_x_n_lt1_norm_nu0,inv_sqrt_lam_min_x_n_lt1_norm_nu0","{""frac_cells_lt_1"": -3.102267990497195, ""frac_cells_lt_5"": 0.0432108253060746, ""inv_lam_min_x_frac_lt1"": -1.139783318042576, ""inv_lam_min_x_n_lt1_norm_nu0"": 0.7324304070833608, ""inv_lam_sqrt_harm"": 0.004342893243918028, ""inv_lam_tp"": -4.479975421888051e-05, ""inv_sqrt_lam_min_x_frac_lt1"": 5.057426156909578, ""inv_sqrt_lam_min_x_n_lt1_norm_nu0"": -3.659667058957414, ""inv_sqrt_lam_tp"": 0.002436439916372977, ""n_lt1_norm_nu0"": 3.244258463630633, ""n_lt5_norm_nu0"": 0.05121083407336678}"
