config_id,seed,bootstrap,shape_x,shape_y,family_x,family_y,pair_family,symmetric_shape,lam_target,kx,ky,k_cells,nu0,log_nu0,log_k_cells,N,pi_min,pi_max,pi_max_min_ratio,lam_min,lam_tp,lam_sqrt_harm,inv_pi_sum,inv_sqrt_pi_sum,expected_mean,expected_sd,expected_cv,n_cells_lt_0p5,n_cells_lt_1,n_cells_lt_5,frac_cells_lt_0p5,frac_cells_lt_1,frac_cells_lt_5,H_cell,H_cell_norm,cell_perp,cell_perp_n,cell_simpson,cell_simpson_n,q95_chi2,q99_chi2,x_k,x_H,x_H_norm,x_perp,x_perp_n,x_simpson,x_simpson_n,x_min_p,x_max_p,x_k_min_p,x_max_min_ratio,x_gini,y_k,y_H,y_H_norm,y_perp,y_perp_n,y_simpson,y_simpson_n,y_min_p,y_max_p,y_k_min_p,y_max_min_ratio,y_gini,mu,sigma2,nu,a,T_q50,T_q90,T_q95,T_q99,nu_norm,q95_ratio_chi2,q99_ratio_chi2
kx=2|ky=2|x=uniform|y=uniform|N=20|K=300,42,300,uniform,uniform,uniform,uniform,uniform|uniform,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,20.0,0.25,0.25,1.0,5.0,1.25,2.5,16.0,8.0,5.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,3.8414588206941205,6.634896601021215,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0150631784396809,2.0893590312979993,0.9862864551182167,1.0291768412433637,0.41638913707197034,3.101492295361052,3.4580877229340565,6.49594341418654,0.9862864551182167,0.900201690124901,0.9790572189454635
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=12|K=300,42,300,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,2.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,12.0,0.16000000000000003,0.36,2.2499999999999996,1.9200000000000004,0.6912,1.4546954078444707,17.36111111111111,8.249149571305297,3.0,0.856971411425142,0.285657137141714,0,0,4,0.0,0.0,1.0,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.8414588206941205,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384615,0.4,0.6,0.8,1.4999999999999998,0.10000000000000009,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384615,0.4,0.6,0.8,1.4999999999999998,0.10000000000000009,1.200910544465489,2.967786953115693,0.9718933054101723,1.2356403092607615,0.4511389449179901,3.2557338578632082,5.178277304132056,7.6517619424813725,0.9718933054101723,1.3479976086783572,1.1532601640398805
kx=2|ky=2|x=one_rare_0p8|y=one_rare_0p8|N=31|K=300,42,300,one_rare_0p8,one_rare_0p8,one_rare,one_rare,one_rare|one_rare,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,31.0,0.16000000000000003,0.36,2.2499999999999996,4.960000000000001,1.7856,3.7579631369315494,17.36111111111111,8.249149571305297,7.75,2.2138428128482834,0.285657137141714,0,0,1,0.0,0.0,0.25,1.9419011889093372,0.9709505944546686,3.842116297840532,0.960529074460133,3.6982248520710064,0.9245562130177516,3.8414588206941205,6.634896601021215,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384615,0.4,0.6,0.8,1.4999999999999998,0.10000000000000009,2.0,0.9709505944546686,0.9709505944546686,1.9601317042077893,0.9800658521038946,1.923076923076923,0.9615384615384615,0.4,0.6,0.8,1.4999999999999998,0.10000000000000009,1.0645151745030095,2.274415916188151,0.9964690703065142,1.0682872215748396,0.4234565235602945,3.131437250291388,4.148533853453439,6.78159593737797,0.9964690703065142,1.0799370882501957,1.0221102671493292
kx=2|ky=2|x=one_rare_0p5|y=one_rare_0p5|N=16|K=300,42,300,one_rare_0p5,one_rare_0p5,one_rare,one_rare,one_rare|one_rare,True,1.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,16.0,0.0625,0.5625,9.0,1.0,0.5625,1.6076951545867362,28.444444444444443,9.95213548685034,4.0,3.0,0.75,0,0,3,0.0,0.0,0.75,1.6225562489182657,0.8112781244591328,3.0792014356780038,0.7698003589195009,2.56,0.64,3.8414588206941205,6.634896601021215,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,1.2036642513384204,2.3020419414922326,1.2587152334947747,0.956264148799163,0.6739004099076557,3.013241047836968,4.0126902679207115,7.52148470510157,1.2587152334947747,1.0445745887744935,1.1336250068982077
kx=2|ky=2|x=one_rare_0p5|y=one_rare_0p5|N=32|K=300,42,300,one_rare_0p5,one_rare_0p5,one_rare,one_rare,one_rare|one_rare,True,2.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,32.0,0.0625,0.5625,9.0,2.0,1.125,3.2153903091734723,28.444444444444443,9.95213548685034,8.0,6.0,0.75,0,0,1,0.0,0.0,0.25,1.6225562489182657,0.8112781244591328,3.0792014356780038,0.7698003589195009,2.56,0.64,3.8414588206941205,6.634896601021215,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,1.1130713289283283,2.813199298257723,0.8807963119069241,1.2637102516000875,0.43914217495482677,3.183819564021066,4.488517320722715,7.2401097803748105,0.8807963119069241,1.1684408268397568,1.0912166708461506
kx=2|ky=2|x=one_rare_0p5|y=one_rare_0p5|N=80|K=300,42,300,one_rare_0p5,one_rare_0p5,one_rare,one_rare,one_rare|one_rare,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,80.0,0.0625,0.5625,9.0,5.0,2.8125,8.038475772933682,28.444444444444443,9.95213548685034,20.0,15.0,0.75,0,0,0,0.0,0.0,0.0,1.6225562489182657,0.8112781244591328,3.0792014356780038,0.7698003589195009,2.56,0.64,3.8414588206941205,6.634896601021215,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,2.0,0.8112781244591328,0.8112781244591328,1.7547653506033232,0.8773826753016616,1.6,0.8,0.25,0.75,0.5,3.0,0.25,0.9977799353382201,1.8174292469929831,1.0955747531968558,0.9107365174550861,0.4022221978099795,2.6473750307761215,3.9149470410783778,5.447725390063942,1.0955747531968558,1.0191302897712642,0.8210716334638057
kx=2|ky=2|x=one_rare_0p2|y=one_rare_0p2|N=50|K=300,42,300,one_rare_0p2,one_rare_0p2,one_rare,one_rare,one_rare|one_rare,True,0.5,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,50.0,0.010000000000000002,0.81,80.99999999999999,0.5000000000000001,0.405,2.8125000000000004,123.45679012345678,17.777777777777775,12.5,16.24807680927192,1.2998461447417538,0,1,3,0.0,0.25,0.75,0.9379911871785624,0.4689955935892812,1.915858733228839,0.47896468330720976,1.4872099940511598,0.37180249851278996,3.8414588206941205,6.634896601021215,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,0.9459604116969905,0.9057032056440956,1.9760139854237768,0.4787215164846718,0.6654313118673068,1.8771022093919922,2.668554979457214,4.312530573071439,1.9760139854237768,0.6946722857164528,0.6499770580309681
kx=2|ky=2|x=one_rare_0p2|y=one_rare_0p2|N=100|K=300,42,300,one_rare_0p2,one_rare_0p2,one_rare,one_rare,one_rare|one_rare,True,1.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,100.0,0.010000000000000002,0.81,80.99999999999999,1.0000000000000002,0.81,5.625000000000001,123.45679012345678,17.777777777777775,25.0,32.49615361854384,1.2998461447417538,0,0,1,0.0,0.0,0.25,0.9379911871785624,0.4689955935892812,1.915858733228839,0.47896468330720976,1.4872099940511598,0.37180249851278996,3.8414588206941205,6.634896601021215,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,1.1723413305421408,2.2566236515398033,1.218088974968873,0.9624431011471053,0.8611787319493305,2.5350200586340796,3.0930619014025473,6.654040831847925,1.218088974968873,0.8051789816775013,1.0028853849544186
kx=2|ky=2|x=one_rare_0p2|y=one_rare_0p2|N=200|K=300,42,300,one_rare_0p2,one_rare_0p2,one_rare,one_rare,one_rare|one_rare,True,2.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,200.0,0.010000000000000002,0.81,80.99999999999999,2.0000000000000004,1.62,11.250000000000002,123.45679012345678,17.777777777777775,50.0,64.99230723708769,1.2998461447417538,0,0,1,0.0,0.0,0.25,0.9379911871785624,0.4689955935892812,1.915858733228839,0.47896468330720976,1.4872099940511598,0.37180249851278996,3.8414588206941205,6.634896601021215,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,1.2296611289353139,2.8036316184524797,1.078648480108871,1.1400017258738462,0.5031296599511905,3.4746332403386417,4.561344201714531,5.2487730007061515,1.078648480108871,1.1873989582140916,0.7910858776455209
kx=2|ky=2|x=one_rare_0p2|y=one_rare_0p2|N=500|K=300,42,300,one_rare_0p2,one_rare_0p2,one_rare,one_rare,one_rare|one_rare,True,5.0,2.0,2.0,4.0,1.0,0.0,1.3862943611198906,500.0,0.010000000000000002,0.81,80.99999999999999,5.000000000000001,4.05,28.125000000000004,123.45679012345678,17.777777777777775,125.0,162.48076809271922,1.2998461447417538,0,0,0,0.0,0.0,0.0,0.9379911871785624,0.4689955935892812,1.915858733228839,0.47896468330720976,1.4872099940511598,0.37180249851278996,3.8414588206941205,6.634896601021215,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,2.0,0.4689955935892812,0.4689955935892812,1.384145488461686,0.692072744230843,1.2195121951219512,0.6097560975609756,0.1,0.9,0.2,9.0,0.40000000000000013,1.0997655037959937,2.236976440990878,1.0813561923825268,1.0170242807533254,0.4531763174028616,2.8140909474013567,4.073279787096423,6.243118837040031,1.0813561923825268,1.0603471173902663,0.9409519412976408
