target,feature_set,n,n_features,alpha,train_r2,random_cv_r2,group_cv_r2,features,coefficients
a,tp_entropy,84,4,0.0001,0.42241643539075935,0.37852696535947794,0.3662438158936343,"inv_lam_tp,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n","{""inv_lam_tp"": -0.01107160324263512, ""tp_x_one_minus_H_cell_norm"": -0.42362723529570784, ""tp_x_one_minus_cell_perp_n"": 0.08672574795978386, ""tp_x_one_minus_cell_simpson_n"": 0.08051908682849356}"
a,rich_interactions,84,20,1.0,0.5274626726086337,0.34083637362872976,-14.122259354626186,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,tp_x_log_nu0,tp_x_log_k_cells,tp_x_one_minus_H_cell_norm,tp_x_one_minus_cell_perp_n,tp_x_one_minus_cell_simpson_n,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_min"": -0.10049322675408816, ""inv_lam_sqrt_harm"": -0.026233503761867897, ""inv_lam_tp"": -0.003136270989555267, ""inv_sqrt_lam_min"": 0.08278558367157032, ""inv_sqrt_lam_tp"": 0.05121588264731376, ""tp_x_asym_H_norm"": 0.0, ""tp_x_asym_min_p"": 0.0, ""tp_x_expected_cv"": 0.005810431110918443, ""tp_x_frac_cells_lt_0p5"": 0.008354700840820723, ""tp_x_frac_cells_lt_1"": 0.0005352945824470276, ""tp_x_frac_cells_lt_5"": -0.004682130147455532, ""tp_x_log_k_cells"": -0.0002791181231578024, ""tp_x_log_nu0"": -9.862938023413553e-06, ""tp_x_mean_H_norm"": -0.002184898065426027, ""tp_x_mean_k_min_p"": -0.002616617156400087, ""tp_x_min_H_norm"": -0.0021848980654257328, ""tp_x_min_k_min_p"": -0.0026166171564001974, ""tp_x_one_minus_H_cell_norm"": -0.3794413317370563, ""tp_x_one_minus_cell_perp_n"": 0.0417848656822466, ""tp_x_one_minus_cell_simpson_n"": 0.06943484817419147}"
a,tp_shape_asymmetry,84,7,1e-08,0.3346345286924157,0.29279180365437785,-0.12674558889037124,"inv_lam_tp,tp_x_mean_k_min_p,tp_x_min_k_min_p,tp_x_mean_H_norm,tp_x_min_H_norm,tp_x_asym_H_norm,tp_x_asym_min_p","{""inv_lam_tp"": -0.16973241223656857, ""tp_x_asym_H_norm"": 0.0, ""tp_x_asym_min_p"": 0.0, ""tp_x_mean_H_norm"": 0.09409900393692927, ""tp_x_mean_k_min_p"": -0.01525081504051422, ""tp_x_min_H_norm"": 0.09409900393692927, ""tp_x_min_k_min_p"": -0.01525081504051422}"
a,mixed_sparsity,84,7,0.0001,0.3667255509377577,0.2593085428028473,0.05986942929771155,"inv_lam_min,inv_sqrt_lam_min,inv_lam_tp,inv_sqrt_lam_tp,inv_lam_sqrt_harm,frac_cells_lt_1,frac_cells_lt_5","{""frac_cells_lt_1"": -0.08625358818121853, ""frac_cells_lt_5"": 0.05591984394120289, ""inv_lam_min"": -0.16637499800480637, ""inv_lam_sqrt_harm"": -0.06258909445222502, ""inv_lam_tp"": 0.00010459239549319355, ""inv_sqrt_lam_min"": 0.09446534863888521, ""inv_sqrt_lam_tp"": 0.03755460262849266}"
a,lambda_tp,84,1,1e-08,0.23457364767955424,0.23330176309720696,0.23206243749761724,inv_lam_tp,"{""inv_lam_tp"": -0.010333672061661454}"
a,lambda_tp_power,84,2,0.0001,0.2453780641397174,0.22782924243720748,0.21535413138880843,"inv_lam_tp,inv_sqrt_lam_tp","{""inv_lam_tp"": -0.014466325538284535, ""inv_sqrt_lam_tp"": 0.01909146911806813}"
a,tp_size,84,3,0.01,0.25605044848245695,0.22607052697879348,0.23953658467957673,"inv_lam_tp,tp_x_log_nu0,tp_x_log_k_cells","{""inv_lam_tp"": -0.0024454970540556753, ""tp_x_log_k_cells"": -0.022180546117683945, ""tp_x_log_nu0"": 0.02330065096151749}"
a,lambda_min_power,84,3,1e-06,0.2569715138305506,0.20744330676878653,0.18951896178816252,"inv_lam_min,inv_sqrt_lam_min,inv_lam_min_sq","{""inv_lam_min"": -0.37110158533352955, ""inv_lam_min_sq"": 0.03671055062942419, ""inv_sqrt_lam_min"": 0.2797504125821132}"
a,lambda_min,84,1,1e-08,0.17250585945243946,0.14697561536304893,0.13401109405691192,inv_lam_min,"{""inv_lam_min"": -0.07818450373859384}"
a,tp_sparsity,84,5,0.0,0.2792772654127823,-2.5230721108027128,-6.2940969045845785,"inv_lam_tp,tp_x_frac_cells_lt_0p5,tp_x_frac_cells_lt_1,tp_x_frac_cells_lt_5,tp_x_expected_cv","{""inv_lam_tp"": 0.016874917478854414, ""tp_x_expected_cv"": -0.013961650622044268, ""tp_x_frac_cells_lt_0p5"": 0.0030228991957600092, ""tp_x_frac_cells_lt_1"": -0.003876719512235762, ""tp_x_frac_cells_lt_5"": -0.025252769513043827}"
