stage,population_seed,scenario_id,scenario_key,simulation_seed,rows,columns,design_index,n_p,n_q,replicates,valid_n,valid_rate,true_delta,minimum_joint_expected_p,minimum_joint_expected_q,mean_zero_fraction_p,mean_zero_fraction_q,batch_seconds,batch_microseconds_per_pair,empirical_component_df_p,empirical_component_df_q,empirical_total_df,median_naive_total_df,median_if_total_df,population_if_component_df_p,population_if_component_df_q,population_if_total_df,correlation_delta_total_variance,wald_normal_coverage_95,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_error_10,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_error_05,welch_n_minus_1_coverage_95,welch_n_minus_1_median_df,welch_n_minus_1_fpr_10,welch_n_minus_1_fpr_10_low,welch_n_minus_1_fpr_10_high,welch_n_minus_1_error_10,welch_n_minus_1_fpr_05,welch_n_minus_1_fpr_05_low,welch_n_minus_1_fpr_05_high,welch_n_minus_1_error_05,if_satterthwaite_coverage_95,if_satterthwaite_median_df,if_satterthwaite_fpr_10,if_satterthwaite_fpr_10_low,if_satterthwaite_fpr_10_high,if_satterthwaite_error_10,if_satterthwaite_fpr_05,if_satterthwaite_fpr_05_low,if_satterthwaite_fpr_05_high,if_satterthwaite_error_05
broad,73105913,random_2x2_d0,broad:73105913:random_2x2_d0,3057367574,2,2,0,400,400,5000,5000,1.0,-1.1102230246251565e-16,68.62890458840818,74.14944797808268,0.0,0.0,0.007174416910856962,1.4348833821713924,14.182139605551074,14.377877731670784,28.17822579110813,772.7138768903693,27.145015106850867,13.13967511929898,13.158600090631962,26.298232549948153,0.006880601869428929,0.9588,0.0898,0.08218723673405674,0.0980425859416681,0.0102,0.0412,0.03603404693250977,0.04707039637227465,0.008800000000000002,0.9602,772.7138768903693,0.0894,0.08180344452007886,0.09762699231720202,0.010600000000000012,0.0398,0.03472528711352322,0.04558130575670736,0.0102,0.9682,27.145015106850867,0.0804,0.07318127536682943,0.0882629801054625,0.019600000000000006,0.0318,0.027284421471199267,0.03703445463015223,0.0182
broad,73105913,random_2x2_d5,broad:73105913:random_2x2_d5,3343105717,2,2,5,120,480,5000,5000,1.0,1.5543122344752192e-15,8.510855726412276,35.839337956299445,0.0,0.0,0.0035195830278098583,0.7039166055619717,38.830169958750936,141.16755665926829,60.13322233558575,183.91274448239952,56.284790321276255,35.07480129424485,136.91074178373475,54.18477868995288,0.8096885692917405,0.9428,0.109,0.10066023233412806,0.11794011058690658,0.008999999999999994,0.0572,0.051096623167800594,0.063983253674742,0.007199999999999998,0.9442,183.91274448239952,0.107,0.09873165928086486,0.11587175444795,0.006999999999999992,0.0558,0.04977204852711962,0.06250997788086914,0.0058,0.9496,56.284790321276255,0.1018,0.09372180779356477,0.11048959003547872,0.001799999999999996,0.0504,0.044673814062764695,0.05681650352623067,0.0003999999999999976
broad,73105913,random_2x5_d5,broad:73105913:random_2x5_d5,2840658051,2,5,5,120,480,5000,5000,1.0,8.881784197001252e-16,9.077449845514473e-10,0.9260701938777481,0.30188,0.03838,0.004496542038396001,0.8993084076792002,19.887052636902595,92.20983944590355,32.391670260104625,194.57924333450984,30.57480933458504,16.297490003272728,104.07467413750359,27.10252824568127,0.7765566857985977,0.9174,0.1428,0.13337637900061192,0.15277206726893686,0.042800000000000005,0.0826,0.07528650038771441,0.09055437719601929,0.032600000000000004,0.919,194.57924333450984,0.1408,0.1314347491543919,0.1507167679229371,0.0408,0.081,0.07375526540604448,0.08888806882391338,0.031,0.9286,30.57480933458504,0.1298,0.12076786219271811,0.13940054432740212,0.029799999999999993,0.0714,0.06458701559947404,0.07887105850782893,0.021400000000000002
broad,73105913,random_4x6_d5,broad:73105913:random_4x6_d5,2207962612,4,6,5,240,960,5000,5000,1.0,-1.0769163338864018e-13,1.548793172222043,8.684391110451767,0.017933333333333332,1.6666666666666667e-05,0.007073709042742848,1.4147418085485697,73.70061472742854,197.3435809050364,113.55088746938495,371.88151244462296,103.06004286718942,52.41275104460013,187.081103991529,83.17971242121824,0.6830135062576841,0.9444,0.1048,0.09661131057076797,0.11359548104660516,0.004799999999999999,0.0556,0.04958291385480927,0.06229941963395749,0.005599999999999994,0.9456,371.88151244462296,0.1042,0.09603323425328442,0.11297447860642279,0.004199999999999995,0.0544,0.048448591059440875,0.06103558491399403,0.004399999999999994,0.9486,103.06004286718942,0.1018,0.09372180779356477,0.11048959003547872,0.001799999999999996,0.0514,0.045616565428436305,0.05787221675666895,0.0013999999999999985
broad,73105913,random_5x5_d2,broad:73105913:random_5x5_d2,3614233537,5,5,2,625,2500,5000,5000,1.0,3.774758283725532e-15,0.36970771345551257,3.650193720442355,0.04436,0.000976,0.007473332923837006,1.4946665847674012,123.50403348938862,502.06793888380093,192.07086914025038,965.7088318290919,190.2621366153751,116.39227376789954,482.57019673727245,180.46935915006145,0.6896946614815308,0.9508,0.1002,0.09218165360924936,0.10883220086601832,0.00019999999999999185,0.0492,0.04354338255549714,0.055548777518166365,0.0008000000000000021,0.951,965.7088318290919,0.0992,0.09121938807647939,0.1077960018026784,0.000800000000000009,0.049,0.043355071700947344,0.05533739545349418,0.0010000000000000009,0.9518,190.2621366153751,0.0974,0.08948796411595085,0.10593018949020915,0.002600000000000005,0.0482,0.04260210373766007,0.05449159173989355,0.001800000000000003
broad,84207631,random_2x2_d0,broad:84207631:random_2x2_d0,2768801224,2,2,0,400,400,5000,5000,1.0,2.220446049250313e-16,59.38352231343574,67.76934194641456,0.0,0.0,0.0035567920422181487,0.7113584084436297,14.683756045045461,14.147319385746078,29.187861716973277,771.975896101691,27.536820866585465,13.29929153760251,13.193035941814008,26.491441880481844,-0.01629428967211288,0.9598,0.0934,0.08564346098790362,0.10178083423381681,0.006600000000000009,0.0402,0.0350990382522204,0.04600694045645413,0.009800000000000003,0.9604,771.975896101691,0.093,0.08525925317287317,0.10136565621040333,0.007000000000000006,0.0396,0.03453846664891083,0.04536843330209778,0.0104,0.9692,27.536820866585465,0.0808,0.07356392173647129,0.08867971957426461,0.01920000000000001,0.0308,0.026359508374236954,0.035960903131004654,0.019200000000000002
broad,84207631,random_2x2_d5,broad:84207631:random_2x2_d5,956302896,2,2,5,120,480,5000,5000,1.0,5.67323965583455e-14,6.127156145376954,52.13612147580485,0.0006,0.0,0.0035284999758005142,0.7056999951601028,35.24047789545295,140.12279578558847,52.88116922729187,177.96804573431865,48.555691088744176,31.496779695618578,130.1668439273497,46.979964158350995,0.8197602132551058,0.9422,0.1122,0.10374783964992389,0.1212475899786624,0.012199999999999989,0.0578,0.05166463044785411,0.06461432515235441,0.0077999999999999944,0.9432,177.96804573431865,0.1104,0.10201077811674306,0.11938741523884544,0.010399999999999993,0.0568,0.05071806154659551,0.06356242945750312,0.0068000000000000005,0.9506,48.555691088744176,0.1024,0.09429953122956897,0.11111094535714044,0.0023999999999999994,0.0494,0.04373172063796703,0.055760132354918446,0.0006000000000000033
broad,84207631,random_2x5_d5,broad:84207631:random_2x5_d5,4204685467,2,5,5,120,480,5000,5000,1.0,-1.7763568394002505e-14,1.165785899521863,7.105392992220263,0.04842,0.00012,0.004531749989837408,0.9063499979674816,50.97587070246831,195.51313304294925,80.22988035085612,187.09198530360771,75.03560411187968,48.283062687036704,189.6823477029216,74.13307256697233,0.46926267058516513,0.9286,0.124,0.11515223549844852,0.1334250763642344,0.023999999999999994,0.0714,0.06458701559947404,0.07887105850782893,0.021400000000000002,0.9312,187.09198530360771,0.1228,0.11399117999101867,0.13218797435633242,0.0228,0.0688,0.06211009257017858,0.07615197358723869,0.018799999999999997,0.9346,75.03560411187968,0.1192,0.11050971686933803,0.12847496493201746,0.019199999999999995,0.0654,0.058875404352604514,0.07259188217803915,0.015399999999999997
broad,84207631,random_4x6_d5,broad:84207631:random_4x6_d5,3222077813,4,6,5,240,960,5000,5000,1.0,-8.881784197001252e-16,0.08572716066576945,8.111479369603169,0.16905,0.0,0.007569000008516014,1.5138000017032027,86.33120569806974,264.41423574511583,129.2666546443283,360.04276427840557,110.8045922226718,64.53180073908533,248.91379269722142,97.50945827799659,0.7104341397826536,0.9486,0.1006,0.09256663145562494,0.10924660885808668,0.0005999999999999894,0.0514,0.045616565428436305,0.05787221675666895,0.0013999999999999985,0.9494,360.04276427840557,0.099,0.0910269658890982,0.1075887310708376,0.0010000000000000009,0.0506,0.044862312290198145,0.0570276982180192,0.0005999999999999964,0.9508,110.8045922226718,0.0974,0.08948796411595085,0.10593018949020915,0.002600000000000005,0.0492,0.04354338255549714,0.055548777518166365,0.0008000000000000021
broad,84207631,random_5x5_d2,broad:84207631:random_5x5_d2,1633380279,5,5,2,625,2500,5000,5000,1.0,0.0,0.4394577785122957,0.024848974569094687,0.0328,0.123624,0.007604458020068705,1.520891604013741,137.2656929790627,527.1451090023445,216.05732520634595,981.9656288496105,211.30650192367216,120.45955691449129,518.2781790038184,191.21870839659664,0.6586240282512447,0.9496,0.1046,0.09641860881615973,0.11338848988199142,0.004599999999999993,0.0504,0.044673814062764695,0.05681650352623067,0.0003999999999999976,0.9498,981.9656288496105,0.1046,0.09641860881615973,0.11338848988199142,0.004599999999999993,0.0502,0.04448534215006971,0.05660528251970368,0.0001999999999999988,0.9508,211.30650192367216,0.1044,0.09622591670218933,0.11318148907673983,0.004400000000000001,0.0492,0.04354338255549714,0.055548777518166365,0.0008000000000000021
