stage,method,population_pairs,table_pairs,aggregate_valid_rate,minimum_scenario_valid_rate,mean_coverage_95,mean_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,paired_mae_gain_vs_naive_05,paired_mae_gain_05_low,paired_mae_gain_05_high
broad,wald_normal,144,720000,1.0,1.0,0.949738888888889,0.1004625,0.0064486111111111116,0.0866,0.1428,0.05026111111111111,0.004797222222222223,0.0384,0.0826,,,
broad,welch_n_minus_1,144,720000,1.0,1.0,0.9500527777777776,0.10011805555555556,0.006270833333333334,0.0866,0.1408,0.04994722222222222,0.004619444444444444,0.038,0.081,,,
broad,if_satterthwaite,144,720000,1.0,1.0,0.9518527777777778,0.09808333333333334,0.006436111111111112,0.0804,0.1298,0.04814722222222222,0.004944444444444446,0.0308,0.0714,-0.000325000000000001,-0.0007263888888888897,7.916666666666556e-05
hard,wald_normal,12,240000,1.0,1.0,0.9376874999999999,0.11497916666666667,0.014979166666666661,0.1028,0.1409,0.0623125,0.012312499999999997,0.05395,0.08725,,,
hard,welch_n_minus_1,12,240000,1.0,1.0,0.9386875,0.11400416666666667,0.01400416666666666,0.1021,0.1396,0.061312499999999985,0.011312499999999996,0.05355,0.086,,,
hard,if_satterthwaite,12,240000,1.0,1.0,0.9426416666666668,0.11014583333333333,0.01020416666666666,0.09965,0.12925,0.05735833333333334,0.0073583333333333304,0.0517,0.0734,0.003954166666666666,0.0024833333333333344,0.005908333333333331
strong,wald_normal,144,720000,1.0,1.0,0.9500263888888889,0.09906944444444443,0.007397222222222222,0.0816,0.123,0.04997361111111111,0.005295833333333333,0.0382,0.0702,,,
strong,welch_n_minus_1,144,720000,1.0,1.0,0.9503277777777779,0.09877361111111112,0.007281944444444446,0.0816,0.1222,0.049672222222222215,0.0051333333333333335,0.0374,0.0684,,,
strong,if_satterthwaite,144,720000,1.0,1.0,0.9521138888888889,0.09681388888888888,0.007727777777777781,0.0784,0.1186,0.04788611111111111,0.005366666666666668,0.0322,0.0658,-0.0002333333333333338,-0.0006625000000000007,0.00019444444444444384
stress,wald_normal,26,260000,0.9999115384615385,0.999,0.9296587561219591,0.12074307985783374,0.05088768937293548,0.040808161632326465,0.2384,0.07034124387804083,0.0372895253527284,0.0148,0.1668,,,
stress,welch_n_minus_1,26,260000,0.9999115384615385,0.999,0.9329668225889323,0.11668492141454608,0.049538155508530864,0.035007001400280055,0.2322,0.0670331774110678,0.035666822588932195,0.0128,0.1605,,,
stress,if_satterthwaite,26,260000,0.9999115384615385,0.999,0.9454366250172055,0.1028190198806435,0.04281174935012572,0.0261,0.1783,0.0545633749827945,0.02658277886335934,0.0084,0.1027,0.00908404372557285,0.003741618644504677,0.015183901230505741
broad_balanced_design0,wald_normal,24,120000,1.0,1.0,0.9554583333333332,0.09358333333333334,0.0066666666666666706,0.0866,0.1016,0.04454166666666667,0.005458333333333336,0.0386,0.05,,,
broad_balanced_design0,welch_n_minus_1,24,120000,1.0,1.0,0.9555666666666666,0.09349166666666665,0.006758333333333338,0.0866,0.1016,0.044433333333333325,0.0055666666666666685,0.0386,0.05,,,
broad_balanced_design0,if_satterthwaite,24,120000,1.0,1.0,0.9573499999999999,0.09134999999999999,0.008750000000000004,0.0804,0.1012,0.04265,0.007350000000000003,0.0308,0.049,-0.0017833333333333338,-0.0027916666666666667,-0.0009666666666666674
