scenario_id,simulation_seed,method,replicates,valid_rate,true_delta,power_05,coverage_95,median_df
curve_effect_d02_n300,3501039048,wald_normal,10000,1.0,-0.01999999999999985,0.079,0.9537,
curve_effect_d02_n300,3501039048,welch_n_minus_1,10000,1.0,-0.01999999999999985,0.0783,0.9539,535.3250195966173
curve_effect_d02_n300,3501039048,if_satterthwaite,10000,1.0,-0.01999999999999985,0.0706,0.9602,39.062480914586736
curve_effect_d05_n300,1282721220,wald_normal,10000,1.0,-0.050000000000000266,0.2843,0.9449,
curve_effect_d05_n300,1282721220,welch_n_minus_1,10000,1.0,-0.050000000000000266,0.2817,0.9456,493.92206694420554
curve_effect_d05_n300,1282721220,if_satterthwaite,10000,1.0,-0.050000000000000266,0.2693,0.9516,61.37749355795586
curve_effect_d10_n300,1488526562,wald_normal,10000,1.0,-0.09999999999999992,0.7351,0.9423,
curve_effect_d10_n300,1488526562,welch_n_minus_1,10000,1.0,-0.09999999999999992,0.7341,0.9435,457.8533192745499
curve_effect_d10_n300,1488526562,if_satterthwaite,10000,1.0,-0.09999999999999992,0.7269,0.9471,120.57992720571721
curve_sample_d05_n150,645703357,wald_normal,10000,1.0,-0.050000000000000266,0.1541,0.9408,
curve_sample_d05_n150,645703357,welch_n_minus_1,10000,1.0,-0.050000000000000266,0.1509,0.9416,251.55704978035322
curve_sample_d05_n150,645703357,if_satterthwaite,10000,1.0,-0.050000000000000266,0.1403,0.9523,33.87317041595155
curve_sample_d05_n600,3648396968,wald_normal,10000,1.0,-0.050000000000000266,0.5297,0.9501,
curve_sample_d05_n600,3648396968,welch_n_minus_1,10000,1.0,-0.050000000000000266,0.5286,0.9503,977.5396428207134
curve_sample_d05_n600,3648396968,if_satterthwaite,10000,1.0,-0.050000000000000266,0.5209,0.9526,114.54713199339773
