stage,population_seed,scenario_id,scenario_key,simulation_seed,rows,columns,design_index,n_p,n_q,replicates,valid_n,valid_rate,true_delta,minimum_joint_expected_p,minimum_joint_expected_q,mean_zero_fraction_p,mean_zero_fraction_q,batch_seconds,batch_microseconds_per_pair,empirical_component_df_p,empirical_component_df_q,empirical_total_df,median_naive_total_df,median_if_total_df,population_if_component_df_p,population_if_component_df_q,population_if_total_df,correlation_delta_total_variance,wald_normal_coverage_95,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_error_10,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_error_05,welch_n_minus_1_coverage_95,welch_n_minus_1_median_df,welch_n_minus_1_fpr_10,welch_n_minus_1_fpr_10_low,welch_n_minus_1_fpr_10_high,welch_n_minus_1_error_10,welch_n_minus_1_fpr_05,welch_n_minus_1_fpr_05_low,welch_n_minus_1_fpr_05_high,welch_n_minus_1_error_05,if_satterthwaite_coverage_95,if_satterthwaite_median_df,if_satterthwaite_fpr_10,if_satterthwaite_fpr_10_low,if_satterthwaite_fpr_10_high,if_satterthwaite_error_10,if_satterthwaite_fpr_05,if_satterthwaite_fpr_05_low,if_satterthwaite_fpr_05_high,if_satterthwaite_error_05
broad,73105913,random_2x2_d0,broad:73105913:random_2x2_d0,3057367574,2,2,0,400,400,5000,5000,1.0,-1.1102230246251565e-16,68.62890458840818,74.14944797808268,0.0,0.0,0.007174416910856962,1.4348833821713924,14.182139605551074,14.377877731670784,28.17822579110813,772.7138768903693,27.145015106850867,13.13967511929898,13.158600090631962,26.298232549948153,0.006880601869428929,0.9588,0.0898,0.08218723673405674,0.0980425859416681,0.0102,0.0412,0.03603404693250977,0.04707039637227465,0.008800000000000002,0.9602,772.7138768903693,0.0894,0.08180344452007886,0.09762699231720202,0.010600000000000012,0.0398,0.03472528711352322,0.04558130575670736,0.0102,0.9682,27.145015106850867,0.0804,0.07318127536682943,0.0882629801054625,0.019600000000000006,0.0318,0.027284421471199267,0.03703445463015223,0.0182
broad,73105913,random_2x2_d1,broad:73105913:random_2x2_d1,3273524577,2,2,1,200,400,5000,5000,1.0,5.340172748447003e-14,30.08017762780793,32.02149088528924,0.0,0.0,0.0034777919063344598,0.695558381266892,18.62440248977572,38.674301931017766,36.56400196408247,391.31179217669006,35.68856118596831,17.493625628912824,37.77558103859344,34.84107248332602,0.599873546574282,0.95,0.106,0.09776772219825865,0.11483722693444633,0.0059999999999999915,0.05,0.04429689670057055,0.05639403504998086,0.0,0.9506,391.31179217669006,0.1054,0.09718947343586365,0.1142163969391754,0.005399999999999988,0.0494,0.04373172063796703,0.055760132354918446,0.0006000000000000033,0.957,35.68856118596831,0.0948,0.08698853981142897,0.10323360584484532,0.00520000000000001,0.043,0.0377192510877771,0.0489824284900051,0.007000000000000006
broad,73105913,random_2x2_d2,broad:73105913:random_2x2_d2,349175255,2,2,2,120,480,5000,5000,1.0,1.1102230246251565e-15,0.03544053530959799,7.792035411385706,0.2417,5e-05,0.003477292018942535,0.695458403788507,33.50619931026693,200.33223986691416,77.32267418498166,272.5625214200618,88.35960796150736,12.051763271127026,210.4248396027345,27.600873828144824,0.5285917833053595,0.941,0.1078,0.09950297750115336,0.1166992079045494,0.007800000000000001,0.059,0.052801227987900407,0.06587588512763998,0.008999999999999994,0.9418,272.5625214200618,0.1072,0.09892447485888445,0.1160786317891524,0.007199999999999998,0.0582,0.05204341062193982,0.06503493081671266,0.008199999999999999,0.9436,88.35960796150736,0.1046,0.09641860881615973,0.11338848988199142,0.004599999999999993,0.0564,0.05033958885978194,0.06314151630587274,0.006399999999999996
broad,73105913,random_2x2_d3,broad:73105913:random_2x2_d3,3794144454,2,2,3,800,800,5000,5000,1.0,4.3298697960381105e-15,21.60924039501662,20.347082331376583,0.0,0.0,0.003344374941661954,0.6688749883323908,33.10983920505238,43.73729826795975,73.91035964986492,1577.7484584138451,74.40780641145683,33.02371663331158,40.95154757309426,72.19686037456532,0.14932511822516017,0.9492,0.0996,0.09160426345312381,0.10821051226447792,0.00040000000000001146,0.0508,0.04505083668536068,0.057238866742078634,0.0007999999999999952,0.95,1577.7484584138451,0.0994,0.0914118206070568,0.10800326219132297,0.0006000000000000033,0.05,0.04429689670057055,0.05639403504998086,0.0,0.9534,74.40780641145683,0.096,0.08814189353368367,0.1044784096379225,0.0040000000000000036,0.0466,0.04109752422905178,0.05279862789472602,0.0034000000000000002
broad,73105913,random_2x2_d4,broad:73105913:random_2x2_d4,800648090,2,2,4,120,240,5000,5000,1.0,0.0,16.639799244149383,16.035918025106078,0.0,0.0,0.003398041008040309,0.6796082016080618,11.642821355992881,18.57491470961971,23.52138172625463,248.69317254693703,22.934987668760094,10.473743626486902,18.430114913611256,21.660225020977915,0.4956663599891602,0.9484,0.1052,0.09699674290476157,0.1140094345510555,0.005199999999999996,0.0516,0.04580519305269662,0.0580832820516306,0.0015999999999999973,0.95,248.69317254693703,0.1038,0.0956478984489612,0.11256042857230204,0.003799999999999998,0.05,0.04429689670057055,0.05639403504998086,0.0,0.962,22.934987668760094,0.0898,0.08218723673405674,0.0980425859416681,0.0102,0.038,0.03304526128739777,0.04366409530983501,0.012000000000000004
broad,73105913,random_2x2_d5,broad:73105913:random_2x2_d5,3343105717,2,2,5,120,480,5000,5000,1.0,1.5543122344752192e-15,8.510855726412276,35.839337956299445,0.0,0.0,0.0035195830278098583,0.7039166055619717,38.830169958750936,141.16755665926829,60.13322233558575,183.91274448239952,56.284790321276255,35.07480129424485,136.91074178373475,54.18477868995288,0.8096885692917405,0.9428,0.109,0.10066023233412806,0.11794011058690658,0.008999999999999994,0.0572,0.051096623167800594,0.063983253674742,0.007199999999999998,0.9442,183.91274448239952,0.107,0.09873165928086486,0.11587175444795,0.006999999999999992,0.0558,0.04977204852711962,0.06250997788086914,0.0058,0.9496,56.284790321276255,0.1018,0.09372180779356477,0.11048959003547872,0.001799999999999996,0.0504,0.044673814062764695,0.05681650352623067,0.0003999999999999976
broad,73105913,random_2x5_d0,broad:73105913:random_2x5_d0,2307318220,2,5,0,1000,1000,5000,5000,1.0,3.574918139293004e-14,53.987754099220176,27.301374816613173,0.0,0.0,0.006076207966543734,1.2152415933087468,36.49062584517857,48.055022309784476,79.52230162282349,1975.5398201927808,80.15120640510368,33.92317174072826,42.0038152149767,74.25321241712197,0.1613735890387679,0.9536,0.0992,0.09121938807647939,0.1077960018026784,0.000800000000000009,0.0464,0.04090958228231389,0.05258687692224192,0.003600000000000006,0.9536,1975.5398201927808,0.099,0.0910269658890982,0.1075887310708376,0.0010000000000000009,0.0464,0.04090958228231389,0.05258687692224192,0.003600000000000006,0.956,80.15120640510368,0.0954,0.08756516763547541,0.10385605677846481,0.004600000000000007,0.044,0.03865664033773348,0.05004350383615861,0.006000000000000005
broad,73105913,random_2x5_d1,broad:73105913:random_2x5_d1,3694793252,2,5,1,500,1000,5000,5000,1.0,-1.5543122344752192e-15,14.548331478005903,5.2750339656473715,0.0,0.00062,0.0047307920176535845,0.9461584035307169,54.13523083110425,99.75461018228528,97.95071484416862,926.059680937974,100.56961339749613,51.21121371219851,102.25776005596826,95.95176856075774,0.6579708864316881,0.9474,0.1102,0.10181781589489737,0.11918068454146914,0.0102,0.0526,0.04674871022497823,0.05913822947545888,0.002599999999999998,0.9476,926.059680937974,0.11,0.10162486267378054,0.11897394484336399,0.009999999999999995,0.0524,0.04655995670627651,0.05892729007493863,0.0023999999999999994,0.9494,100.56961339749613,0.107,0.09873165928086486,0.11587175444795,0.006999999999999992,0.0506,0.044862312290198145,0.0570276982180192,0.0005999999999999964
broad,73105913,random_2x5_d2,broad:73105913:random_2x5_d2,4058442007,2,5,2,250,1000,5000,5000,1.0,-1.9984014443252818e-14,1.4512867385085475,0.032683416394197334,0.02342,0.09948,0.0043492920231074095,0.8698584046214819,81.73824534286676,186.16061702503032,115.80887656446525,356.07543198762346,117.45768500717115,79.7042371146698,171.29223462552608,112.773537459774,0.731204764107074,0.9334,0.1142,0.10567874259611648,0.12331361622468956,0.01419999999999999,0.0666,0.06001647553764848,0.07384896850832705,0.016600000000000004,0.935,356.07543198762346,0.1134,0.1049062772179981,0.12248730992592004,0.013399999999999995,0.065,0.05849519252435276,0.07217270816784693,0.015,0.9366,117.45768500717115,0.112,0.10355479737222283,0.12104093933714148,0.011999999999999997,0.0634,0.0569750881353032,0.07049526920312069,0.013399999999999995
broad,73105913,random_2x5_d3,broad:73105913:random_2x5_d3,428093294,2,5,3,2000,2000,5000,5000,1.0,1.1102230246251565e-16,9.431880451919957,0.008936328950790877,0.0,0.26306,0.004455541027709842,0.8911082055419683,83.96364489586468,40.113633605364384,114.41733836957606,3954.7676841593047,113.55653980676955,79.11603700277631,39.69615454328503,109.5672727265811,-0.05848135568084413,0.95,0.1004,0.09237413744293914,0.10903940995155052,0.0003999999999999976,0.05,0.04429689670057055,0.05639403504998086,0.0,0.95,3954.7676841593047,0.1,0.09198917998158554,0.10862498157446016,0.0,0.05,0.04429689670057055,0.05639403504998086,0.0,0.9518,113.55653980676955,0.0982,0.09025738113052353,0.10675954415252437,0.00180000000000001,0.0482,0.04260210373766007,0.05449159173989355,0.001800000000000003
