scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,stage,population_seed,scenario_key,probability_p_json,probability_q_json,family,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,min_expected_p,min_expected_q,different_distributions_l1,simulation_seed
random_2x2_d0,0.0,0.0,2,2,400,400,0.03,50.0,50.0,0.2514839257973878,0.2498541745148554,1.0,0.030000000000000027,0.030000000000000138,-1.1102230246251565e-16,0.5005649929202208,0.05833236645376863,0.05826776847559886,3.914421060624562e-07,7.828812363505596e-07,0.17157226147102045,0.1853736199452067,68.62890458840818,74.14944797808268,0.0,0.0,0.0,0.0,True,broad,73105913.0,broad:73105913:random_2x2_d0,"[[0.3687974440736209, 0.17157226147102045], [0.20229049053746342, 0.2573398039178952]]","[[0.19048113158619903, 0.3503124116195491], [0.27383283684904514, 0.1853736199452067]]",,,,,,,,,,,,
random_2x2_d1,0.0,1.0,2,2,200,400,0.07,20.0,5.0,0.3964442485445149,0.42319439700786887,2.0,0.06999999999999995,0.06999999999994655,5.340172748447003e-14,0.7464402851895249,0.13127873390013234,0.12776681543840085,0.007565191682134764,0.014966483277616228,0.15040088813903965,0.0800537272132231,30.08017762780793,32.02149088528924,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x2_d1,"[[0.15040088813903965, 0.4339584403552845], [0.26126367835881087, 0.15437699314686507]]","[[0.24071775504507595, 0.24194824890610986], [0.0800537272132231, 0.4372802688355911]]",,,,,,,,,,,,
random_2x2_d2,0.0,2.0,2,2,120,480,0.15,5.0,1.2,1.7097525377061937,0.8398654588698363,1.0,0.15000000000000036,0.14999999999999925,1.1102230246251565e-15,0.3533200547222964,0.10256640378873154,0.2154911284180567,0.14855183397483596,0.20047240857818882,0.0002953377942466499,0.016233407107053555,0.03544053530959799,7.792035411385706,0.0,0.0,0.0,0.0,True,broad,73105913.0,broad:73105913:random_2x2_d2,"[[0.26285499110901117, 0.0002953377942466499], [0.3596262905562423, 0.3772233805404998]]","[[0.20719658890641046, 0.016233407107053555], [0.23862466539769492, 0.5379453385888412]]",,,,,,,,,,,,
random_2x2_d3,0.0,3.0,2,2,800,800,0.03,1.0,0.5,0.40138217724401276,0.3806318170997409,1.0,0.02999999999999936,0.02999999999999503,4.3298697960381105e-15,1.0530410412988578,0.05466551305704264,0.04957090296130274,0.016590164039039124,0.03192794429409341,0.027011550493770776,0.02543385291422073,21.60924039501662,20.347082331376583,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x2_d3,"[[0.368143088953392, 0.0976474674122456], [0.5071978931405916, 0.027011550493770776]]","[[0.3233866085303341, 0.47862958272544387], [0.02543385291422073, 0.17254995583000143]]",,,,,,,,,,,,
random_2x2_d4,0.0,4.0,2,2,120,240,0.07,10.0,0.8,0.39943229574062705,0.5291274778481224,2.0,0.07000000000000006,0.07000000000000006,0.0,1.0617410159950669,0.1315607265762866,0.14778751549064326,0.01041015133165124,0.02114060819579397,0.13866499370124485,0.06681632510460866,16.639799244149383,16.035918025106078,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x2_d4,"[[0.25088832306922165, 0.16360107101476495], [0.13866499370124485, 0.4468456122147686]]","[[0.06681632510460866, 0.6944715790122984], [0.10600289389833863, 0.13270920198475436]]",,,,,,,,,,,,
random_2x2_d5,0.0,5.0,2,2,120,480,0.15,2.0,20.0,0.6167251406054386,0.6179233098586204,1.0,0.15000000000000147,0.1499999999999999,1.5543122344752192e-15,0.2141077725242035,0.24745602727160038,0.2504935856194502,0.15221843488021336,0.25220652841539826,0.0709237977201023,0.07466528740895717,8.510855726412276,35.839337956299445,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x2_d5,"[[0.17080724449376278, 0.3480616664408168], [0.41020729134531814, 0.0709237977201023]]","[[0.1601782888728633, 0.45137406301406374], [0.3137823607041159, 0.07466528740895717]]",,,,,,,,,,,,
random_2x5_d0,1.0,0.0,2,5,1000,1000,0.03,50.0,50.0,0.2530806803988042,0.2965429555012455,1.0,0.030000000000022453,0.029999999999986704,3.574918139293004e-14,0.2798247271872602,0.05752319165493252,0.052795074259661255,0.010986171851978366,0.021794831266213816,0.05398775409922017,0.027301374816613173,53.987754099220176,27.301374816613173,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x5_d0,"[[0.13687394369089675, 0.09565079541695334, 0.05398775409922017, 0.10306789942351498, 0.06509870041948555], [0.1081874636255853, 0.08143115609980378, 0.12687965929587242, 0.08343013728141822, 0.1453924906472495]]","[[0.027301374816613173, 0.08646969961282473, 0.08151091210921824, 0.1119613489424857, 0.08740133346510257], [0.14091242832304027, 0.11003761125060636, 0.1066796667163581, 0.10329184045220503, 0.14443378431154594]]",,,,,,,,,,,,
random_2x5_d1,1.0,1.0,2,5,500,1000,0.07,20.0,5.0,0.4336142321235259,0.5755226451723722,1.0,0.06999999999999962,0.07000000000000117,-1.5543122344752192e-15,0.5605583803628629,0.1261262596853849,0.10874444727709012,0.04591826177601521,0.08860397767559228,0.029096662956011807,0.005275033965647371,14.548331478005903,5.2750339656473715,0.0,0.0,0.0,0.0,True,broad,73105913.0,broad:73105913:random_2x5_d1,"[[0.19599267182507019, 0.13540271298266382, 0.12520529288391907, 0.042654960666107924, 0.089487955791498], [0.087977595010331, 0.08261987994173467, 0.029096662956011807, 0.13567617732387066, 0.07588609061879287]]","[[0.09465908452374565, 0.24304246148007383, 0.054127243681803536, 0.1212342585273313, 0.10771421274937584], [0.05072109798548515, 0.10265034109629284, 0.04173269076861323, 0.17884357522163133, 0.005275033965647371]]",,,,,,,,,,,,
random_2x5_d2,1.0,2.0,2,5,250,1000,0.15,5.0,1.2,0.7573428987353643,1.5819108230234131,1.0,0.15000000000000013,0.15000000000002012,-1.9984014443252818e-14,0.9740500760151367,0.23595869209766676,0.18931241305374397,0.07297845171205686,0.14460912852072375,0.00580514695403419,3.268341639419733e-05,1.4512867385085475,0.032683416394197334,0.0,0.0,0.0,0.0,False,broad,73105913.0,broad:73105913:random_2x5_d2,"[[0.07170110857759676, 0.026605866265355327, 0.1624232176966991, 0.07897082299444509, 0.15785176406439638], [0.00580514695403419, 0.14619571399522502, 0.04588573215995982, 0.20687404282863636, 0.09768658446365207]]","[[0.010265104858961838, 0.09623717320080859, 3.268341639419733e-05, 0.0033335974114851088, 0.11251941978004876], [0.13634054346060034, 0.2671216547616892, 0.21181812595904448, 0.09618417584228632, 0.06614752130868107]]",,,,,,,,,,,,
random_2x5_d3,1.0,3.0,2,5,2000,2000,0.03,1.0,0.5,0.5264103000940485,1.5344515352434598,1.0,0.03000000000000025,0.030000000000000138,1.1102230246251565e-16,1.4360439944634298,0.058705792284862314,0.05229437701585396,0.11220044759360359,0.18902169130791785,0.004715940225959978,4.468164475395439e-06,9.431880451919957,0.008936328950790877,0.0,0.2,0.0,0.2,False,broad,73105913.0,broad:73105913:random_2x5_d3,"[[0.25737802971796525, 0.007885713331568211, 0.31802499463421025, 0.004715940225959978, 0.09346501639583463], [0.10337279590098884, 0.035201621887301235, 0.13331424858139307, 0.01146480679079079, 0.03517683253398763]]","[[0.04648265534044686, 5.5158106657177064e-05, 0.0005779072728015332, 4.468164475395439e-06, 0.049940792346143216], [0.14246742635826418, 0.0004133219826451187, 0.034489264329348526, 0.07515390175994632, 0.6504151043392717]]",,,,,,,,,,,,
