stage,population_seed,scenario_id,scenario_key,simulation_seed,rows,columns,design_index,n_p,n_q,replicates,base_valid_n,base_valid_rate,edgeworth_valid_n,edgeworth_valid_rate,true_delta,minimum_joint_expected_p,minimum_joint_expected_q,mean_zero_fraction_p,mean_zero_fraction_q,batch_seconds,batch_microseconds_per_pair,empirical_delta_variance,empirical_delta_third_cumulant,empirical_delta_variance_covariance,empirical_mean_statistic,empirical_statistic_skewness,population_predicted_mean_statistic,population_predicted_statistic_skewness,median_plugin_standardized_third_cumulant,median_plugin_standardized_variance_covariance,median_absolute_edgeworth_correction,minimum_edgeworth_density_factor,population_first_order_variance,population_numerator_third_cumulant,population_numerator_variance_covariance,population_standardized_third_cumulant,population_standardized_variance_covariance,wald_normal_valid_n,wald_normal_valid_rate,wald_normal_coverage_95,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_error_10,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_error_05,welch_n_minus_1_valid_n,welch_n_minus_1_valid_rate,welch_n_minus_1_coverage_95,welch_n_minus_1_median_df,welch_n_minus_1_fpr_10,welch_n_minus_1_fpr_10_low,welch_n_minus_1_fpr_10_high,welch_n_minus_1_error_10,welch_n_minus_1_fpr_05,welch_n_minus_1_fpr_05_low,welch_n_minus_1_fpr_05_high,welch_n_minus_1_error_05,if_satterthwaite_valid_n,if_satterthwaite_valid_rate,if_satterthwaite_coverage_95,if_satterthwaite_median_df,if_satterthwaite_fpr_10,if_satterthwaite_fpr_10_low,if_satterthwaite_fpr_10_high,if_satterthwaite_error_10,if_satterthwaite_fpr_05,if_satterthwaite_fpr_05_low,if_satterthwaite_fpr_05_high,if_satterthwaite_error_05,joint_edgeworth_valid_n,joint_edgeworth_valid_rate,joint_edgeworth_coverage_95,joint_edgeworth_fpr_10,joint_edgeworth_fpr_10_low,joint_edgeworth_fpr_10_high,joint_edgeworth_error_10,joint_edgeworth_fpr_05,joint_edgeworth_fpr_05_low,joint_edgeworth_fpr_05_high,joint_edgeworth_error_05
broad,91370211,random_2x2_d0,broad:91370211:random_2x2_d0,2433881051,2,2,0,400,400,5000,5000,1.0,4908,0.9816,-3.3306690738754696e-16,69.43751048436113,70.95804429220229,0.0,0.0,0.005780792096629739,1.1561584193259478,0.00030128250815255394,3.380752236508432e-08,1.7443962732004249e-09,0.027431545694570843,-0.007008848480729383,-0.00016547224991539654,-0.0007304323411169651,-8.555477796809461e-05,0.00266620421894447,0.0030919004815260064,-3.0222964324648727,0.0002910283156819884,1.3027726023996762e-09,1.6430774542450273e-09,0.000262401158375414,0.0003309444998307931,5000,1.0,0.9564,0.0942,0.08641201089382725,0.10261105600478113,0.0058,0.0436,0.03828158743789399,0.049619170897554146,0.006400000000000003,5000,1.0,0.9566,771.9828803704189,0.094,0.08621985671290236,0.10240351726648403,0.006000000000000005,0.0434,0.0380941093753608,0.04940695604086537,0.006600000000000002,5000,1.0,0.9656,27.32169995420316,0.0834,0.07605243700016218,0.09138721226045943,0.016600000000000004,0.0344,0.029695007439577942,0.03981987661165925,0.015600000000000003,4908,0.9816,0.9415240423797882,0.11409942950285248,0.1055049190025586,0.12329755115911517,0.014099429502852479,0.0584759576202119,0.052250275531444165,0.06539225500728187,0.008475957620211895
broad,91370211,random_2x2_d5,broad:91370211:random_2x2_d5,506841374,2,2,5,120,480,5000,5000,1.0,4960,0.992,1.3322676295501878e-15,2.857559083748101,10.712943497417276,0.0148,0.0,0.005797749967314303,1.1595499934628606,0.0022858391011527555,2.6117616016055156e-05,9.450791684534489e-06,-0.05184245949214984,-0.019243864087334264,-0.060541899556284244,-0.4820203422342817,-0.11519205981353928,0.11658104729941163,0.007805850315959841,-1.7800359240931067,0.0022231883495110964,-1.2449940766613142e-05,1.2692595089235476e-05,-0.11876894489657626,0.12108379911256849,5000,1.0,0.9304,0.1268,0.1178624402120862,0.1363105725197044,0.02679999999999999,0.0696,0.06287192325712557,0.0769889145771796,0.019599999999999992,5000,1.0,0.9312,184.43880457136697,0.1252,0.11631356900075204,0.13466190037726275,0.0252,0.0688,0.06211009257017858,0.07615197358723869,0.018799999999999997,5000,1.0,0.9356,82.10999967268802,0.1204,0.11166991704656731,0.12971292227012002,0.020399999999999988,0.0644,0.0579250130777428,0.07154380885679097,0.014399999999999996,4960,0.992,0.9429435483870968,0.10665322580645162,0.09836534290580622,0.11554992163871562,0.0066532258064516125,0.05705645161290323,0.0509375472778914,0.06386093360591924,0.0070564516129032265
broad,91370211,random_2x5_d5,broad:91370211:random_2x5_d5,2659526530,2,5,5,120,480,5000,5000,1.0,4950,0.99,-1.7763568394002505e-15,0.7729377542359839,11.446228989249459,0.06448,0.0,0.007468458032235503,1.4936916064471006,0.002820906787069417,4.1510615271477966e-05,1.8131417650728044e-05,-0.035882337012542606,-0.17552463445335367,-0.08467205233780155,-0.5886325742682399,-0.08484985864524408,0.1506035954557447,0.00790775745250413,-1.6638175766825403,0.0025835098750703303,-1.0584043909446192e-05,2.223746467224335e-05,-0.08060026024143069,0.1693441046756031,5000,1.0,0.931,0.1204,0.11166991704656731,0.12971292227012002,0.020399999999999988,0.069,0.06230052488742163,0.07636123418921764,0.019000000000000003,5000,1.0,0.9342,181.61287099855045,0.118,0.10934980921261131,0.1272367150734123,0.017999999999999988,0.0658,0.05925568920703122,0.07301098316205637,0.015799999999999995,5000,1.0,0.9384,58.275066153567266,0.1136,0.10509938060752584,0.12269389945561428,0.013600000000000001,0.0616,0.055266431469864034,0.06860668959556204,0.0116,4950,0.99,0.9476767676767677,0.10545454545454545,0.09720217464281557,0.11431881720381125,0.005454545454545448,0.05232323232323232,0.04645977775914857,0.05888098923118687,0.0023232323232323174
broad,91370211,random_4x6_d5,broad:91370211:random_4x6_d5,3160498180,4,6,5,240,960,5000,5000,1.0,4978,0.9956,1.3322676295501878e-14,0.6563922499307979,6.4753308837857295,0.07089166666666667,9.166666666666667e-05,0.01252195902634412,2.504391805268824,0.0014353062083665154,8.096904322700479e-06,3.987275224135575e-06,0.02457392610852945,-0.07191682174303177,-0.05536524748738788,-0.3792820314434617,-0.04380105519474068,0.09890357806634888,0.005588744219416783,-1.4656404134446839,0.0012868113794794085,-2.1737323562357556e-06,5.111396608040368e-06,-0.04709054651913441,0.11073049497477576,5000,1.0,0.9426,0.1116,0.10316873927257678,0.12062761159834356,0.0116,0.0574,0.05128593705566524,0.06419363270609932,0.007399999999999997,5000,1.0,0.9432,377.5025950603447,0.1106,0.10220374931793917,0.11959413695687128,0.010599999999999998,0.0568,0.05071806154659551,0.06356242945750312,0.0068000000000000005,5000,1.0,0.9444,94.44935599873669,0.1088,0.10046733357174994,0.11773331643006271,0.008799999999999988,0.0556,0.04958291385480927,0.06229941963395749,0.005599999999999994,4978,0.9956,0.9415427882683809,0.11088790678987545,0.10246365032420161,0.11991224581339711,0.010887906789875446,0.05845721173161912,0.052274124172134694,0.06532123964327162,0.008457211731619119
broad,91370211,random_5x5_d2,broad:91370211:random_5x5_d2,2925836500,5,5,2,625,2500,5000,5000,1.0,4997,0.9994,2.6201263381153694e-14,1.8041473142009146,0.5215487673861741,0.007736,0.03824,0.013489832985214889,2.697966597042978,0.00047821638048174496,7.748477206540922e-07,5.774693383793725e-07,-0.04410459035158032,-0.10641331175286675,-0.03350510105180327,-0.24286410686229956,-0.04186238525218243,0.06483474428887565,0.003420218476446027,-0.14967045930591283,0.0004500994810758015,-3.994725808742062e-07,6.398876026711776e-07,-0.04183350055147991,0.06701020210360654,5000,1.0,0.9448,0.11,0.10162486267378054,0.11897394484336399,0.009999999999999995,0.0552,0.049204713358980225,0.061878234291342586,0.005199999999999996,5000,1.0,0.9448,936.428016395547,0.1096,0.10123898331972772,0.11856043835897284,0.009599999999999997,0.0552,0.049204713358980225,0.061878234291342586,0.005199999999999996,5000,1.0,0.9452,240.07340642937788,0.1076,0.09931013399186059,0.11649235849462022,0.007599999999999996,0.0548,0.04882660544300011,0.06145695636887875,0.004799999999999999,4997,0.9994,0.9455673404042425,0.10786471883129878,0.09956298065993932,0.11676890422965194,0.007864718831298773,0.05443265959575745,0.04847776366832568,0.0610720917573824,0.004432659595757449
broad,47628903,random_2x2_d0,broad:47628903:random_2x2_d0,880721896,2,2,0,400,400,5000,5000,1.0,4910,0.982,-3.064215547965432e-14,55.61254967103575,47.87988780908242,0.0,0.0,0.005565250059589744,1.1130500119179487,0.00028538457505608615,6.45239818807381e-08,3.713868831817097e-08,0.008792625755908662,-0.0007874504495367856,-0.0008873340290705886,-0.004593151809654695,0.0006341363483030303,0.00297966622817801,0.002956897608156525,-2.9077573312494516,0.0002885899153867693,3.583037741546523e-09,8.700392770909525e-09,0.0007308523647688366,0.0017746680581411773,5000,1.0,0.9628,0.0848,0.0773933274635884,0.09284417223158703,0.015200000000000005,0.0372,0.032299593797888555,0.04281099112245631,0.012800000000000006,5000,1.0,0.9632,772.4259344870532,0.0848,0.0773933274635884,0.09284417223158703,0.015200000000000005,0.0368,0.031927002221443804,0.04238419686045712,0.013200000000000003,5000,1.0,0.97,27.688036889376413,0.074,0.06706667162218818,0.08158741043500048,0.02600000000000001,0.03,0.025620533254951595,0.035101106573402104,0.020000000000000004,4910,0.982,0.9474541751527495,0.10162932790224033,0.09348661409173893,0.11039490451572807,0.001629327902240324,0.05254582484725051,0.046647248909312364,0.05914400690899285,0.002545824847250508
broad,47628903,random_2x2_d5,broad:47628903:random_2x2_d5,1776696523,2,2,5,120,480,5000,5000,1.0,4997,0.9994,2.6201263381153694e-14,2.5883814030833783,47.47770771275141,0.01695,0.0,0.005781500018201768,1.1563000036403537,0.0032063392471572633,4.149741387683441e-05,2.873728124191861e-05,-0.10849706493823137,-0.4614000852364804,-0.08985135237913519,-0.48203891317357356,0.06168091994374506,0.17401736806860824,0.011230880242928471,-25.416657680118778,0.00317738320597328,1.0221301209928018e-05,3.218540715708767e-05,0.05706920110123754,0.17970270475827038,5000,1.0,0.9318,0.119,0.11031637850955724,0.12826861037257625,0.01899999999999999,0.0682,0.06153889799219847,0.07552408940755287,0.018199999999999994,5000,1.0,0.9328,170.7602099741491,0.1174,0.1087699662820886,0.1266174792462691,0.0174,0.0672,0.060587252460472134,0.07447727034316931,0.017199999999999993,5000,1.0,0.941,46.464034233684494,0.1086,0.10027444396247197,0.11752651312011873,0.008599999999999997,0.059,0.052801227987900407,0.06587588512763998,0.008999999999999994,4997,0.9994,0.945167100260156,0.09765859515709426,0.08973436840678298,0.10620094905712274,0.0023414048429057505,0.054832899739843906,0.048856006044118425,0.06149371477083222,0.004832899739843903
broad,47628903,random_2x5_d5,broad:47628903:random_2x5_d5,1229915039,2,5,5,120,480,5000,5000,1.0,4978,0.9956,-8.881784197001252e-15,0.43385068168892027,4.9016085709188495,0.08972,0.0007,0.007611416047438979,1.5222832094877958,0.0023741220806851766,2.0142405847298288e-05,8.214591134992325e-06,-0.011648137163630836,-0.06908531982937817,-0.05287020519005259,-0.3896629467924319,-0.03474540220772871,0.11335606375809029,0.006783233576450732,-2.530804311133067,0.002299380892178866,-7.98739393778919e-06,1.1658894398709877e-05,-0.07244171565211638,0.10574041038010518,5000,1.0,0.9354,0.125,0.11611999425786466,0.13445578220092813,0.024999999999999994,0.0646,0.058115054348139225,0.07175346050561653,0.014600000000000002,5000,1.0,0.9368,199.0310146287096,0.1234,0.11457167277859305,0.13280656032642393,0.02339999999999999,0.0632,0.05678516000428789,0.07028550441491403,0.013200000000000003,5000,1.0,0.9408,73.12811969012057,0.1196,0.11089641794735441,0.128887649692445,0.019599999999999992,0.0592,0.052990735279565715,0.06608607075519664,0.0092,4978,0.9956,0.9445560466050623,0.1124949779027722,0.10401454237755785,0.12157301758600846,0.012494977902772195,0.055443953394937726,0.049422821977448274,0.06215067216426883,0.005443953394937723
broad,47628903,random_4x6_d5,broad:47628903:random_4x6_d5,1124049113,4,6,5,240,960,5000,5000,1.0,4973,0.9946,-4.440892098500626e-16,0.47382305965782895,7.948818403633446,0.08753333333333334,0.0,0.012889000005088747,2.5778000010177493,0.0015537383666740091,9.379566389639887e-06,4.881993289607521e-06,0.02782911781152221,-0.11214848550763475,-0.0586152244344474,-0.38731536158942126,-0.028745756080687537,0.10919612105228449,0.007011443719752031,-3.6465445013102418,0.001342656713659302,-1.7526304243684682e-06,5.7675040685212685e-06,-0.0356240149827368,0.1172304488688948,5000,1.0,0.9342,0.1254,0.11650715137061403,0.1348680109266228,0.025400000000000006,0.0658,0.05925568920703122,0.07301098316205637,0.015799999999999995,5000,1.0,0.9346,378.9650802862392,0.1244,0.11553931594799563,0.13383738175313126,0.02439999999999999,0.0654,0.058875404352604514,0.07259188217803915,0.015399999999999997,5000,1.0,0.9374,86.53465405273991,0.1222,0.11341075757583892,0.13156931801384622,0.022199999999999998,0.0626,0.05621549083520565,0.06965609482633033,0.0126,4973,0.9946,0.9330384073999598,0.12266237683490851,0.11383495286800326,0.1320723095889153,0.0226623768349085,0.06696159260004021,0.06034341547729619,0.07424826568496026,0.01696159260004021
broad,47628903,random_5x5_d2,broad:47628903:random_5x5_d2,373601679,5,5,2,625,2500,5000,5000,1.0,4993,0.9986,2.4424906541753444e-15,0.9138244005019718,0.04124795167604528,0.035768,0.106424,0.013640917022712529,2.7281834045425057,0.0005112272184777469,1.0298245496639625e-06,6.585941054117981e-07,-0.014597609583119737,-0.0907188906814491,-0.03498081650657131,-0.24098520409128163,-0.027752364062252732,0.07113584447266694,0.004372467703309043,-0.3257408628836207,0.0004747174552088019,-3.2167510412452335e-07,7.236236283438935e-07,-0.03110030505185377,0.06996163301314262,5000,1.0,0.9394,0.1104,0.10201077811674306,0.11938741523884544,0.010399999999999993,0.0606,0.05431786826473538,0.06755678820458082,0.010599999999999998,5000,1.0,0.9396,984.3375267660763,0.1094,0.10104605723003103,0.11835367152944758,0.009399999999999992,0.0604,0.05412821616515825,0.06734674738493598,0.0104,5000,1.0,0.9406,206.12319496862037,0.1082,0.099888692291972,0.11711287895217473,0.008199999999999999,0.0594,0.05318026355064123,0.0662962354033431,0.009399999999999999,4993,0.9986,0.945123172441418,0.10855197276186661,0.10022250044384706,0.11748331787872099,0.008551972761866602,0.05487682755858202,0.048895261969362974,0.06154279442455239,0.004876827558582014
