stage,population_seed,scenario_id,scenario_key,replicates,base_valid_n,edgeworth_valid_n,invalid_n,invalid_rate,invalid_raw_cdf_below_zero_n,invalid_raw_cdf_above_one_n,invalid_nonpositive_density_n,invalid_nonfinite_n,invalid_median_abs_statistic,invalid_normal_rejection_rate_05,invalid_normal_rejection_rate_10,candidate_valid_only_fpr_10,candidate_invalid_nonreject_fpr_10,candidate_invalid_reject_fpr_10,candidate_normal_fallback_fpr_10,candidate_left_rejections_10,candidate_right_rejections_10,normal_left_rejections_10,normal_right_rejections_10,candidate_valid_only_fpr_05,candidate_invalid_nonreject_fpr_05,candidate_invalid_reject_fpr_05,candidate_normal_fallback_fpr_05,candidate_left_rejections_05,candidate_right_rejections_05,normal_left_rejections_05,normal_right_rejections_05
broad,91370211,random_2x2_d0,broad:91370211:random_2x2_d0,5000,5000,4908,92,0.0184,46,46,31,0,2.463205946223197,0.9782608695652174,1.0,0.11409942950285248,0.112,0.1304,0.1304,278,282,236,235,0.0584759576202119,0.0574,0.0758,0.0754,140,147,104,114
broad,91370211,random_2x2_d1,broad:91370211:random_2x2_d1,5000,5000,4958,42,0.0084,3,39,15,0,2.4731037494757233,1.0,1.0,0.10024203307785397,0.0994,0.1078,0.1078,250,247,313,181,0.05647438483259379,0.056,0.0644,0.0644,142,138,179,92
broad,91370211,random_2x2_d2,broad:91370211:random_2x2_d2,5000,5000,4974,26,0.0052,0,26,5,0,2.635205375052813,1.0,1.0,0.09609971853638923,0.0956,0.1008,0.1008,227,251,352,193,0.04845195014073181,0.0482,0.0534,0.0534,106,135,217,87
broad,91370211,random_2x2_d3,broad:91370211:random_2x2_d3,5000,5000,4978,22,0.0044,0,22,2,0,2.621621676297061,1.0,1.0,0.11370028123744476,0.1132,0.1176,0.1176,269,297,327,230,0.0590598633989554,0.0588,0.0632,0.0632,144,150,187,98
broad,91370211,random_2x2_d4,broad:91370211:random_2x2_d4,5000,5000,4931,69,0.0138,2,67,15,0,2.2129932969372494,0.8985507246376812,1.0,0.09551815047657676,0.0942,0.108,0.108,241,230,411,157,0.050294058000405595,0.0496,0.0634,0.062,129,119,264,66
broad,91370211,random_2x2_d5,broad:91370211:random_2x2_d5,5000,5000,4960,40,0.008,0,40,18,0,2.869796741747571,1.0,1.0,0.10665322580645162,0.1058,0.1138,0.1138,212,317,341,293,0.05705645161290323,0.0566,0.0646,0.0646,89,194,187,161
broad,91370211,random_2x5_d0,broad:91370211:random_2x5_d0,5000,5000,4990,10,0.002,6,4,5,0,3.215739033802532,1.0,1.0,0.10541082164328658,0.1052,0.1072,0.1072,271,255,248,238,0.05991983967935872,0.0598,0.0618,0.0618,150,149,122,123
broad,91370211,random_2x5_d1,broad:91370211:random_2x5_d1,5000,5000,4992,8,0.0016,0,8,1,0,2.8465523594919637,1.0,1.0,0.09154647435897435,0.0914,0.093,0.093,220,237,276,182,0.045072115384615384,0.045,0.0466,0.0466,104,121,141,85
broad,91370211,random_2x5_d2,broad:91370211:random_2x5_d2,5000,5000,4979,21,0.0042,0,21,6,0,3.011311006141021,1.0,1.0,0.10122514561156859,0.1008,0.105,0.105,221,283,316,248,0.05422775657762603,0.054,0.0582,0.0582,116,154,181,122
broad,91370211,random_2x5_d3,broad:91370211:random_2x5_d3,5000,5000,4996,4,0.0008,0,4,3,0,3.7102216712584686,1.0,1.0,0.10428342674139311,0.1042,0.105,0.105,265,256,258,245,0.05504403522818255,0.055,0.0558,0.0558,136,139,133,119
broad,91370211,random_2x5_d4,broad:91370211:random_2x5_d4,5000,5000,4952,48,0.0096,0,48,13,0,2.527813408101869,1.0,1.0,0.09733441033925687,0.0964,0.106,0.106,203,279,332,224,0.05290791599353797,0.0524,0.062,0.062,106,156,195,116
broad,91370211,random_2x5_d5,broad:91370211:random_2x5_d5,5000,5000,4950,50,0.01,0,50,20,0,2.6989492737848586,1.0,1.0,0.10545454545454545,0.1044,0.1144,0.1144,210,312,345,257,0.05232323232323232,0.0518,0.0618,0.0618,97,162,200,145
broad,91370211,random_3x3_d0,broad:91370211:random_3x3_d0,5000,5000,4987,13,0.0026,5,8,6,0,3.045025522936127,1.0,1.0,0.10206536996190094,0.1018,0.1044,0.1044,259,250,233,228,0.05654702225787046,0.0564,0.059,0.059,140,142,105,121
broad,91370211,random_3x3_d1,broad:91370211:random_3x3_d1,5000,5000,4982,18,0.0036,0,18,5,0,2.8263612167693055,1.0,1.0,0.09895624247290245,0.0986,0.1022,0.1022,228,265,298,213,0.05299076676033721,0.0528,0.0564,0.0564,119,145,177,90
broad,91370211,random_3x3_d2,broad:91370211:random_3x3_d2,5000,5000,4994,6,0.0012,0,6,1,0,3.1290534233658356,1.0,1.0,0.10312374849819783,0.103,0.1042,0.1042,230,285,324,239,0.053464156988386066,0.0534,0.0546,0.0546,107,160,174,110
broad,91370211,random_3x3_d3,broad:91370211:random_3x3_d3,5000,5000,4997,3,0.0006,0,3,2,0,3.4458532884146487,1.0,1.0,0.10366219731839103,0.1036,0.1042,0.1042,270,248,287,213,0.05303181909145487,0.053,0.0536,0.0536,140,125,150,95
broad,91370211,random_3x3_d4,broad:91370211:random_3x3_d4,5000,5000,4957,43,0.0086,0,43,9,0,2.4139250960416696,1.0,1.0,0.09824490619326205,0.0974,0.106,0.106,238,249,380,177,0.04740770627395602,0.047,0.0556,0.0556,115,120,223,84
broad,91370211,random_3x3_d5,broad:91370211:random_3x3_d5,5000,5000,4981,19,0.0038,0,19,6,0,2.9869440541958827,1.0,1.0,0.11724553302549688,0.1168,0.1206,0.1206,277,307,386,262,0.06404336478618751,0.0638,0.0676,0.0676,140,179,227,152
broad,91370211,random_3x7_d0,broad:91370211:random_3x7_d0,5000,5000,4998,2,0.0004,1,1,0,0,3.536396606708948,1.0,1.0,0.10004001600640255,0.1,0.1004,0.1004,249,251,234,237,0.051220488195278115,0.0512,0.0516,0.0516,131,125,118,119
broad,91370211,random_3x7_d1,broad:91370211:random_3x7_d1,5000,5000,4998,2,0.0004,0,2,0,0,3.000823228410237,1.0,1.0,0.10244097639055623,0.1024,0.1028,0.1028,241,271,271,229,0.052621048419367746,0.0526,0.053,0.053,118,145,151,120
broad,91370211,random_3x7_d2,broad:91370211:random_3x7_d2,5000,5000,4988,12,0.0024,0,12,3,0,3.1886610459820846,1.0,1.0,0.11046511627906977,0.1102,0.1126,0.1126,227,324,286,282,0.05513231756214916,0.055,0.0574,0.0574,88,187,143,146
broad,91370211,random_3x7_d3,broad:91370211:random_3x7_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.106,0.106,0.106,0.106,243,287,228,286,0.053,0.053,0.053,0.053,116,149,111,144
broad,91370211,random_3x7_d4,broad:91370211:random_3x7_d4,5000,5000,4974,26,0.0052,0,26,10,0,2.8322309264810945,1.0,1.0,0.10052271813429835,0.1,0.1052,0.1052,177,323,228,263,0.050864495375954964,0.0506,0.0558,0.0558,80,173,109,144
broad,91370211,random_3x7_d5,broad:91370211:random_3x7_d5,5000,5000,4983,17,0.0034,0,17,5,0,2.8990349136213163,1.0,1.0,0.10796708809953844,0.1076,0.111,0.111,271,267,392,220,0.05619104956853301,0.056,0.0594,0.0594,129,151,212,105
broad,91370211,random_4x6_d0,broad:91370211:random_4x6_d0,5000,5000,5000,0,0.0,0,0,0,0,,,,0.095,0.095,0.095,0.095,235,240,221,231,0.048,0.048,0.048,0.048,130,110,121,101
broad,91370211,random_4x6_d1,broad:91370211:random_4x6_d1,5000,5000,4999,1,0.0002,0,1,1,0,3.5512500999258996,1.0,1.0,0.10082016403280657,0.1008,0.101,0.101,238,266,276,224,0.04880976195239048,0.0488,0.049,0.049,117,127,151,98
broad,91370211,random_4x6_d2,broad:91370211:random_4x6_d2,5000,5000,4994,6,0.0012,0,6,5,0,3.477275547044484,1.0,1.0,0.10212254705646776,0.102,0.1032,0.1032,219,291,272,251,0.052062474969963954,0.052,0.0532,0.0532,104,156,143,126
broad,91370211,random_4x6_d3,broad:91370211:random_4x6_d3,5000,5000,5000,0,0.0,0,0,0,0,,,,0.1066,0.1066,0.1066,0.1066,246,287,235,285,0.0522,0.0522,0.0522,0.0522,112,149,106,143
broad,91370211,random_4x6_d4,broad:91370211:random_4x6_d4,5000,5000,4984,16,0.0032,0,16,1,0,2.728242807656228,1.0,1.0,0.09610754414125201,0.0958,0.099,0.099,215,264,285,214,0.050762439807383625,0.0506,0.0538,0.0538,100,153,141,109
broad,91370211,random_4x6_d5,broad:91370211:random_4x6_d5,5000,5000,4978,22,0.0044,0,22,11,0,2.99618444203227,1.0,1.0,0.11088790678987545,0.1104,0.1148,0.1148,206,346,275,283,0.05845721173161912,0.0582,0.0626,0.0626,96,195,147,140
broad,91370211,random_5x5_d0,broad:91370211:random_5x5_d0,5000,5000,4999,1,0.0002,0,1,0,0,3.5111001211560353,1.0,1.0,0.09721944388877776,0.0972,0.0974,0.0974,251,235,238,225,0.05041008201640328,0.0504,0.0506,0.0506,130,122,117,111
