stage,method,population_pairs,table_pairs,aggregate_valid_rate,minimum_scenario_valid_rate,mean_coverage_95,mean_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,paired_gain_vs_wald_normal_05,paired_gain_vs_wald_normal_05_low,paired_gain_vs_wald_normal_05_high,paired_gain_vs_welch_n_minus_1_05,paired_gain_vs_welch_n_minus_1_05_low,paired_gain_vs_welch_n_minus_1_05_high,paired_gain_vs_if_satterthwaite_05,paired_gain_vs_if_satterthwaite_05_low,paired_gain_vs_if_satterthwaite_05_high
broad,wald_normal,144,720000,1.0,1.0,0.9487527777777777,0.10098750000000001,0.007534722222222222,0.0848,0.1296,0.05124722222222222,0.005497222222222222,0.0372,0.0758,,,,,,,,,
broad,welch_n_minus_1,144,720000,1.0,1.0,0.9490194444444443,0.10068194444444445,0.007343055555555555,0.0848,0.1278,0.05098055555555556,0.005311111111111111,0.0368,0.0738,,,,,,,,,
broad,if_satterthwaite,144,720000,1.0,1.0,0.9508499999999999,0.09859722222222222,0.007400000000000002,0.074,0.1226,0.04915,0.005141666666666668,0.03,0.0694,,,,,,,,,
broad,joint_edgeworth,144,720000,0.9980458333333333,0.9816,0.9485190031044404,0.10085985613963763,0.0059237282729003166,0.0862,0.12266237683490851,0.05148099689555961,0.004277628906534148,0.0408,0.06696159260004021,0.0012195933156880746,0.000563827366649298,0.0019165370375924706,0.001033482204576963,0.00043545736300021196,0.0016687695775290763,0.0008640377601325192,0.0003129862391879247,0.0014283067717985511
hard,wald_normal,12,240000,1.0,1.0,0.9377041666666667,0.11582083333333333,0.015820833333333326,0.1052,0.12935,0.062295833333333335,0.01229583333333333,0.0543,0.07185,,,,,,,,,
hard,welch_n_minus_1,12,240000,1.0,1.0,0.9386999999999999,0.11470833333333334,0.014708333333333332,0.1043,0.12775,0.0613,0.011299999999999996,0.05335,0.0701,,,,,,,,,
hard,if_satterthwaite,12,240000,1.0,1.0,0.9418958333333333,0.11143750000000001,0.011437499999999995,0.10135,0.12375,0.05810416666666666,0.008104166666666664,0.0516,0.0666,,,,,,,,,
hard,joint_edgeworth,12,240000,0.9957458333333333,0.9902,0.9431904906712153,0.1071314973713036,0.007336843092706692,0.0987679256715815,0.11695935775213247,0.05680950932878461,0.0068095093287846116,0.051553636865619194,0.06442548921224285,0.005486324004548721,0.0027992428546076164,0.008418577863068504,0.004490490671215387,0.002040315620484354,0.007143739665744046,0.0012946573378820544,-0.00040135817660741266,0.00319765717259099
strong,wald_normal,144,720000,1.0,1.0,0.9498527777777777,0.09981527777777778,0.007779166666666667,0.0792,0.135,0.05014722222222222,0.005358333333333334,0.0394,0.0796,,,,,,,,,
strong,welch_n_minus_1,144,720000,1.0,1.0,0.9501541666666667,0.09947361111111112,0.007604166666666668,0.079,0.1336,0.04984583333333333,0.0051958333333333336,0.0392,0.0776,,,,,,,,,
strong,if_satterthwaite,144,720000,1.0,1.0,0.9519694444444444,0.09758611111111111,0.007997222222222225,0.069,0.1292,0.048030555555555556,0.005580555555555557,0.0318,0.0704,,,,,,,,,
strong,joint_edgeworth,144,720000,0.9981069444444445,0.9818,0.949285128573481,0.09980418225889258,0.005977703608599416,0.084,0.12220656331789813,0.05071487142651905,0.004166839804397491,0.041,0.06570223025919228,0.0011914935289358429,0.0005782727871802887,0.0018183513229419613,0.001028993528935843,0.00045728158266901105,0.0016075107088346404,0.0014137157511580655,0.0008675423012265713,0.0019729098605987634
stress,wald_normal,26,260000,0.9998730769230769,0.9987,0.9345761229268554,0.11461920593325349,0.04165771714366959,0.03721488595438175,0.1792,0.06542387707314459,0.030450420282648712,0.0146,0.1137,,,,,,,,,
stress,welch_n_minus_1,26,260000,0.9998730769230769,0.9987,0.938130665260507,0.11069160444218179,0.04032378017320282,0.032913165266106444,0.1712,0.061869334739493,0.028884511414353147,0.0125,0.1064,,,,,,,,,
stress,if_satterthwaite,26,260000,0.9998730769230769,0.9987,0.9477510142713553,0.09914027760437533,0.03702895316485544,0.0273109243697479,0.1448,0.05224898572864455,0.023251014271355452,0.0091,0.0856,,,,,,,,,
stress,joint_edgeworth,26,260000,0.9711615384615384,0.9248,0.9367020468747942,0.11317433028308743,0.015340856095235555,0.08359721342621912,0.13978826189742008,0.06329795312520582,0.013660889745267198,0.04528182393920203,0.08716209271250899,0.01678953053738151,0.013326079991322444,0.02025920396862758,0.01522362166908595,0.011863758045801883,0.01879420084203481,0.009590124526088248,0.004176002566777852,0.015393550571071373
broad_balanced_design0,wald_normal,24,120000,1.0,1.0,0.9553750000000001,0.09216666666666666,0.007866666666666673,0.0848,0.1004,0.044625,0.005558333333333336,0.0372,0.0522,,,,,,,,,
broad_balanced_design0,welch_n_minus_1,24,120000,1.0,1.0,0.9554416666666666,0.092125,0.007891666666666674,0.0848,0.1002,0.04455833333333333,0.005625000000000002,0.0368,0.0522,,,,,,,,,
broad_balanced_design0,if_satterthwaite,24,120000,1.0,1.0,0.9573,0.08970833333333333,0.010291666666666671,0.074,0.0988,0.042699999999999995,0.007350000000000002,0.03,0.0506,,,,,,,,,
broad_balanced_design0,joint_edgeworth,24,120000,0.9978833333333333,0.9816,0.9507741728310566,0.0969107872176153,0.006791006594824068,0.0876,0.11432589913602571,0.049225827168943415,0.004841707011578611,0.0418,0.05991983967935872,0.0007166263217547256,-0.0006599568131823529,0.00210856826840794,0.0007832929884213918,-0.0006269989095695772,0.0021719848496583923,0.0025082929884213917,0.0008112140499304214,0.004347458471370401
