scenario_id,simulation_seed,method,replicates,valid_n,valid_rate,true_delta,power_05,coverage_95,median_df
curve_effect_d02_n300,2828522758,wald_normal,10000,10000,1.0,-0.01999999999999985,0.0725,0.9514,
curve_effect_d02_n300,2828522758,welch_n_minus_1,10000,10000,1.0,-0.01999999999999985,0.0719,0.9525,534.8956523498257
curve_effect_d02_n300,2828522758,if_satterthwaite,10000,10000,1.0,-0.01999999999999985,0.0653,0.9594,38.69865567613836
curve_effect_d02_n300,2828522758,joint_edgeworth,10000,9911,0.9911,-0.01999999999999985,0.09605488850771869,0.9491525423728814,
curve_effect_d05_n300,3577157481,wald_normal,10000,10000,1.0,-0.050000000000000266,0.2755,0.9478,
curve_effect_d05_n300,3577157481,welch_n_minus_1,10000,10000,1.0,-0.050000000000000266,0.2736,0.948,493.8416231311112
curve_effect_d05_n300,3577157481,if_satterthwaite,10000,10000,1.0,-0.050000000000000266,0.2634,0.9518,61.27675280801368
curve_effect_d05_n300,3577157481,joint_edgeworth,10000,9760,0.976,-0.050000000000000266,0.3094262295081967,0.9464946494649465,
curve_effect_d10_n300,2179989396,wald_normal,10000,10000,1.0,-0.09999999999999992,0.7386,0.9428,
curve_effect_d10_n300,2179989396,welch_n_minus_1,10000,10000,1.0,-0.09999999999999992,0.7373,0.9437,457.4198749213832
curve_effect_d10_n300,2179989396,if_satterthwaite,10000,10000,1.0,-0.09999999999999992,0.7307,0.946,121.31982419123884
curve_effect_d10_n300,2179989396,joint_edgeworth,10000,9678,0.9678,-0.09999999999999992,0.7526348419094855,0.9484948494849484,
curve_sample_d05_n150,3685655520,wald_normal,10000,10000,1.0,-0.050000000000000266,0.1575,0.9424,
curve_sample_d05_n150,3685655520,welch_n_minus_1,10000,10000,1.0,-0.050000000000000266,0.1547,0.9438,250.49825554998063
curve_sample_d05_n150,3685655520,if_satterthwaite,10000,10000,1.0,-0.050000000000000266,0.1424,0.9528,34.47651999110306
curve_sample_d05_n150,3685655520,joint_edgeworth,10000,9856,0.9856,-0.050000000000000266,0.18577516233766234,0.9478706307754118,
curve_sample_d05_n600,3156607142,wald_normal,10000,10000,1.0,-0.050000000000000266,0.5217,0.9479,
curve_sample_d05_n600,3156607142,welch_n_minus_1,10000,10000,1.0,-0.050000000000000266,0.5202,0.9484,978.9563637840056
curve_sample_d05_n600,3156607142,if_satterthwaite,10000,10000,1.0,-0.050000000000000266,0.5104,0.9513,114.31658071591015
curve_sample_d05_n600,3156607142,joint_edgeworth,10000,9425,0.9425,-0.050000000000000266,0.5365517241379311,0.9482,
