population_seed,scenario_id,rows,columns,repetitions,median_wald_normal_ms,median_welch_n_minus_1_ms,median_if_satterthwaite_ms,median_joint_edgeworth_ms,joint_over_normal
91370211,random_2x2_d5,2,2,200,0.12156250886619091,0.1308130449615419,0.16525003593415022,0.2657709992490709,2.186290836935724
91370211,random_2x5_d5,2,5,200,0.12287497520446777,0.13247900642454624,0.1672710059210658,0.26689545484259725,2.1720895926813
91370211,random_3x7_d5,3,7,200,0.12300006346777081,0.13239594409242272,0.1664995215833187,0.26693748077377677,2.1702223010943507
91370211,random_4x6_d5,4,6,200,0.12212496949359775,0.1314160181209445,0.1663330476731062,0.26595802046358585,2.177753014526062
91370211,random_5x5_d5,5,5,200,0.12250000145286322,0.13195851352065802,0.16639597015455365,0.265478971414268,2.1671752511482354
91370211,random_5x10_d5,5,10,200,0.1230000052601099,0.13197946827858686,0.1669584889896214,0.2674584975466132,2.1744592366562494
47628903,random_2x2_d5,2,2,200,0.12135400902479887,0.13099948409944773,0.16479205805808306,0.2645624917931855,2.180088601268391
47628903,random_2x5_d5,2,5,200,0.12170849367976189,0.13122952077537775,0.1645419979467988,0.26431254809722304,2.171685312223808
47628903,random_3x7_d5,3,7,200,0.12143747881054878,0.1305209589190781,0.16510393470525742,0.2636455465108156,2.1710393619264914
47628903,random_4x6_d5,4,6,200,0.12104149209335446,0.13018748722970486,0.16424997011199594,0.26314600836485624,2.1740149085563343
47628903,random_5x5_d5,5,5,200,0.1217085518874228,0.1309795188717544,0.16506301471963525,0.2643539337441325,2.172024312545046
47628903,random_5x10_d5,5,10,200,0.12124993372708559,0.12995849829167128,0.16364548355340958,0.2620830200612545,2.161510625244232
