stage,population_seed,scenario_id,scenario_key,simulation_seed,rows,columns,design_index,n_p,n_q,replicates,base_valid_n,base_valid_rate,edgeworth_valid_n,edgeworth_valid_rate,true_delta,minimum_joint_expected_p,minimum_joint_expected_q,mean_zero_fraction_p,mean_zero_fraction_q,batch_seconds,batch_microseconds_per_pair,empirical_delta_variance,empirical_delta_third_cumulant,empirical_delta_variance_covariance,empirical_mean_statistic,empirical_statistic_skewness,population_predicted_mean_statistic,population_predicted_statistic_skewness,median_plugin_standardized_third_cumulant,median_plugin_standardized_variance_covariance,median_absolute_edgeworth_correction,minimum_edgeworth_density_factor,population_first_order_variance,population_numerator_third_cumulant,population_numerator_variance_covariance,population_standardized_third_cumulant,population_standardized_variance_covariance,wald_normal_valid_n,wald_normal_valid_rate,wald_normal_coverage_95,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_error_10,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_error_05,welch_n_minus_1_valid_n,welch_n_minus_1_valid_rate,welch_n_minus_1_coverage_95,welch_n_minus_1_median_df,welch_n_minus_1_fpr_10,welch_n_minus_1_fpr_10_low,welch_n_minus_1_fpr_10_high,welch_n_minus_1_error_10,welch_n_minus_1_fpr_05,welch_n_minus_1_fpr_05_low,welch_n_minus_1_fpr_05_high,welch_n_minus_1_error_05,if_satterthwaite_valid_n,if_satterthwaite_valid_rate,if_satterthwaite_coverage_95,if_satterthwaite_median_df,if_satterthwaite_fpr_10,if_satterthwaite_fpr_10_low,if_satterthwaite_fpr_10_high,if_satterthwaite_error_10,if_satterthwaite_fpr_05,if_satterthwaite_fpr_05_low,if_satterthwaite_fpr_05_high,if_satterthwaite_error_05,joint_edgeworth_valid_n,joint_edgeworth_valid_rate,joint_edgeworth_coverage_95,joint_edgeworth_fpr_10,joint_edgeworth_fpr_10_low,joint_edgeworth_fpr_10_high,joint_edgeworth_error_10,joint_edgeworth_fpr_05,joint_edgeworth_fpr_05_low,joint_edgeworth_fpr_05_high,joint_edgeworth_error_05
broad,91370211,random_2x2_d0,broad:91370211:random_2x2_d0,2433881051,2,2,0,400,400,5000,5000,1.0,4908,0.9816,-3.3306690738754696e-16,69.43751048436113,70.95804429220229,0.0,0.0,0.005780792096629739,1.1561584193259478,0.00030128250815255394,3.380752236508432e-08,1.7443962732004249e-09,0.027431545694570843,-0.007008848480729383,-0.00016547224991539654,-0.0007304323411169651,-8.555477796809461e-05,0.00266620421894447,0.0030919004815260064,-3.0222964324648727,0.0002910283156819884,1.3027726023996762e-09,1.6430774542450273e-09,0.000262401158375414,0.0003309444998307931,5000,1.0,0.9564,0.0942,0.08641201089382725,0.10261105600478113,0.0058,0.0436,0.03828158743789399,0.049619170897554146,0.006400000000000003,5000,1.0,0.9566,771.9828803704189,0.094,0.08621985671290236,0.10240351726648403,0.006000000000000005,0.0434,0.0380941093753608,0.04940695604086537,0.006600000000000002,5000,1.0,0.9656,27.32169995420316,0.0834,0.07605243700016218,0.09138721226045943,0.016600000000000004,0.0344,0.029695007439577942,0.03981987661165925,0.015600000000000003,4908,0.9816,0.9415240423797882,0.11409942950285248,0.1055049190025586,0.12329755115911517,0.014099429502852479,0.0584759576202119,0.052250275531444165,0.06539225500728187,0.008475957620211895
broad,91370211,random_2x2_d1,broad:91370211:random_2x2_d1,3931060599,2,2,1,200,400,5000,5000,1.0,4958,0.9916,1.1102230246251565e-16,29.943463467898145,48.095870278823895,0.0,0.0,0.005550167057663202,1.1100334115326405,0.0010038605904945563,6.362339166776998e-06,4.129147973628846e-06,-0.06476420290150642,-0.15861131851918,-0.06809186362086413,-0.4321100647946009,-0.023716425136019938,0.12926052368118132,0.007969898787269808,-0.926393977914127,0.0009774690877810326,-7.199614523449147e-07,4.161786183233023e-06,-0.023558883069416118,0.13618372724172825,5000,1.0,0.9458,0.0988,0.09083455407275795,0.10738144996795587,0.0012000000000000066,0.0542,0.04825961924472352,0.06082486380948941,0.004199999999999995,5000,1.0,0.9464,397.6628211369368,0.0976,0.08968030254353887,0.10613754398184314,0.0023999999999999994,0.0536,0.04769284678695338,0.06019255750959362,0.003599999999999999,5000,1.0,0.952,36.75585853905402,0.0894,0.08180344452007886,0.09762699231720202,0.010600000000000012,0.048,0.04241393141870799,0.054280071139623645,0.0020000000000000018,4958,0.9916,0.9435256151674062,0.10024203307785397,0.09218948852951867,0.10891356304961342,0.000242033077853962,0.05647438483259379,0.05038571847662989,0.06324980645904693,0.006474384832593785
broad,91370211,random_2x2_d2,broad:91370211:random_2x2_d2,2887645354,2,2,2,120,480,5000,5000,1.0,4974,0.9948,-4.118927421359331e-14,12.75840014776934,46.31051889142494,0.0,0.0,0.005486082984134555,1.097216596826911,0.0026673489864264856,4.2596493392889916e-05,2.1359061327058784e-05,-0.10839544135358326,-0.19176978355335095,-0.08177669871713514,-0.5682850495225629,-0.07731162070801867,0.16198809887349186,0.008419597031258025,-1.8783344664919737,0.002653084983074582,-1.0607854556341788e-05,2.2350452088649212e-05,-0.07762485721975201,0.16355339743427028,5000,1.0,0.9392,0.109,0.10066023233412806,0.11794011058690658,0.008999999999999994,0.0608,0.054507540668491145,0.06776680872004703,0.010799999999999997,5000,1.0,0.9404,185.87870710431682,0.1072,0.09892447485888445,0.1160786317891524,0.007199999999999998,0.0596,0.0533698127022566,0.06650637917094972,0.009599999999999997,5000,1.0,0.9464,51.72215983179315,0.102,0.09391437231340359,0.11069671843486185,0.001999999999999988,0.0536,0.04769284678695338,0.06019255750959362,0.003599999999999999,4974,0.9948,0.9515480498592682,0.09609971853638923,0.08821802808952087,0.10460479818186688,0.00390028146361078,0.04845195014073181,0.04282540848579767,0.05477542168121922,0.001548049859268194
broad,91370211,random_2x2_d3,broad:91370211:random_2x2_d3,2056510589,2,2,3,800,800,5000,5000,1.0,4978,0.9956,-1.7763568394002505e-15,60.509235809202465,1.770109636661186,0.0,0.04385,0.005541792022995651,1.1083584045991302,0.00013434503334013148,2.0670473264217393e-07,1.6150216842079984e-07,-0.05471095806027937,-0.220248385549393,-0.049435116979872955,-0.2712183291853284,0.021898439194543092,0.10241111961534494,0.006717157089029598,-1.051571363363347,0.00012953474709666708,3.7435419662536216e-08,1.4576222336654723e-07,0.025392372693909343,0.09887023395974591,5000,1.0,0.943,0.1114,0.10297572349198636,0.120420934459712,0.011399999999999993,0.057,0.05090733129526275,0.06377285262805785,0.006999999999999999,5000,1.0,0.9432,1510.5304382499423,0.1112,0.1027827165852735,0.1202142484472029,0.011199999999999988,0.0568,0.05071806154659551,0.06356242945750312,0.0068000000000000005,5000,1.0,0.9464,56.008858211831516,0.106,0.09776772219825865,0.11483722693444633,0.0059999999999999915,0.0536,0.04769284678695338,0.06019255750959362,0.003599999999999999,4978,0.9956,0.9409401366010446,0.11370028123744476,0.10517808405072063,0.12281822378232138,0.013700281237444753,0.0590598633989554,0.05284497916595704,0.06595475858418713,0.009059863398955398
broad,91370211,random_2x2_d4,broad:91370211:random_2x2_d4,684203045,2,2,4,120,240,5000,5000,1.0,4931,0.9862,-1.1102230246251565e-16,14.32484916583255,0.7032315539694121,0.0,0.12185,0.005760750034824014,1.1521500069648027,0.0014695300538476778,2.4644819326049382e-05,1.4042779263011277e-05,-0.16338996436649592,-0.33956982142121506,-0.1294604433640364,-0.8071487124488993,-0.05105717976017586,0.25467393266782135,0.01544649266071077,-2.0664262441350885,0.0014650749364129392,-1.7039782172101211e-06,1.4519673273852217e-05,-0.030386052264680986,0.2589208867280728,5000,1.0,0.934,0.1136,0.10509938060752584,0.12269389945561428,0.013600000000000001,0.066,0.05944585882604755,0.07322050646226204,0.016,5000,1.0,0.9348,193.97030056037062,0.1128,0.10432701914831807,0.12186748923793414,0.012799999999999992,0.0652,0.058685289271312426,0.07238230434010923,0.015199999999999991,5000,1.0,0.9538,17.82295364010126,0.0954,0.08756516763547541,0.10385605677846481,0.004600000000000007,0.0462,0.0407216699236964,0.05237509636163745,0.0038000000000000048,4931,0.9862,0.9497059419995943,0.09551815047657676,0.08762620645349463,0.10403982105992564,0.004481849523423245,0.050294058000405595,0.04453640808154538,0.05675184261337035,0.00029405800040559205
broad,91370211,random_2x2_d5,broad:91370211:random_2x2_d5,506841374,2,2,5,120,480,5000,5000,1.0,4960,0.992,1.3322676295501878e-15,2.857559083748101,10.712943497417276,0.0148,0.0,0.005797749967314303,1.1595499934628606,0.0022858391011527555,2.6117616016055156e-05,9.450791684534489e-06,-0.05184245949214984,-0.019243864087334264,-0.060541899556284244,-0.4820203422342817,-0.11519205981353928,0.11658104729941163,0.007805850315959841,-1.7800359240931067,0.0022231883495110964,-1.2449940766613142e-05,1.2692595089235476e-05,-0.11876894489657626,0.12108379911256849,5000,1.0,0.9304,0.1268,0.1178624402120862,0.1363105725197044,0.02679999999999999,0.0696,0.06287192325712557,0.0769889145771796,0.019599999999999992,5000,1.0,0.9312,184.43880457136697,0.1252,0.11631356900075204,0.13466190037726275,0.0252,0.0688,0.06211009257017858,0.07615197358723869,0.018799999999999997,5000,1.0,0.9356,82.10999967268802,0.1204,0.11166991704656731,0.12971292227012002,0.020399999999999988,0.0644,0.0579250130777428,0.07154380885679097,0.014399999999999996,4960,0.992,0.9429435483870968,0.10665322580645162,0.09836534290580622,0.11554992163871562,0.0066532258064516125,0.05705645161290323,0.0509375472778914,0.06386093360591924,0.0070564516129032265
broad,91370211,random_2x5_d0,broad:91370211:random_2x5_d0,17842421,2,5,0,1000,1000,5000,5000,1.0,4990,0.998,1.9539925233402755e-14,65.4831790279414,65.46468921559429,0.0,0.0,0.011847791029140353,2.3695582058280706,0.00012204142185293929,1.0743753819718197e-08,-2.273396055312913e-09,-0.017300147490403695,0.022567511325072575,0.0012477464025862695,0.006446109640485985,-0.0007781612991669745,-0.002841582017325,0.0011362735540708557,-2.6148353920378216,0.00011542257762237247,-1.2901002584253052e-09,-3.0945141666268254e-09,-0.0010403687750316323,-0.002495492805172539,5000,1.0,0.951,0.0972,0.08929563628725427,0.10572282439968374,0.002800000000000011,0.049,0.043355071700947344,0.05533739545349418,0.0010000000000000009,5000,1.0,0.9512,1972.7316733945984,0.0972,0.08929563628725427,0.10572282439968374,0.002800000000000011,0.0488,0.043166788231898734,0.05512598600332083,0.0011999999999999997,5000,1.0,0.954,72.32833552042652,0.093,0.08525925317287317,0.10136565621040333,0.007000000000000006,0.046,0.040533787335377866,0.052163286030734,0.0040000000000000036,4990,0.998,0.9400801603206412,0.10541082164328658,0.09719197772923288,0.11423673251861569,0.005410821643286573,0.05991983967935872,0.05366705218386615,0.06684968103313514,0.009919839679358715
broad,91370211,random_2x5_d1,broad:91370211:random_2x5_d1,4246494485,2,5,1,500,1000,5000,5000,1.0,4992,0.9984,7.083222897108499e-14,15.919350621746723,21.329573259631076,0.0,0.0,0.007271624985150993,1.4543249970301986,0.00036382012945867614,8.519806162271187e-07,5.570936692987893e-07,-0.042156705726456155,-0.1014237061672375,-0.04122407088090939,-0.2668718377412569,-0.020466924962131657,0.07949539690607657,0.004586891845596059,-0.2144464115555782,0.0003666322172130769,-1.3708522125097472e-07,5.787977173490435e-07,-0.01952741245580058,0.08244814176181878,5000,1.0,0.9548,0.0916,0.08391488273466795,0.0999121762140547,0.008400000000000005,0.0452,0.03978255839785056,0.05131574329137339,0.004800000000000006,5000,1.0,0.9548,981.4161725479398,0.0914,0.08372287557926333,0.09970449045023735,0.00860000000000001,0.0452,0.03978255839785056,0.05131574329137339,0.004800000000000006,5000,1.0,0.9566,107.82074517417517,0.0888,0.08122784547465063,0.09700351260496436,0.011200000000000002,0.0434,0.0380941093753608,0.04940695604086537,0.006600000000000002,4992,0.9984,0.9549278846153846,0.09154647435897435,0.08385758734882325,0.09986350676238927,0.008453525641025653,0.045072115384615384,0.03965844857528561,0.05118539876486333,0.004927884615384619
broad,91370211,random_2x5_d2,broad:91370211:random_2x5_d2,118363930,2,5,2,250,1000,5000,5000,1.0,4979,0.9958,-1.7763568394002505e-14,3.3855730401091098,0.9543726678706969,0.00306,0.03878,0.007543458021245897,1.5086916042491794,0.0011955148597062937,8.582997351069057e-06,3.5815251049754486e-06,-0.05053361842112311,-0.07267361445326748,-0.05057156957483848,-0.36854525326483806,-0.06725373348090688,0.09687294918936452,0.0048943380291104205,-0.8890331530030937,0.001148014062925849,-2.5328381071064085e-06,3.934207307655858e-06,-0.06511583581580722,0.10114313914967696,5000,1.0,0.9394,0.1128,0.10432701914831807,0.12186748923793414,0.012799999999999992,0.0606,0.05431786826473538,0.06755678820458082,0.010599999999999998,5000,1.0,0.94,371.7181423891425,0.111,0.1025897185733455,0.12000755353990891,0.010999999999999996,0.06,0.05374897325570842,0.06692660445594185,0.009999999999999995,5000,1.0,0.9424,124.53280991439709,0.1086,0.10027444396247197,0.11752651312011873,0.008599999999999997,0.0576,0.05147527285124603,0.06440398982974052,0.007599999999999996,4979,0.9958,0.945772243422374,0.10122514561156859,0.09315204323380029,0.10991310888528198,0.0012251456115685844,0.05422775657762603,0.048274018603367004,0.06086881953730442,0.0042277565776260295
broad,91370211,random_2x5_d3,broad:91370211:random_2x5_d3,3803492568,2,5,3,2000,2000,5000,5000,1.0,4996,0.9992,-8.881784197001252e-16,25.090789616104804,1.159617251064329,0.0,0.06274,0.007793208002112806,1.5586416004225612,5.711594986865975e-05,2.0963913756723357e-08,4.4825373609347595e-09,-0.017706465734640388,0.009756719817159566,-0.005348163511244981,-0.026032713928379147,0.005759024679278607,0.011733026926604804,0.0006304708680041156,-0.40073134850394543,5.567343265676383e-05,2.5158052702911316e-09,4.443310586853971e-09,0.006056267139090739,0.010696327022489962,5000,1.0,0.9496,0.1006,0.09256663145562494,0.10924660885808668,0.0005999999999999894,0.0504,0.044673814062764695,0.05681650352623067,0.0003999999999999976,5000,1.0,0.9498,3971.0933076750634,0.1006,0.09256663145562494,0.10924660885808668,0.0005999999999999894,0.0502,0.04448534215006971,0.05660528251970368,0.0001999999999999988,5000,1.0,0.9512,152.98952430118752,0.096,0.08814189353368367,0.1044784096379225,0.0040000000000000036,0.0488,0.043166788231898734,0.05512598600332083,0.0011999999999999997,4996,0.9992,0.9449559647718174,0.10428342674139311,0.09611045722960387,0.11306446710237189,0.0042834267413931065,0.05504403522818255,0.04905500849689988,0.06171679564573146,0.005044035228182545
