scenario_id,regime,replicates,n,rows,columns,true_delta,population_score_correlation,min_expected_joint,expected_joint_below_1,mean_zero_fraction,paired_wald_valid_rate,jackknife_valid_rate,mean_delta_plugin_bias,mean_delta_jackknife_bias,mean_paired_se,mean_unpaired_se,mean_se_ratio_paired_to_unpaired,mean_test_microseconds,paired_wald_normal_reject_10,paired_wald_normal_reject_10_low,paired_wald_normal_reject_10_high,paired_wald_normal_reject_05,paired_wald_normal_reject_05_low,paired_wald_normal_reject_05_high,paired_wald_t_reject_10,paired_wald_t_reject_10_low,paired_wald_t_reject_10_high,paired_wald_t_reject_05,paired_wald_t_reject_05_low,paired_wald_t_reject_05_high,paired_jackknife_t_reject_10,paired_jackknife_t_reject_10_low,paired_jackknife_t_reject_10_high,paired_jackknife_t_reject_05,paired_jackknife_t_reject_05_low,paired_jackknife_t_reject_05_high,unpaired_wald_normal_reject_10,unpaired_wald_normal_reject_10_low,unpaired_wald_normal_reject_10_high,unpaired_wald_normal_reject_05,unpaired_wald_normal_reject_05_low,unpaired_wald_normal_reject_05_high
balanced_2x2_n50_pair00,balanced_2x2,5000,50,2,2,0.0,0.0,7.005134345964755,0.0,0.00035,1.0,1.0,-0.0008690828897747625,-0.0008803065447633992,0.08553213141467929,0.08570056240579596,0.9981989042116273,1.089150016196072,0.1008,0.09275913562040934,0.10945379761252426,0.052,0.046182524523658765,0.05850533641911242,0.0956,0.0877573987451443,0.1040635185880179,0.0448,0.03940712743434635,0.05089178841643366,0.0774,0.07031320504497025,0.08513565663899202,0.026,0.021939673218923005,0.030788108224991152,0.1026,0.09449212557428167,0.1113180439316497,0.0518,0.045993846130679035,0.05829432189287017
balanced_2x2_n50_pair04,balanced_2x2,5000,50,2,2,0.0,0.4,7.005134345964755,0.0,0.00055,1.0,1.0,-0.00023016567941377736,-0.00024715850063424324,0.06719400525817998,0.0850193987842164,0.7899042019243847,0.7068583974614739,0.087,0.07950170033489977,0.0951324214717174,0.0412,0.03603404693250977,0.04707039637227465,0.0788,0.07165124302171341,0.08659546909680271,0.0366,0.03174076807403096,0.042170738088647984,0.0598,0.053559382636359947,0.06671650215606834,0.023,0.0191966460912995,0.027535741564284996,0.0352,0.030438310386063806,0.0406753453420613,0.0124,0.009685385642423546,0.015863277294396162
balanced_2x2_n50_pair08,balanced_2x2,5000,50,2,2,0.0,0.8,7.005134345964755,0.0,0.00045,0.9994,0.9992,-0.0003304537361246815,-0.00030216577782180985,0.03880602786977991,0.08492027362584889,0.45878651131676207,0.6940499879419804,0.06804082449469682,0.0613854896538831,0.0753597890060724,0.018411046627976786,0.015036769860412844,0.022525200533463866,0.058635181108665196,0.05245384623332103,0.06549459577943405,0.016009605763458074,0.012882915703004932,0.01987986235541635,0.03823058446757406,0.03325844780207342,0.04391229091005007,0.008006405124099279,0.005885394296846697,0.010883429177101956,0.001,0.00042721349110879964,0.0023389530500582106,0.0004,0.00010970128207763504,0.0014573865014234437
balanced_2x2_n100_pair00,balanced_2x2,5000,100,2,2,0.0,0.0,14.01026869192951,0.0,0.0,1.0,1.0,0.0002535153282646525,0.00025280250691148273,0.06019000249105436,0.06036666051228558,0.9971153310069393,0.6943166023120284,0.0974,0.08948796411595085,0.10593018949020915,0.0518,0.045993846130679035,0.05829432189287017,0.0942,0.08641201089382725,0.10261105600478113,0.0488,0.043166788231898734,0.05512598600332083,0.0858,0.07835149039041377,0.09388447390087155,0.0438,0.03846909782873126,0.04983135342593886,0.0956,0.0877573987451443,0.1040635185880179,0.0482,0.04260210373766007,0.05449159173989355
balanced_2x2_n100_pair04,balanced_2x2,5000,100,2,2,0.0,0.4,14.01026869192951,0.0,0.0,1.0,1.0,-3.3335940642197046e-05,-3.336169531482289e-05,0.047350179399562195,0.06034982023009834,0.7836346574662981,0.6979000056162477,0.0954,0.08756516763547541,0.10385605677846481,0.0418,0.036595474719308296,0.047708047343142046,0.0912,0.0835308799658389,0.09949679314443981,0.039,0.03397822888090428,0.04472959231243839,0.0812,0.07394662267077708,0.08909640447840277,0.0314,0.026914300443434944,0.0366051898194726,0.0308,0.026359508374236954,0.035960903131004654,0.0088,0.0065620374399733145,0.011792152950850805
balanced_2x2_n100_pair08,balanced_2x2,5000,100,2,2,0.0,0.8,14.01026869192951,0.0,0.0,1.0,1.0,-0.0004243712307448817,-0.00042406619711945516,0.027268868392743822,0.06017897701278558,0.45249788313625233,0.6940416060388088,0.0964,0.08852643154627349,0.10489325746377662,0.039,0.03397822888090428,0.04472959231243839,0.0924,0.0846830261007529,0.10074280452485768,0.0374,0.03248595059283844,0.04302432724672841,0.0834,0.07605243700016218,0.09138721226045943,0.03,0.025620533254951595,0.035101106573402104,0.0002,3.5305783439365155e-05,0.0011320890808397361,0.0,0.0,0.0007677019450571243
balanced_2x2_n200_pair00,balanced_2x2,5000,200,2,2,0.0,0.0,28.02053738385902,0.0,0.0,1.0,1.0,0.00019298749283932806,0.0001929541011086597,0.042494384747571175,0.04246401894367884,1.0006792822418804,0.7078082067891955,0.0924,0.0846830261007529,0.10074280452485768,0.0482,0.04260210373766007,0.05449159173989355,0.0912,0.0835308799658389,0.09949679314443981,0.047,0.041473496167793764,0.05322204179442799,0.0872,0.07969344539728372,0.09534036932855543,0.0422,0.036969931969046375,0.04813297593184792,0.0902,0.08257107622794863,0.09845813228622019,0.0466,0.04109752422905178,0.05279862789472602
balanced_2x2_n200_pair04,balanced_2x2,5000,200,2,2,0.0,0.4,28.02053738385902,0.0,0.0,1.0,1.0,0.00014095607152857164,0.00014084117815499412,0.032979093400724385,0.0423754910748211,0.7775772897968977,0.8499581832438707,0.0994,0.0914118206070568,0.10800326219132297,0.0478,0.04222578729757764,0.054068522341532026,0.098,0.09006501107959225,0.10655222128423367,0.0462,0.0407216699236964,0.05237509636163745,0.0948,0.08698853981142897,0.10323360584484532,0.0434,0.0380941093753608,0.04940695604086537,0.0352,0.030438310386063806,0.0406753453420613,0.0132,0.010389448801641136,0.016757985812066483
balanced_2x2_n200_pair08,balanced_2x2,5000,200,2,2,0.0,0.8,28.02053738385902,0.0,0.0,1.0,1.0,-0.00018617297796282752,-0.00018613647299702248,0.019157921505589037,0.04237617138591241,0.45143685755332624,1.670316606760025,0.0972,0.08929563628725427,0.10572282439968374,0.0454,0.039970320043562504,0.05152767456488344,0.096,0.08814189353368367,0.1044784096379225,0.0444,0.039031820881426316,0.05046770913090974,0.0904,0.08276301361645519,0.09866588781693558,0.0406,0.03547293459896256,0.046432429948155926,0.0004,0.00010970128207763504,0.0014573865014234437,0.0,0.0,0.0007677019450571243
balanced_2x2_n500_pair00,balanced_2x2,5000,500,2,2,0.0,0.0,70.05134345964754,0.0,0.0,1.0,1.0,-0.00024350195838215968,-0.00024349409674051704,0.026810260576176966,0.02680865346327665,1.0000725703749271,0.7252000039443374,0.1082,0.099888692291972,0.11711287895217473,0.0544,0.048448591059440875,0.06103558491399403,0.108,0.09969583027538101,0.11690604804954374,0.0544,0.048448591059440875,0.06103558491399403,0.1062,0.09796049076292289,0.11504415128900407,0.0532,0.04731511889160377,0.05977089956649927,0.1094,0.10104605723003103,0.11835367152944758,0.0564,0.05033958885978194,0.06314151630587274
