scenario_id,regime,replicates,n,rows,columns,true_delta,population_score_correlation,min_expected_joint,expected_joint_below_1,mean_zero_fraction,paired_wald_valid_rate,jackknife_valid_rate,mean_delta_plugin_bias,mean_delta_jackknife_bias,mean_paired_se,mean_unpaired_se,mean_se_ratio_paired_to_unpaired,mean_test_microseconds,paired_wald_normal_reject_10,paired_wald_normal_reject_10_low,paired_wald_normal_reject_10_high,paired_wald_normal_reject_05,paired_wald_normal_reject_05_low,paired_wald_normal_reject_05_high,paired_wald_t_reject_10,paired_wald_t_reject_10_low,paired_wald_t_reject_10_high,paired_wald_t_reject_05,paired_wald_t_reject_05_low,paired_wald_t_reject_05_high,paired_jackknife_t_reject_10,paired_jackknife_t_reject_10_low,paired_jackknife_t_reject_10_high,paired_jackknife_t_reject_05,paired_jackknife_t_reject_05_low,paired_jackknife_t_reject_05_high,unpaired_wald_normal_reject_10,unpaired_wald_normal_reject_10_low,unpaired_wald_normal_reject_10_high,unpaired_wald_normal_reject_05,unpaired_wald_normal_reject_05_low,unpaired_wald_normal_reject_05_high
regular_2x2_bal_n50_zero,regular,3000,50,2,2,0.0,0.0,7.005134345964755,0.0,0.0005833333333333334,1.0,1.0,-0.0004972612790757656,-0.000505547046967894,0.085754030557515,0.0859876174959008,0.9972227128410892,1.207083308448394,0.105,0.09453085799481525,0.11647943249819226,0.049666666666666665,0.04245199158544549,0.058033158166498094,0.097,0.08691909125536426,0.10811166081724846,0.04633333333333333,0.03937397396973145,0.054453034773714305,0.07366666666666667,0.06485422493460635,0.0835695400785216,0.03,0.02447115109496187,0.03673096670684454,0.103,0.0926259808899369,0.11438942499797192,0.04833333333333333,0.041219579683999655,0.056602313664544796
regular_2x2_bal_n50_positive,regular,3000,50,2,2,0.0,0.8,7.005134345964755,0.0,0.0005,0.9996666666666667,0.9996666666666667,-0.0008114358854181308,-0.0008029321161178473,0.03846732579013029,0.08443198915336785,0.45734527362114347,0.8715833149229487,0.06468822940980327,0.0564297330860263,0.07406049232020678,0.01800600200066689,0.013826767056764461,0.0234184423072416,0.05568522840946982,0.048032136084087344,0.06447512194257338,0.01300433477825942,0.009527591570707483,0.01772708036020282,0.035345115038346114,0.029308452151703128,0.042570620313701533,0.0053351117039013,0.003286672041420821,0.00864917582540933,0.0013333333333333333,0.0005186256496617012,0.0034234794790633924,0.0,0.0,0.0012788487253259629
regular_2x2_bal_n50_negative,regular,3000,50,2,2,0.0,-0.31142813647597944,7.005134345964755,0.0,0.0003333333333333333,1.0,1.0,-0.0016570051743448986,-0.001656845283193833,0.09783131626710785,0.08647218957289876,1.1288600611661013,0.7374723209068179,0.10266666666666667,0.09230862374464574,0.11404096804241329,0.052,0.04461237343545303,0.060533475022439026,0.098,0.08786940800272493,0.10915878637243713,0.04733333333333333,0.04029631456999429,0.055528136476000814,0.07433333333333333,0.06548135623617914,0.08427403697864837,0.03333333333333333,0.027483152333113072,0.04037710647719116,0.14133333333333334,0.12932569128931212,0.1542583361963217,0.077,0.06799204271080748,0.08708986331081826
regular_2x2_weak_n100_zero,regular,3000,100,2,2,-4.440892098500626e-16,2.9333588968495327e-18,4.529267549812524,0.0,0.004333333333333333,1.0,1.0,-0.0022378991014165425,-0.0012134017342186735,0.0478522838659306,0.0478364545954205,1.0003225021815487,0.7337220013141632,0.08,0.07082054503843029,0.09025368789084352,0.03333333333333333,0.027483152333113072,0.04037710647719116,0.076,0.06705013576453428,0.08603432795454213,0.030333333333333334,0.02477151341289687,0.037096418489759315,0.07566666666666666,0.06673627246331723,0.08568237715490937,0.028333333333333332,0.022972359462877675,0.03490068783467981,0.07866666666666666,0.0695629258018802,0.08884805072399449,0.03266666666666666,0.02687931450264561,0.039649316105959044
regular_2x2_weak_n100_positive,regular,3000,100,2,2,-4.440892098500626e-16,0.28869778288689896,4.529267549812524,0.0,0.003,1.0,1.0,-0.0014176652698375891,-0.0003340808571428555,0.04119364198103053,0.047803198627555464,0.8651433567846101,0.7479303361227115,0.077,0.06799204271080748,0.08708986331081826,0.029333333333333333,0.023871020606005804,0.03599946899410103,0.07266666666666667,0.0639139441388719,0.0825123785717067,0.025666666666666667,0.020585625283129905,0.031960909207629326,0.07533333333333334,0.0664224625339994,0.08533037298337744,0.02666666666666667,0.021478919819971926,0.03306505697333666,0.048666666666666664,0.04152753547220747,0.056960171977186766,0.014666666666666666,0.010943766686006835,0.019630902476709566
regular_2x2_weak_n100_negative,regular,3000,100,2,2,-4.440892098500626e-16,-0.29949093655978754,4.529267549812524,0.0,0.0035833333333333333,1.0,1.0,0.0008865161351544102,0.0019445308784444232,0.0541529617211639,0.048378563867575386,1.1172190542142335,0.7909583315874139,0.106,0.09548376195391767,0.11752397084163918,0.052,0.04461237343545303,0.060533475022439026,0.103,0.0926259808899369,0.11438942499797192,0.04933333333333333,0.04214374236315084,0.05767559328794296,0.10233333333333333,0.0919913019625579,0.11369247572365133,0.050333333333333334,0.04306877699858019,0.05874800095506296,0.13466666666666666,0.1229173055899808,0.1473504398786573,0.07233333333333333,0.06360062957884216,0.08215987903088665
regular_3x3_weak_n150_zero,regular,3000,150,3,3,-4.9682480351975755e-14,3.8355678189896654e-18,0.5519860615064566,0.2222222222222222,0.15085185185185188,1.0,1.0,3.8703788641573906e-05,0.0005533835655846396,0.057269107175699045,0.05730815928762759,0.9993186214884111,1.4265693413714569,0.10666666666666667,0.09611920100638773,0.1182201599908687,0.057,0.04925627402901686,0.06587678594162194,0.10466666666666667,0.09421329180776727,0.11613118458439045,0.05333333333333334,0.04584887477722537,0.06196023008406582,0.09733333333333333,0.08723582560137697,0.10846074057208555,0.04633333333333333,0.03937397396973145,0.054453034773714305,0.10566666666666667,0.09516609321057437,0.11717582548413269,0.05366666666666667,0.046158219029586604,0.06231669993255436
regular_3x3_weak_n150_positive,regular,3000,150,3,3,-4.9682480351975755e-14,0.41718148186720644,0.5519860615064566,0.2222222222222222,0.14692592592592593,1.0,1.0,-0.0016086312490260083,-0.0008993959809060736,0.04585534815839134,0.057178759986604745,0.803064150748882,1.3957083380470674,0.092,0.08217275335348771,0.10287078720637828,0.042333333333333334,0.03569444849435773,0.050142791038890626,0.08933333333333333,0.07964509853884703,0.10007192921422069,0.04066666666666666,0.03416630327106452,0.048341865757934914,0.092,0.08217275335348771,0.10287078720637828,0.04633333333333333,0.03937397396973145,0.054453034773714305,0.03866666666666667,0.032336752936489514,0.046176531487411236,0.015333333333333332,0.011515523944774949,0.02039077341964102
regular_3x3_weak_n150_negative,regular,3000,150,3,3,-4.9682480351975755e-14,-0.5253426071083508,0.5519860615064566,0.2222222222222222,0.14881481481481484,1.0,1.0,-1.3935928320296739e-05,0.0005858628199037539,0.06950282959621634,0.057520226715006874,1.2089493420550737,1.2809863546863198,0.11233333333333333,0.101525754956843,0.12413244575485972,0.06766666666666667,0.05922035827579508,0.07721875292203675,0.10966666666666666,0.0989803253945503,0.12135136251035415,0.06433333333333334,0.05609900349433694,0.0736819666949971,0.105,0.09453085799481525,0.11647943249819226,0.058333333333333334,0.05049774759770785,0.06729856877633007,0.176,0.16278953722806536,0.19003915674594582,0.11533333333333333,0.10439176389237965,0.12725876372697112
regular_3x3_mild_strong_n300,regular,3000,300,3,3,-9.71445146547012e-15,0.6319298528665703,1.1039721230129131,0.0,0.07333333333333333,1.0,1.0,-0.00074986503919964,-0.0001920959493663458,0.025971282398474245,0.04108555450574985,0.6339387226051186,1.2239306621874373,0.09366666666666666,0.08375387467543889,0.10461873638867601,0.03966666666666667,0.03325093387303913,0.04725979285341098,0.09233333333333334,0.08248889653771861,0.10322045812299714,0.03966666666666667,0.03325093387303913,0.04725979285341098,0.08933333333333333,0.07964509853884703,0.10007192921422069,0.03933333333333333,0.032946072721804866,0.046898839903795446,0.010333333333333333,0.007289344567375226,0.014629741284294,0.002,0.0009169302695833242,0.004356803060841335
regular_5x5_bal_mild_n500,regular,3000,500,5,5,4.440892098500626e-16,0.6871598151556245,1.0841357935055371,0.0,0.06396,1.0,1.0,-0.0006658988550470715,0.00029599271902792777,0.020823628127502814,0.034006661238290395,0.6126887072226309,5.880291651313503,0.09566666666666666,0.08565253698168952,0.10671495868752408,0.04766666666666667,0.04060396824367272,0.05588629690317217,0.09533333333333334,0.0853359950799826,0.10636568648838121,0.047,0.03998876360822057,0.055169873336924746,0.086,0.07648937686404017,0.09656950988052973,0.043,0.036306558707694205,0.05086230902725373,0.008666666666666666,0.005921269051362266,0.012668746296058048,0.0013333333333333333,0.0005186256496617012,0.0034234794790633924
regular_5x5_mild_strong_n1000,regular,3000,1000,5,5,1.1102230246251565e-16,0.6345063529363419,0.21903272227582274,0.24,0.1936,1.0,1.0,0.00015552086378428753,-0.000825149962256867,0.014795919437471728,0.023065004675303043,0.6422835334712645,3.664402679229776,0.08733333333333333,0.07775114040012965,0.09797100274783938,0.04633333333333333,0.03937397396973145,0.054453034773714305,0.08733333333333333,0.07775114040012965,0.09797100274783938,0.04633333333333333,0.03937397396973145,0.054453034773714305,0.09,0.08027676092797804,0.10077189502678925,0.04766666666666667,0.04060396824367272,0.05588629690317217,0.009666666666666667,0.0067390263076782565,0.013848431342291405,0.0006666666666666666,0.00018284308780954395,0.0024276338392159843
sparse_3x3_strong_n50_zero,sparse,3000,50,3,3,0.0,-3.0655910202377295e-18,0.2288925284533338,0.3333333333333333,0.3931851851851852,1.0,1.0,0.001845172704504583,0.0015499348779790605,0.08675395083550998,0.08686005932150265,0.9987563249885404,1.4567916902403037,0.096,0.08596911772942444,0.10706419204063893,0.049666666666666665,0.04245199158544549,0.058033158166498094,0.09,0.08027676092797804,0.10077189502678925,0.044,0.037225603621850144,0.05194070641564714,0.06733333333333333,0.05890793542797179,0.07686536166901026,0.027666666666666666,0.02237431560323675,0.03416710349262118,0.09366666666666666,0.08375387467543889,0.10461873638867601,0.048666666666666664,0.04152753547220747,0.056960171977186766
