regime,method,scenarios,mean_rejection_05,mean_absolute_fpr_error_05,scenarios_in_035_065,min_rejection_05,max_rejection_05
regular,paired_wald_normal,12,0.0442234267289304,0.010332128826625158,0.8333333333333334,0.021681120747164776,0.06366666666666666
regular,paired_wald_t,12,0.041723185827588764,0.01149903639463346,0.75,0.01734489659773182,0.06266666666666666
regular,paired_jackknife_t,12,0.036806055889111254,0.014749499666444297,0.5833333333333334,0.009006004002668445,0.059333333333333335
regular,unpaired_wald_normal,12,0.036194444444444446,0.03325,0.3333333333333333,0.0003333333333333333,0.119
sparse,paired_wald_normal,5,0.03353298453668178,0.016467015463318226,0.4,0.01499825601674224,0.049666666666666665
sparse,paired_wald_t,5,0.030832298569933726,0.019167701430066277,0.4,0.011161492849668643,0.043666666666666666
sparse,paired_jackknife_t,5,0.02813614330874605,0.02186385669125395,0.4,0.013347383210396909,0.04066666666666666
sparse,unpaired_wald_normal,5,0.020200222965440356,0.02979977703455965,0.4,0.0,0.049
boundary,paired_wald_normal,3,0.019555555555555555,0.03044444444444445,0.3333333333333333,0.007333333333333333,0.043666666666666666
boundary,paired_wald_t,3,0.019555555555555555,0.03044444444444445,0.3333333333333333,0.007333333333333333,0.043666666666666666
boundary,paired_jackknife_t,3,0.02666666666666667,0.02622222222222222,0.3333333333333333,0.008666666666666666,0.05433333333333333
boundary,unpaired_wald_normal,3,0.017777777777777778,0.03222222222222222,0.3333333333333333,0.0023333333333333335,0.044333333333333336
