scenario_id,regime,rows,columns,n,margin_a,margin_b,target_mi_a,target_mi_b,pairing,pattern_a,pattern_b,true_mi_a,true_mi_b,true_delta,population_variance_a,population_variance_b,population_covariance,population_score_correlation,coupling_margin_error_a,coupling_margin_error_b,min_expected_joint_a,min_expected_joint_b,expected_joint_below_1_a,expected_joint_below_1_b,expected_joint_below_5_a,expected_joint_below_5_b,condition_distribution_l1,replicates,scenario_seed,simulation_and_test_seconds,mean_test_microseconds
regular_2x2_bal_n50_zero,regular,2,2,50,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,3000,2687341237,0.003754999954253435,1.2516666514178116
regular_2x2_bal_n50_positive,regular,2,2,50,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,3000,2633696800,0.002231208956800401,0.743736318933467
regular_2x2_bal_n50_negative,regular,2,2,50,balanced,balanced,0.1,0.1,-0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,-0.05590805044184101,-0.31142813647597944,0.0,0.0,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,3000,1016787696,0.0022237079683691263,0.7412359894563755
regular_2x2_weak_n100_zero,regular,2,2,100,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,3000,2070928754,0.0022259170655161142,0.7419723551720381
regular_2x2_weak_n100_positive,regular,2,2,100,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,3000,1538035472,0.002274292055517435,0.7580973518391451
regular_2x2_weak_n100_negative,regular,2,2,100,balanced,strong,0.05,0.05,-0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,-0.033208557371542394,-0.29949093655978754,5.551115123125783e-17,1.1102230246251565e-16,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,3000,2887238931,0.0022207091096788645,0.7402363698929548
regular_3x3_weak_n150_zero,regular,3,3,150,balanced,strong,0.1,0.1,0.0,ordinal,cyclic,0.09999999999995035,0.10000000000000003,-4.9682480351975755e-14,0.17199837647108585,0.2973150135982606,8.673617379884035e-19,3.8355678189896654e-18,2.7755575615628914e-17,3.469446951953614e-18,6.321069020324448,0.5519860615064566,0.0,0.2222222222222222,0.0,0.8888888888888888,1.340291219324257,3000,175023802,0.004443124984391034,1.4810416614636779
regular_3x3_weak_n150_positive,regular,3,3,150,balanced,strong,0.1,0.1,0.8,ordinal,cyclic,0.09999999999995035,0.10000000000000003,-4.9682480351975755e-14,0.17199837647108585,0.2973150135982606,0.09433994449985575,0.41718148186720644,1.6653345369377348e-16,2.220446049250313e-16,6.321069020324448,0.5519860615064566,0.0,0.2222222222222222,0.0,0.8888888888888888,1.340291219324257,3000,2909540276,0.0038523749681189656,1.2841249893729885
regular_3x3_weak_n150_negative,regular,3,3,150,balanced,strong,0.1,0.1,-0.8,ordinal,cyclic,0.09999999999995035,0.10000000000000003,-4.9682480351975755e-14,0.17199837647108585,0.2973150135982606,-0.1187991187341031,-0.5253426071083508,1.1102230246251565e-16,1.1102230246251565e-16,6.321069020324448,0.5519860615064566,0.0,0.2222222222222222,0.0,0.8888888888888888,1.340291219324257,3000,146154675,0.004023375106044114,1.341125035348038
regular_3x3_mild_strong_n300,regular,3,3,300,mild,strong,0.1,0.1,0.8,ordinal,cyclic,0.09999999999999032,0.10000000000000003,-9.71445146547012e-15,0.1984882682265161,0.2973150135982606,0.1535128426662986,0.6319298528665703,2.220446049250313e-16,1.1102230246251565e-16,8.998283785478542,1.1039721230129131,0.0,0.0,0.0,0.2222222222222222,0.5742785996318621,3000,3449675936,0.003568458021618426,1.189486007206142
