regime,method,scenarios,mean_rejection_05,mean_absolute_fpr_error_05,scenarios_in_035_065,min_rejection_05,max_rejection_05
regular,paired_wald_normal,2,0.03833333333333334,0.025,0.5,0.013333333333333334,0.06333333333333334
regular,paired_wald_t,2,0.034999999999999996,0.024999999999999998,0.5,0.01,0.06
regular,paired_jackknife_t,2,0.03166666666666666,0.024999999999999998,0.5,0.006666666666666667,0.056666666666666664
regular,unpaired_wald_normal,2,0.041666666666666664,0.03833333333333333,0.0,0.0033333333333333335,0.08
sparse,paired_wald_normal,1,0.01048951048951049,0.039510489510489515,0.0,0.01048951048951049,0.01048951048951049
sparse,paired_wald_t,1,0.01048951048951049,0.039510489510489515,0.0,0.01048951048951049,0.01048951048951049
sparse,paired_jackknife_t,1,0.0176678445229682,0.032332155477031804,0.0,0.0176678445229682,0.0176678445229682
sparse,unpaired_wald_normal,1,0.0,0.05,0.0,0.0,0.0
boundary,paired_wald_normal,1,0.013333333333333334,0.03666666666666667,0.0,0.013333333333333334,0.013333333333333334
boundary,paired_wald_t,1,0.013333333333333334,0.03666666666666667,0.0,0.013333333333333334,0.013333333333333334
boundary,paired_jackknife_t,1,0.013333333333333334,0.03666666666666667,0.0,0.013333333333333334,0.013333333333333334
boundary,unpaired_wald_normal,1,0.013333333333333334,0.03666666666666667,0.0,0.013333333333333334,0.013333333333333334
