subset,method,scenarios,mean_valid_rate,mean_absolute_fpr_error_10,mean_fpr_10,minimum_fpr_10,maximum_fpr_10,mean_absolute_fpr_error_05,mean_fpr_05,minimum_fpr_05,maximum_fpr_05
easy,wald_analytic,8,1.0,0.010000000000000002,0.09075,0.081,0.103,0.009250000000000001,0.040749999999999995,0.034,0.05
easy,profile_lr,8,1.0,0.010874999999999998,0.094375,0.081,0.109,0.008000000000000002,0.04325,0.036,0.054
easy,profile_pearson,8,1.0,0.010499999999999997,0.094,0.081,0.109,0.008125000000000002,0.043125,0.036,0.054
easy,profile_cr_2_3,8,1.0,0.010624999999999997,0.094125,0.081,0.109,0.008125000000000002,0.043125,0.036,0.054
hard,wald_analytic,8,1.0,0.012499999999999997,0.1095,0.088,0.131,0.0115,0.0615,0.05,0.082
hard,profile_lr,8,0.999625,0.07873154818144798,0.17873154818144799,0.112,0.31931931931931934,0.054946490328003354,0.10494649032800335,0.055,0.22122122122122123
hard,profile_pearson,8,0.999625,0.07210579743069723,0.1721057974306972,0.109,0.3133133133133133,0.051195989827502855,0.10119598982750284,0.05,0.2172172172172172
hard,profile_cr_2_3,8,0.999625,0.07360617305682436,0.17360617305682435,0.109,0.31431431431431434,0.0515709895767511,0.1015709895767511,0.051,0.21921921921921922
all,wald_analytic,16,1.0,0.01125,0.10012499999999999,0.081,0.131,0.010375,0.051125000000000004,0.034,0.082
all,profile_lr,16,0.9998125,0.044803274090723995,0.136553274090724,0.081,0.31931931931931934,0.03147324516400168,0.07409824516400168,0.036,0.22122122122122123
all,profile_pearson,16,0.9998125,0.041302898715348604,0.13305289871534862,0.081,0.3133133133133133,0.029660494913751428,0.07216049491375143,0.036,0.2172172172172172
all,profile_cr_2_3,16,0.9998125,0.04211558652841217,0.13386558652841218,0.081,0.31431431431431434,0.02984799478837555,0.07234799478837556,0.036,0.21921921921921922
