subset,method,scenarios,mean_valid_rate,mean_absolute_fpr_error_10,mean_fpr_10,minimum_fpr_10,maximum_fpr_10,mean_absolute_fpr_error_05,mean_fpr_05,minimum_fpr_05,maximum_fpr_05
easy,wald_analytic,8,1.0,0.01625,0.09625,0.08,0.14,0.015,0.0425,0.01,0.08
easy,profile_lr,8,1.0,0.015000000000000001,0.1,0.08,0.14,0.01625,0.043750000000000004,0.01,0.08
easy,profile_pearson,8,1.0,0.015000000000000001,0.1,0.08,0.14,0.01625,0.043750000000000004,0.01,0.08
easy,profile_cr_2_3,8,1.0,0.015000000000000001,0.1,0.08,0.14,0.01625,0.043750000000000004,0.01,0.08
hard,wald_analytic,8,1.0,0.018750000000000003,0.11625,0.09,0.19,0.013749999999999998,0.06125,0.04,0.08
hard,profile_lr,8,1.0,0.06375,0.16375,0.1,0.32,0.042499999999999996,0.0875,0.03,0.19
hard,profile_pearson,8,1.0,0.06125,0.16125,0.1,0.3,0.03875000000000001,0.08374999999999999,0.03,0.18
hard,profile_cr_2_3,8,1.0,0.06375,0.16375,0.1,0.31,0.04000000000000001,0.08499999999999999,0.03,0.19
all,wald_analytic,16,1.0,0.0175,0.10625000000000001,0.08,0.19,0.014375,0.051875000000000004,0.01,0.08
all,profile_lr,16,1.0,0.039375,0.13187500000000002,0.08,0.32,0.029375,0.065625,0.01,0.19
all,profile_pearson,16,1.0,0.038125,0.130625,0.08,0.3,0.027500000000000004,0.06375,0.01,0.18
all,profile_cr_2_3,16,1.0,0.039375,0.13187500000000002,0.08,0.31,0.028125,0.064375,0.01,0.19
