subset,method,scenarios,mean_valid_rate,mean_absolute_fpr_error_10,mean_fpr_10,minimum_fpr_10,maximum_fpr_10,mean_absolute_fpr_error_05,mean_fpr_05,minimum_fpr_05,maximum_fpr_05
easy,wald_analytic,8,1.0,0.03333333333333334,0.10416666666666666,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
easy,profile_lr,8,1.0,0.03958333333333334,0.11458333333333333,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
easy,profile_pearson,8,1.0,0.03958333333333334,0.11458333333333333,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
easy,profile_cr_2_3,8,1.0,0.03958333333333334,0.11458333333333333,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
hard,wald_analytic,8,1.0,0.060416666666666674,0.09374999999999999,0.0,0.25,0.06041666666666667,0.07291666666666667,0.0,0.25
hard,profile_lr,8,1.0,0.10416666666666666,0.14583333333333331,0.0,0.3333333333333333,0.11041666666666666,0.13541666666666666,0.0,0.25
hard,profile_pearson,8,1.0,0.10416666666666666,0.14583333333333331,0.0,0.3333333333333333,0.11041666666666666,0.13541666666666666,0.0,0.25
hard,profile_cr_2_3,8,1.0,0.10416666666666666,0.14583333333333331,0.0,0.3333333333333333,0.11041666666666666,0.13541666666666666,0.0,0.25
all,wald_analytic,16,1.0,0.046875,0.09895833333333331,0.0,0.25,0.051041666666666666,0.057291666666666664,0.0,0.25
all,profile_lr,16,1.0,0.071875,0.13020833333333331,0.0,0.3333333333333333,0.07604166666666666,0.08854166666666666,0.0,0.25
all,profile_pearson,16,1.0,0.071875,0.13020833333333331,0.0,0.3333333333333333,0.07604166666666666,0.08854166666666666,0.0,0.25
all,profile_cr_2_3,16,1.0,0.071875,0.13020833333333331,0.0,0.3333333333333333,0.07604166666666666,0.08854166666666666,0.0,0.25
