scenario_seed,scenario_id,scenario_key,subset,replicate,profile_seconds,wald_seconds,permutation_seconds,permutations,student_perm_analytic_p
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,0,0.01188850007019937,0.00016933400183916092,0.0011779580963775516,999,0.965
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,1,0.013559374958276749,7.716706022620201e-05,0.0011535000521689653,999,0.151
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,0,0.0285873330431059,0.00015891692601144314,0.0017477079527452588,999,0.674
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,1,0.028382209013216197,7.60830007493496e-05,0.0018109999364241958,999,0.383
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,0,0.049932042020373046,0.00016487506218254566,0.0018107079667970538,999,0.497
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,1,0.049263875000178814,7.704098243266344e-05,0.001890209037810564,999,0.598
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,0,0.13614291697740555,0.00015724997501820326,0.0017652910901233554,999,0.239
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,1,0.03980383393354714,7.562502287328243e-05,0.0016991659067571163,999,0.286
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,0,0.11131816694978625,7.750000804662704e-05,0.003308167099021375,999,0.616
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,1,0.09327154199127108,8.99159349501133e-05,0.003075874992646277,999,0.103
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,0,0.011836541001684964,7.933401502668858e-05,0.001186041976325214,999,0.358
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,1,0.012477500014938414,7.087504491209984e-05,0.0011704579228535295,999,0.834
2026072501,random_5x5_d0,2026072501:random_5x5_d0,easy,0,0.10028816596604884,7.91249331086874e-05,0.0036528330529108644,999,0.175
2026072501,random_5x5_d0,2026072501:random_5x5_d0,easy,1,0.09460695809684694,7.770792581140995e-05,0.003447459079325199,999,0.575
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,0,0.0547205830225721,7.754098623991013e-05,0.0038172919303178787,999,0.514
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,1,0.03599474998190999,0.0001897079637274146,0.00207612500526011,999,0.461
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,0,0.22311641601845622,9.658292401582003e-05,0.0033747920533642173,999,0.532
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,1,0.08554645907133818,7.670896593481302e-05,0.0036648750538006425,999,0.73
2026072601,random_3x3_d4,2026072601:random_3x3_d4,hard,0,0.0273543749935925,7.954204920679331e-05,0.0019474169239401817,999,0.273
2026072601,random_3x3_d4,2026072601:random_3x3_d4,hard,1,0.0308817500481382,0.0001075410982593894,0.002259999979287386,999,0.548
2026072601,random_3x3_d0,2026072601:random_3x3_d0,easy,0,0.03109299996867776,8.479203097522259e-05,0.0018050000071525574,999,0.827
2026072601,random_3x3_d0,2026072601:random_3x3_d0,easy,1,0.03191641694866121,8.220796007663012e-05,0.001792707946151495,999,0.674
2026072601,random_4x6_d0,2026072601:random_4x6_d0,easy,0,0.10871029202826321,7.633399218320847e-05,0.003211542032659054,999,0.89
2026072601,random_4x6_d0,2026072601:random_4x6_d0,easy,1,0.0837532919831574,7.737509440630674e-05,0.0033907080069184303,999,0.991
2026072501,random_5x10_d5,2026072501:random_5x10_d5,hard,0,0.2366162909893319,8.254102431237698e-05,0.006436916068196297,999,0.901
2026072501,random_5x10_d5,2026072501:random_5x10_d5,hard,1,0.19457570801023394,9.774998761713505e-05,0.006289209006354213,999,0.797
2026072601,random_4x6_d5,2026072601:random_4x6_d5,hard,0,0.2787902499549091,7.762492168694735e-05,0.003531333990395069,999,0.856
2026072601,random_4x6_d5,2026072601:random_4x6_d5,hard,1,0.1647003749385476,7.283303420990705e-05,0.0035208750050514936,999,0.381
2026072601,random_5x5_d0,2026072601:random_5x5_d0,easy,0,0.10832166695035994,8.000002708286047e-05,0.0036875830264762044,999,0.67
2026072601,random_5x5_d0,2026072601:random_5x5_d0,easy,1,0.0938826670171693,9.466696064919233e-05,0.00392674992326647,999,0.927
2026072601,random_5x10_d5,2026072601:random_5x10_d5,hard,0,0.2015970000065863,8.549995254725218e-05,0.00693458307068795,999,0.88
2026072601,random_5x10_d5,2026072601:random_5x10_d5,hard,1,0.20807595795486122,9.816593956202269e-05,0.006263541989028454,999,0.665
