scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,scenario_seed,scenario_key,subset,probability_p_json,probability_q_json
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.030040402119395626,0.05827548412013007,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,2026072501,2026072501:random_2x2_d0,easy,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]"
random_2x5_d2,1,2,2,5,250,1000,0.15,5.0,1.2,0.6564843939567813,1.4455413410381437,2,0.1500000000000008,0.15000000000000013,6.661338147750939e-16,0.9406519815780132,0.2325562776112031,0.20277066443015074,0.12252524559496214,0.19436468929620498,0.009859232762815135,6.000478343750735e-05,2.4648081907037835,0.06000478343750735,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_2x5_d2,hard,"[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]","[[0.05117121238273165, 6.000478343750735e-05, 0.1944003788193426, 0.0075662730640226085, 0.018177836273213295], [0.006591889764128289, 0.041468089325750745, 0.2803895048778972, 0.24228458624690963, 0.15789022446256645]]"
random_3x3_d0,2,0,3,3,900,900,0.03,50.0,50.0,0.26736574383467426,0.26295917578739386,1,0.03000000000000047,0.029999999999998916,1.5543122344752192e-15,0.37329756903112327,0.05679781873085036,0.055456528207634775,0.00920753423128895,0.018278167470822174,0.052258822653110326,0.05888772736988728,47.03294038779929,52.99895463289855,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_3x3_d0,easy,"[[0.14490237897242866, 0.12160348854068954, 0.163063236278104], [0.13945787925571118, 0.08218410323604122, 0.07763751731335765], [0.052258822653110326, 0.0754882907000164, 0.14340428305054115]]","[[0.14715177379037567, 0.1040239550368334, 0.05888772736988728], [0.081880196263428, 0.11052083540569756, 0.14368958397329526], [0.11700445810505086, 0.10075324611609648, 0.1360882239393355]]"
random_3x3_d4,2,4,3,3,180,360,0.07,10.0,0.8,0.42441702638706613,0.9095269245073277,1,0.06999999999997542,0.06999999999999984,-2.4424906541753444e-14,1.112838632853584,0.1273793907094799,0.12257096663840959,0.05545934486132009,0.09034009559391228,0.016182876611374963,5.35669774057582e-06,2.9129177900474934,0.0019284111866072953,0.0,0.3333333333333333,0.0,0.3333333333333333,True,2026072501,2026072501:random_3x3_d4,hard,"[[0.14074388190282594, 0.03103202613161152, 0.016182876611374963], [0.11350907383569679, 0.15820870604065868, 0.14734377807789226], [0.19702577331388396, 0.12648069583209484, 0.06947318825396108]]","[[0.1853892295649204, 0.4903457841043284, 0.0022278898711623855], [0.16596928462767754, 0.09481118008668997, 0.0013447114961550666], [0.002569862217630599, 0.05733670133369513, 5.35669774057582e-06]]"
random_4x6_d0,4,0,4,6,2400,2400,0.03,50.0,50.0,0.2587136535700337,0.2509245250561982,1,0.030000000000000027,0.030000000000000027,0.0,0.354075135003737,0.059253020356674714,0.057857412801212336,0.010741279377849411,0.021987040453931225,0.013957246966966297,0.023719290798161763,33.49739272071911,56.92629791558823,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_4x6_d0,easy,"[[0.051780567340611754, 0.013957246966966297, 0.036343437939188344, 0.047240872452456124, 0.02695964700967222, 0.034673887239964896], [0.047190855274418256, 0.030481139134993895, 0.06248012353387806, 0.03444708841471549, 0.06983631877037055, 0.04947372609211936], [0.054625280524205594, 0.02810701128954034, 0.04822131532841216, 0.024276194001916374, 0.04124902316957008, 0.027915410967898423], [0.037581142732208354, 0.05583054871833031, 0.05379369111247774, 0.04908580198271686, 0.03724819446432653, 0.03720147553904207]]","[[0.055432838067994275, 0.05551267250081198, 0.03329321934384846, 0.02870787950352778, 0.035130126564284665, 0.025250573673461483], [0.042656862310538425, 0.03592811366538467, 0.03123287084405778, 0.047793864798874194, 0.058294584636695304, 0.03444996191422289], [0.023719290798161763, 0.05753518404613157, 0.04266725700894143, 0.034701972367228086, 0.027873693695535898, 0.04950648766032016], [0.05747366012361696, 0.03880847679532055, 0.05730290766136364, 0.032258952999450335, 0.04318603147272248, 0.05128251754750532]]"
random_4x6_d5,4,5,4,6,240,960,0.15,2.0,20.0,0.656163048003235,0.6263072124245942,1,0.15000000000000013,0.1499999999999999,2.220446049250313e-16,0.8741385262691701,0.23713124633113292,0.2416467574452628,0.13002930005421676,0.216417573752066,0.0003343937048834584,0.006191487038178262,0.08025448917203001,5.943827556651131,0.125,0.0,0.4166666666666667,0.0,True,2026072501,2026072501:random_4x6_d5,hard,"[[0.0003343937048834584, 0.01804013269732058, 0.006455878897554548, 0.012084504579398306, 0.013925780694193618, 0.011347575776005633], [0.006174567119882772, 0.0823444998362348, 0.017593267798924873, 0.01062355108734521, 0.09409304297343563, 0.006954467686426748], [0.011359714472572972, 0.0641335699691991, 0.13148670651330258, 0.08120906772433463, 0.10013328739055796, 0.1776044447841938], [0.0005552395111014849, 0.08224044174524907, 0.005040288247369767, 0.007279807425953587, 0.026169402315317572, 0.032816367049241305]]","[[0.06715868024563429, 0.05047546409456619, 0.049160347182835955, 0.01742157161156392, 0.03258951638845231, 0.01949623145957857], [0.0794592151755762, 0.02939579513726761, 0.04473216109916623, 0.017614771964707572, 0.04854592168073063, 0.029365074333957856], [0.006191487038178262, 0.02168837331479185, 0.024189480992233073, 0.06304761014218777, 0.07220658603153284, 0.06034279717200341], [0.011438425827726036, 0.06405901890043601, 0.03834531217334928, 0.09622194680383132, 0.02487691270834678, 0.03197729852134619]]"
random_5x5_d0,5,0,5,5,2500,2500,0.03,50.0,50.0,0.25630288184668404,0.25404378751631546,1,0.030000000000005134,0.02999999999999936,5.773159728050814e-15,0.4013796039684562,0.05675007914452504,0.05875419435396489,0.0097944218055519,0.019046197596819272,0.01965783680253608,0.014214744553572144,49.144592006340204,35.53686138393036,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_5x5_d0,easy,"[[0.03919524102621882, 0.04458437215569008, 0.06156031840259979, 0.0629440709550689, 0.03971055602683132], [0.04549955227219521, 0.02321375253751804, 0.05548821730968318, 0.04574394043972538, 0.03775455344661204], [0.03605752003322569, 0.027240856455364382, 0.02636758740045083, 0.028333934131943263, 0.040226478878714604], [0.01965783680253608, 0.03891459378836261, 0.049967028200993656, 0.03104846734776941, 0.06676881180743753], [0.045840630887523756, 0.039638694659803256, 0.03029802409412545, 0.02529665879426311, 0.03864830214534372]]","[[0.04904039639964201, 0.05727589224429031, 0.033835944418140806, 0.029617293782992014, 0.030483747386721955], [0.0314208503714321, 0.043952900292133334, 0.014214744553572144, 0.04510641438437442, 0.030651616972581362], [0.03766966479945456, 0.044587163692520936, 0.055892726930888585, 0.02833465140135669, 0.045876740899908376], [0.04454521693122386, 0.05432590791077485, 0.03286633906217581, 0.07497777572532208, 0.02664941356692647], [0.04147054721277942, 0.048765110472628825, 0.03387879969430002, 0.03164087269576926, 0.03291926819808989]]"
random_5x10_d5,6,5,5,10,500,2000,0.15,2.0,20.0,0.815160756790099,0.6160630152423734,1,0.1499999999999997,0.14999999999998748,1.2212453270876722e-14,1.043441998171027,0.2354914107451832,0.2614261021279734,0.11411702002380286,0.20522073180112388,0.00015198564662872468,0.0018839524570970323,0.07599282331436234,3.7679049141940646,0.0,0.0,0.46,0.0,False,2026072501,2026072501:random_5x10_d5,hard,"[[0.028201004890112253, 0.0028402061303315095, 0.024583663724055186, 0.011416783684535784, 0.0009747886365998698, 0.003855599025960851, 0.13150877334775368, 0.0025605981495418315, 0.004423829577582, 0.018672638487311474], [0.09320515179895454, 0.019737382340528253, 0.009452555929556922, 0.04117109839394262, 0.03442516977617562, 0.05585722004991489, 0.10109116733843851, 0.03329516494167515, 0.026383465377617633, 0.020704694439626612], [0.028657345611624137, 0.001072916893533234, 0.007967682239537748, 0.00565858170788984, 0.002236223982877629, 0.010002465164964358, 0.050371595050473686, 0.008592453270004676, 0.001824207168992689, 0.003007533833174738], [0.003067715991203736, 0.00015198564662872468, 0.009011284307115477, 0.008818209315397648, 0.0003470406471659928, 0.0016327755521969225, 0.045526427894922665, 0.013428477423923533, 0.005159471269340748, 0.0189141942557676], [0.006462092657189763, 0.00032414056013940415, 0.0055974462904360735, 0.009460926424336245, 0.0007543539735952963, 0.02553400461238018, 0.04025718812251049, 0.0045283963416964, 0.016114298852398862, 0.001157608898366348]]","[[0.0018839524570970323, 0.00906037543705367, 0.026428447642149067, 0.011113554062258578, 0.01876381214655489, 0.012802110139461571, 0.012953846997290337, 0.023202969756391946, 0.014112361682454794, 0.025785716883787706], [0.011911168063932333, 0.030583328454232027, 0.02735513419503861, 0.023884242527547245, 0.01707464034179533, 0.018848349039390474, 0.020426224124010246, 0.023430071854392047, 0.007719578378300631, 0.02583765647648842], [0.008970862315328816, 0.005223322041663094, 0.022063751932868723, 0.006755748933144299, 0.013220894791039642, 0.005279208955807205, 0.040544338291587566, 0.01229400570517939, 0.026497445095676978, 0.006181780326705507], [0.009739506528491329, 0.01963310142862731, 0.020109978861486136, 0.01637779151702768, 0.04069751257737877, 0.006708678981316786, 0.008030245146532645, 0.03513934127343385, 0.05170166079211781, 0.023182201535756168], [0.03484688738932647, 0.04309646702856819, 0.029781706093629325, 0.06368773870914161, 0.021634398014496965, 0.023434819083531837, 0.009528692959634393, 0.004403495326541944, 0.00638843223959929, 0.021668445464733507]]"
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2543636122529566,0.25069613195970397,1,0.02999999999998848,0.030000000000000027,-1.1546319456101628e-14,0.4814375360823758,0.05798384385395715,0.0581971886470407,4.844098317913215e-06,9.68784384176693e-06,0.13949776846866332,0.16451923070688146,55.79910738746533,65.80769228275258,0.0,0.0,0.0,0.0,True,2026072601,2026072601:random_2x2_d0,easy,"[[0.26423071329066267, 0.13949776846866332], [0.24235169861890538, 0.35391981962176877]]","[[0.21291253416436204, 0.2736574976528604], [0.3489107374758962, 0.16451923070688146]]"
random_2x5_d2,1,2,2,5,250,1000,0.15,5.0,1.2,0.6367893500059991,0.6640852873452264,1,0.1499999999999999,0.15000000000000036,-4.440892098500626e-16,0.3669892870589832,0.25212264938544027,0.2385299682199042,0.12287226457787837,0.20862022015125598,0.01007545518272863,0.008876670836574922,2.5188637956821576,8.876670836574922,0.0,0.0,0.0,0.0,False,2026072601,2026072601:random_2x5_d2,hard,"[[0.046982199178312804, 0.10067994749562298, 0.14882217128751726, 0.01007545518272863, 0.052098248189573156], [0.11534649394686924, 0.06682030060428544, 0.04752315654124233, 0.08914645309857243, 0.32250557447527584]]","[[0.04396308290373364, 0.14069440741345648, 0.12454587105966185, 0.06792588773538798, 0.0739134899001257], [0.08710212094226778, 0.027648906222828736, 0.11133766588968852, 0.008876670836574922, 0.31399189709627445]]"
