name,r,c,n,skewness,rows,jidt_rows,median_emp_time_s,median_jidt_time_s,median_speedup_vs_jidt,med_abs_emp_vs_jidt,med_abs_gamma_vs_jidt,med_abs_chi2_dyn_vs_jidt,emp_closer_than_chi2_dyn,fpr_emp_10,fprerr_emp_10,fpr_gamma_10,fprerr_gamma_10,fpr_chi2_dyn_10,fprerr_chi2_dyn_10,fpr_chi2_nom_10,fprerr_chi2_nom_10,fpr_jidt_10,fprerr_jidt_10,fpr_emp_05,fprerr_emp_05,fpr_gamma_05,fprerr_gamma_05,fpr_chi2_dyn_05,fprerr_chi2_dyn_05,fpr_chi2_nom_05,fprerr_chi2_nom_05,fpr_jidt_05,fprerr_jidt_05,fpr_emp_01,fprerr_emp_01,fpr_gamma_01,fprerr_gamma_01,fpr_chi2_dyn_01,fprerr_chi2_dyn_01,fpr_chi2_nom_01,fprerr_chi2_nom_01,fpr_jidt_01,fprerr_jidt_01
100x50_N100000_extreme,100,50,100000,extreme,500,50,0.1387484374863561,0.9638937915151473,6.9333757859599086,0.012211288711288626,0.00980982618344183,0.4815,1.0,0.102,0.001999999999999988,0.1,0.0,0.0,0.1,0.0,0.1,0.16,0.06,0.064,0.013999999999999999,0.064,0.013999999999999999,0.0,0.05,0.0,0.05,0.12,0.06999999999999999,0.012,0.002,0.006,0.004,0.0,0.01,0.0,0.01,0.02,0.01
100x50_N100000_strong,100,50,100000,strong,500,50,0.21011731252656313,1.0011360214848537,4.727118057262456,0.014160839160839128,0.01294252252678818,0.6165,1.0,0.112,0.011999999999999997,0.114,0.013999999999999999,0.0,0.1,0.0,0.1,0.16,0.06,0.048,0.0020000000000000018,0.054,0.003999999999999997,0.0,0.05,0.0,0.05,0.1,0.05,0.014,0.004,0.014,0.004,0.0,0.01,0.0,0.01,0.06,0.049999999999999996
20x20_N1000_balanced,20,20,1000,balanced,500,50,0.00907339548575685,0.01232808301574545,1.3387230124063934,0.011540459540459569,0.009067085480469958,0.3904770444001824,1.0,0.1,0.0,0.092,0.008000000000000007,0.674,0.5740000000000001,0.674,0.5740000000000001,0.06,0.04000000000000001,0.048,0.0020000000000000018,0.048,0.0020000000000000018,0.544,0.49400000000000005,0.544,0.49400000000000005,0.02,0.030000000000000002,0.008,0.002,0.006,0.004,0.292,0.282,0.292,0.282,0.0,0.01
20x20_N1000_strong,20,20,1000,strong,500,50,0.00799814547644925,0.0096295834810007,1.194793847643888,0.010715784215784209,0.00986397022336405,0.5355,0.98,0.126,0.025999999999999995,0.128,0.027999999999999997,0.0,0.1,0.0,0.1,0.1,0.0,0.074,0.023999999999999994,0.076,0.025999999999999995,0.0,0.05,0.0,0.05,0.02,0.030000000000000002,0.016,0.006,0.014,0.004,0.0,0.01,0.0,0.01,0.0,0.01
20x20_N1000_zipf_strong,20,20,1000,zipf_strong,500,50,0.00900462496792895,0.01024887495441355,1.126554495977444,0.010156343656343658,0.008593887096068287,0.475,1.0,0.106,0.0059999999999999915,0.104,0.00399999999999999,0.0,0.1,0.0,0.1,0.1,0.0,0.044,0.006000000000000005,0.05,0.0,0.0,0.05,0.0,0.05,0.06,0.009999999999999995,0.014,0.004,0.012,0.002,0.0,0.01,0.0,0.01,0.04,0.03
50x20_N10000_balanced,50,20,10000,balanced,500,50,0.0593040829990059,0.0995071459910832,1.6819617769603332,0.012820179820179828,0.009470124956258985,0.13396563030775785,1.0,0.084,0.016,0.084,0.016,0.152,0.05199999999999999,0.152,0.05199999999999999,0.1,0.0,0.038,0.012000000000000004,0.04,0.010000000000000002,0.086,0.03599999999999999,0.086,0.03599999999999999,0.02,0.030000000000000002,0.006,0.004,0.006,0.004,0.024,0.014,0.024,0.014,0.0,0.01
50x20_N10000_extreme,50,20,10000,extreme,500,50,0.017725457990309147,0.1045904374914243,5.823167405536013,0.016631868131868094,0.017077376579423768,0.5775,1.0,0.098,0.0020000000000000018,0.096,0.0040000000000000036,0.0,0.1,0.0,0.1,0.06,0.04000000000000001,0.044,0.006000000000000005,0.042,0.008,0.0,0.05,0.0,0.05,0.04,0.010000000000000002,0.016,0.006,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01
50x20_N10000_strong,50,20,10000,strong,500,50,0.0378144165151752,0.10590989602496845,2.8073367563104776,0.010802697302697228,0.008000885804114378,0.46499999999999997,1.0,0.09,0.010000000000000009,0.092,0.008000000000000007,0.0,0.1,0.0,0.1,0.12,0.01999999999999999,0.064,0.013999999999999999,0.062,0.011999999999999997,0.0,0.05,0.0,0.05,0.1,0.05,0.012,0.002,0.014,0.004,0.0,0.01,0.0,0.01,0.02,0.01
50x20_N10000_x_balanced_y_strong,50,20,10000,x_balanced_y_strong,500,50,0.059423228987725396,0.08493756299139925,1.4257455771324055,0.008611388611388604,0.0070152261886786416,0.5112677907575895,1.0,0.104,0.00399999999999999,0.104,0.00399999999999999,0.994,0.894,0.994,0.894,0.12,0.01999999999999999,0.048,0.0020000000000000018,0.054,0.003999999999999997,0.974,0.9239999999999999,0.974,0.9239999999999999,0.04,0.010000000000000002,0.012,0.002,0.01,0.0,0.876,0.866,0.876,0.866,0.0,0.01
50x20_N10000_x_strong_y_zipf_strong,50,20,10000,x_strong_y_zipf_strong,500,50,0.04199839601642445,0.0845501244766637,1.9823140154731003,0.012778721278721233,0.010434609908467035,0.607,1.0,0.09,0.010000000000000009,0.09,0.010000000000000009,0.0,0.1,0.0,0.1,0.08,0.020000000000000004,0.046,0.0040000000000000036,0.046,0.0040000000000000036,0.0,0.05,0.0,0.05,0.04,0.010000000000000002,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.01
