configuration,family,split,seen_in_router_pilot,total_n,total_strata,informative_strata,lyapunov_ratio,max_variance_share,skewness,reference,exact_state_count,exact_state_upper_bound,exact_transition_upper_bound,router_route,moments_seconds,complexity_seconds,exact_seconds,cgf_build_seconds,cgf_components,cgf_unique_components,saddlepoint_pvalue_seconds,router_seconds,permutation_seconds,runtime_speedup_vs_permutation,saddlepoint_quantile_p_mae,saddlepoint_tail_quantile_p_mae,saddlepoint_quantile_max_error,saddlepoint_quantile_monotonicity_violations,saddlepoint_quantile_evaluations,saddlepoint_quantile_fallbacks,saddlepoint_quantile_numerical_failures,saddlepoint_quantile_guardrail_reasons,alpha,reference_fpr,saddlepoint_threshold,saddlepoint_threshold_evaluations,saddlepoint_threshold_guardrails,saddlepoint_threshold_numerical_failures,normal_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,saddlepoint_fpr,saddlepoint_fpr_error_vs_reference,saddlepoint_size_distortion,router_fpr,router_fpr_error_vs_reference,router_size_distortion,chi2_nominal_fpr,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k5_n3_balanced,homogeneous,development,True,15,5,5,0.5270462766947299,0.19999999999999998,0.31622776601683816,exact_convolution,6.0,6,30,exact_convolution,0.00047033303417265415,1.9000028260052204e-05,0.00013862503692507744,0.000437582959420979,5,1,0.000285950000397861,0.0006279580993577838,0.0070758749498054385,11.268068613243424,0.07540844137929982,0.013194358413696278,0.1749601431085786,0,6,2,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1}",0.1,0.04526748971193416,16.322836326605,5,2,0,0.04526748971193416,0.0,0.05473251028806585,0.04526748971193416,0.0,0.05473251028806585,0.04526748971193416,0.0,0.05473251028806585,0.04526748971193416,0.0,0.05473251028806585,0.04526748971193416,0.0,0.05473251028806585,0.5390946502057613,0.49382716049382713,0.4390946502057613,0.5390946502057613,0.49382716049382713,0.4390946502057613
homogeneous_k5_n3_balanced,homogeneous,development,True,15,5,5,0.5270462766947299,0.19999999999999998,0.31622776601683816,exact_convolution,6.0,6,30,exact_convolution,0.00047033303417265415,1.9000028260052204e-05,0.00013862503692507744,0.000437582959420979,5,1,0.000285950000397861,0.0006279580993577838,0.0070758749498054385,11.268068613243424,0.07540844137929982,0.013194358413696278,0.1749601431085786,0,6,2,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1}",0.05,0.04526748971193416,16.322836326605,5,2,0,0.04526748971193416,0.0,0.004732510288065844,0.04526748971193416,0.0,0.004732510288065844,0.04526748971193416,0.0,0.004732510288065844,0.04526748971193416,0.0,0.004732510288065844,0.04526748971193416,0.0,0.004732510288065844,0.20987654320987656,0.16460905349794241,0.15987654320987654,0.20987654320987656,0.16460905349794241,0.15987654320987654
homogeneous_k5_n3_balanced,homogeneous,development,True,15,5,5,0.5270462766947299,0.19999999999999998,0.31622776601683816,exact_convolution,6.0,6,30,exact_convolution,0.00047033303417265415,1.9000028260052204e-05,0.00013862503692507744,0.000437582959420979,5,1,0.000285950000397861,0.0006279580993577838,0.0070758749498054385,11.268068613243424,0.07540844137929982,0.013194358413696278,0.1749601431085786,0,6,2,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1}",0.01,0.00411522633744856,19.095425048845,5,2,0,0.00411522633744856,0.0,0.00588477366255144,0.00411522633744856,0.0,0.00588477366255144,0.00411522633744856,0.0,0.00588477366255144,0.00411522633744856,0.0,0.00588477366255144,0.00411522633744856,0.0,0.00588477366255144,0.04526748971193416,0.0411522633744856,0.03526748971193416,0.04526748971193416,0.0411522633744856,0.03526748971193416
homogeneous_k5_n3_balanced,homogeneous,development,True,15,5,5,0.5270462766947299,0.19999999999999998,0.31622776601683816,exact_convolution,6.0,6,30,exact_convolution,0.00047033303417265415,1.9000028260052204e-05,0.00013862503692507744,0.000437582959420979,5,1,0.000285950000397861,0.0006279580993577838,0.0070758749498054385,11.268068613243424,0.07540844137929982,0.013194358413696278,0.1749601431085786,0,6,2,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1}",0.001,0.0,,1,1,0,0.00411522633744856,0.00411522633744856,0.00311522633744856,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001
homogeneous_k5_n5_balanced,homogeneous,development,False,25,5,5,0.76262619664307,0.2,0.5717604047575061,exact_convolution,21.0,21,105,exact_convolution,0.00011004193220287561,2.1209008991718292e-05,5.5125099606812e-05,0.00011512497439980507,5,1,0.0003264040919020772,0.0001863760408014059,0.006967124994844198,37.38208497662025,0.027177109403167202,0.007136939619829361,0.10739515677334222,0,17,1,0,"{""exact_lower_endpoint"": 1}",0.1,0.09874,14.55515830162,7,2,0,0.09874,0.0,0.0012600000000000111,0.09874,0.0,0.0012600000000000111,0.09874,0.0,0.0012600000000000111,0.09874,0.0,0.0012600000000000111,0.09874,0.0,0.0012600000000000111,0.37144,0.2727,0.27144,0.37144,0.2727,0.27144
homogeneous_k5_n5_balanced,homogeneous,development,False,25,5,5,0.76262619664307,0.2,0.5717604047575061,exact_convolution,21.0,21,105,exact_convolution,0.00011004193220287561,2.1209008991718292e-05,5.5125099606812e-05,0.00011512497439980507,5,1,0.0003264040919020772,0.0001863760408014059,0.006967124994844198,37.38208497662025,0.027177109403167202,0.007136939619829361,0.10739515677334222,0,17,1,0,"{""exact_lower_endpoint"": 1}",0.05,0.031509999999999996,18.374243311389,6,2,0,0.06391,0.0324,0.013909999999999992,0.031509999999999996,0.0,0.018490000000000006,0.031509999999999996,0.0,0.018490000000000006,0.031509999999999996,0.0,0.018490000000000006,0.031509999999999996,0.0,0.018490000000000006,0.24184000000000003,0.21033000000000002,0.19184,0.24184000000000003,0.21033000000000002,0.19184
homogeneous_k5_n5_balanced,homogeneous,development,False,25,5,5,0.76262619664307,0.2,0.5717604047575061,exact_convolution,21.0,21,105,exact_convolution,0.00011004193220287561,2.1209008991718292e-05,5.5125099606812e-05,0.00011512497439980507,5,1,0.0003264040919020772,0.0001863760408014059,0.006967124994844198,37.38208497662025,0.027177109403167202,0.007136939619829361,0.10739515677334222,0,17,1,0,"{""exact_lower_endpoint"": 1}",0.01,0.007659999999999998,22.193328321158,7,2,0,0.02746,0.019799999999999998,0.017459999999999996,0.007659999999999998,0.0,0.002340000000000002,0.0076599999999999975,8.673617379884035e-19,0.0023400000000000027,0.0076599999999999975,8.673617379884035e-19,0.0023400000000000027,0.007659999999999998,0.0,0.002340000000000002,0.09631,0.08865,0.08631000000000001,0.09631,0.08865,0.08631000000000001
homogeneous_k5_n5_balanced,homogeneous,development,False,25,5,5,0.76262619664307,0.2,0.5717604047575061,exact_convolution,21.0,21,105,exact_convolution,0.00011004193220287561,2.1209008991718292e-05,5.5125099606812e-05,0.00011512497439980507,5,1,0.0003264040919020772,0.0001863760408014059,0.006967124994844198,37.38208497662025,0.027177109403167202,0.007136939619829361,0.10739515677334222,0,17,1,0,"{""exact_lower_endpoint"": 1}",0.001,0.00045999999999999996,26.012413330927,6,2,0,0.004959999999999999,0.004499999999999999,0.003959999999999999,0.0013599999999999999,0.0009,0.00035999999999999986,0.00046,5.421010862427522e-20,0.00054,0.0013599999999999999,0.0009,0.00035999999999999986,0.00045999999999999996,0.0,0.0005400000000000001,0.007659999999999998,0.007199999999999998,0.006659999999999998,0.007659999999999998,0.007199999999999998,0.006659999999999998
homogeneous_k5_n5_x_skew,homogeneous,development,False,25,5,5,0.47469288317114383,0.19999999999999998,0.18257418583505508,exact_convolution,6.0,6,30,exact_convolution,0.00010916602332144976,1.3708020560443401e-05,2.26249685510993e-05,9.1583002358675e-05,5,1,0.0003675500047393143,0.00014549901243299246,0.007002374972216785,48.1266151235331,0.07795555949946283,0.023800721738105733,0.17517942700650813,0,6,3,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1, ""near_mean_edgeworth"": 1}",0.1,0.08703999999999999,10.110681278181,5,3,0,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013,0.08703999999999999,0.0,0.012960000000000013
homogeneous_k5_n5_x_skew,homogeneous,development,False,25,5,5,0.47469288317114383,0.19999999999999998,0.18257418583505508,exact_convolution,6.0,6,30,exact_convolution,0.00010916602332144976,1.3708020560443401e-05,2.26249685510993e-05,9.1583002358675e-05,5,1,0.0003675500047393143,0.00014549901243299246,0.007002374972216785,48.1266151235331,0.07795555949946283,0.023800721738105733,0.17517942700650813,0,6,3,0,"{""exact_lower_endpoint"": 1, ""exact_upper_endpoint"": 1, ""near_mean_edgeworth"": 1}",0.05,0.010239999999999999,10.110681278181,5,3,0,0.08703999999999999,0.0768,0.03703999999999999,0.08703999999999999,0.0768,0.03703999999999999,0.08703999999999999,0.0768,0.03703999999999999,0.08703999999999999,0.0768,0.03703999999999999,0.010239999999999999,0.0,0.039760000000000004,0.010239999999999999,0.0,0.039760000000000004,0.010239999999999999,0.0,0.039760000000000004
