configuration,family,description,total_n,total_strata,informative_strata,reference,exact_status,exact_state_count,mean,variance,skewness,fourth_cumulant,lyapunov_ratio,max_variance_share,total_support_width,min_expected_count,fraction_expected_below_1,fraction_expected_below_5,degenerate_fraction,moment_seconds,exact_seconds,reference_sampling_seconds,permutation_seconds,permutations,runtime_speedup_vs_permutation,normal_p_mae,edgeworth_p_mae,chi2_nominal_p_mae,chi2_informative_p_mae,normal_tail_p_mae,edgeworth_tail_p_mae,chi2_nominal_tail_p_mae,chi2_informative_tail_p_mae,normal_tail_max_error,edgeworth_tail_max_error,chi2_nominal_tail_max_error,chi2_informative_tail_max_error,normal_monotonicity_violations,edgeworth_monotonicity_violations,alpha,reference_fpr,normal_fpr,edgeworth_fpr,cornish_fisher_fpr,chi2_nominal_fpr,chi2_informative_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.00034795806277543306,0.00020287500228732824,0.0008217080030590296,0.007172291981987655,1000,20.612518430465414,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.1,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.5390946502057613,0.5390946502057613,0.0,0.05473251028806585,0.0,0.05473251028806585,0.0,0.05473251028806585,0.49382716049382713,0.4390946502057613,0.49382716049382713,0.4390946502057613
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.00034795806277543306,0.00020287500228732824,0.0008217080030590296,0.007172291981987655,1000,20.612518430465414,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.05,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.20987654320987656,0.20987654320987656,0.0,0.004732510288065844,0.0,0.004732510288065844,0.0,0.004732510288065844,0.16460905349794241,0.15987654320987654,0.16460905349794241,0.15987654320987654
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.00034795806277543306,0.00020287500228732824,0.0008217080030590296,0.007172291981987655,1000,20.612518430465414,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.01,0.00411522633744856,0.00411522633744856,0.00411522633744856,0.00411522633744856,0.04526748971193416,0.04526748971193416,0.0,0.00588477366255144,0.0,0.00588477366255144,0.0,0.00588477366255144,0.0411522633744856,0.03526748971193416,0.0411522633744856,0.03526748971193416
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.00034795806277543306,0.00020287500228732824,0.0008217080030590296,0.007172291981987655,1000,20.612518430465414,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.001,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.00411522633744856,0.00311522633744856,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
homogeneous_k5_n10_balanced,homogeneous,"5 equal strata of size 10; p_x=0.50, p_y=0.50",50,5,5,exact_convolution,available,21.0,5.972474175533944,15.877980896858999,1.5393106780576904,922.0897700936325,1.6015776340159165,0.2,30,2.5,0.0,1.0,0.0,0.00029170792549848557,0.0003224170068278909,0.0027030830970034003,0.00743449991568923,1000,25.486108760962775,0.11865636045221906,0.16272514708369154,0.21492574603023412,0.21492574603023412,0.033039534414401814,0.0071531709934522444,0.045273332865583556,0.045273332865583556,0.040528102567271504,0.018077965326773915,0.0646616833679603,0.0646616833679603,0,0,0.1,0.09471541899883468,0.09471541899883468,0.09471541899883468,0.09471541899883468,0.09471541899883468,0.09471541899883468,0.0,0.005284581001165328,0.0,0.005284581001165328,0.0,0.005284581001165328,0.0,0.005284581001165328,0.0,0.005284581001165328
homogeneous_k5_n10_balanced,homogeneous,"5 equal strata of size 10; p_x=0.50, p_y=0.50",50,5,5,exact_convolution,available,21.0,5.972474175533944,15.877980896858999,1.5393106780576904,922.0897700936325,1.6015776340159165,0.2,30,2.5,0.0,1.0,0.0,0.00029170792549848557,0.0003224170068278909,0.0027030830970034003,0.00743449991568923,1000,25.486108760962775,0.11865636045221906,0.16272514708369154,0.21492574603023412,0.21492574603023412,0.033039534414401814,0.0071531709934522444,0.045273332865583556,0.045273332865583556,0.040528102567271504,0.018077965326773915,0.0646616833679603,0.0646616833679603,0,0,0.05,0.04551517003138004,0.04551517003138004,0.04551517003138004,0.04551517003138004,0.09471541899883468,0.09471541899883468,0.0,0.004484829968619965,0.0,0.004484829968619965,0.0,0.004484829968619965,0.04920024896745464,0.044715418998834675,0.04920024896745464,0.044715418998834675
homogeneous_k5_n10_balanced,homogeneous,"5 equal strata of size 10; p_x=0.50, p_y=0.50",50,5,5,exact_convolution,available,21.0,5.972474175533944,15.877980896858999,1.5393106780576904,922.0897700936325,1.6015776340159165,0.2,30,2.5,0.0,1.0,0.0,0.00029170792549848557,0.0003224170068278909,0.0027030830970034003,0.00743449991568923,1000,25.486108760962775,0.11865636045221906,0.16272514708369154,0.21492574603023412,0.21492574603023412,0.033039534414401814,0.0071531709934522444,0.045273332865583556,0.045273332865583556,0.040528102567271504,0.018077965326773915,0.0646616833679603,0.0646616833679603,0,0,0.01,0.007876979571277235,0.04551517003138004,0.02362105924086272,0.007569478015230643,0.04551517003138004,0.04551517003138004,0.037638190460102805,0.035515170031380036,0.015744079669585485,0.013621059240862718,0.00030750155604659154,0.002430521984769357,0.037638190460102805,0.035515170031380036,0.037638190460102805,0.035515170031380036
homogeneous_k5_n10_balanced,homogeneous,"5 equal strata of size 10; p_x=0.50, p_y=0.50",50,5,5,exact_convolution,available,21.0,5.972474175533944,15.877980896858999,1.5393106780576904,922.0897700936325,1.6015776340159165,0.2,30,2.5,0.0,1.0,0.0,0.00029170792549848557,0.0003224170068278909,0.0027030830970034003,0.00743449991568923,1000,25.486108760962775,0.11865636045221906,0.16272514708369154,0.21492574603023412,0.21492574603023412,0.033039534414401814,0.0071531709934522444,0.045273332865583556,0.045273332865583556,0.040528102567271504,0.018077965326773915,0.0646616833679603,0.0646616833679603,0,0,0.001,0.0006814431597869931,0.02362105924086272,0.007569478015230643,0.0006814431597869931,0.007569478015230643,0.007569478015230643,0.022939616081075725,0.022621059240862718,0.00688803485544365,0.006569478015230643,0.0,0.0003185568402130069,0.00688803485544365,0.006569478015230643,0.00688803485544365,0.006569478015230643
homogeneous_k5_n10_x_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.50",50,5,0,exact_convolution,available,1.0,7.488176162235431,0.0,0.0,0.0,0.0,0.0,10,0.5,0.5,1.0,1.0,0.0002542500151321292,0.0002102500293403864,0.0010142920073121786,0.007455417071469128,1000,29.323172577176372,0.0,0.0,0.8132093058369304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1
homogeneous_k5_n10_x_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.50",50,5,0,exact_convolution,available,1.0,7.488176162235431,0.0,0.0,0.0,0.0,0.0,10,0.5,0.5,1.0,1.0,0.0002542500151321292,0.0002102500293403864,0.0010142920073121786,0.007455417071469128,1000,29.323172577176372,0.0,0.0,0.8132093058369304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05
