configuration,k,average_n,total_n,margin_pattern,z_pattern,replicates,mean_informative_strata,mean_lyapunov_ratio,mean_max_variance_share,zero_variance_fraction,method_seconds,method_seconds_per_table,conditional_mc_seconds_per_table,runtime_speedup_vs_conditional_mc,conditional_mc_anchor_count,conditional_mc_samples,normal_anchor_p_mae,edgeworth_anchor_p_mae,chi2_nominal_anchor_p_mae,chi2_informative_anchor_p_mae,alpha,normal_fpr,normal_size_distortion,edgeworth_fpr,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_size_distortion,chi2_nominal_fpr,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_size_distortion,conditional_mc_fpr,conditional_mc_size_distortion
k10_n5_balanced_fixed_equal,10,5,50,balanced,fixed_equal,5000,8.7748,0.7407819203327017,0.2292812394339621,0.0,0.03431775001809001,6.863550003618002e-06,0.00041774083045311274,60.86366825227584,100,1000,0.02204535010324886,0.02604461631694233,0.2788727335483683,0.35164359652095606,0.1,0.119,0.01899999999999999,0.1068,0.0068000000000000005,0.1098,0.00979999999999999,0.3126,0.21259999999999998,0.4156,0.3156,0.09,0.010000000000000009
k10_n5_balanced_fixed_equal,10,5,50,balanced,fixed_equal,5000,8.7748,0.7407819203327017,0.2292812394339621,0.0,0.03431775001809001,6.863550003618002e-06,0.00041774083045311274,60.86366825227584,100,1000,0.02204535010324886,0.02604461631694233,0.2788727335483683,0.35164359652095606,0.05,0.0728,0.0228,0.0516,0.0015999999999999973,0.0532,0.0031999999999999945,0.1944,0.14439999999999997,0.2664,0.21640000000000004,0.03,0.020000000000000004
k10_n5_balanced_fixed_equal,10,5,50,balanced,fixed_equal,5000,8.7748,0.7407819203327017,0.2292812394339621,0.0,0.03431775001809001,6.863550003618002e-06,0.00041774083045311274,60.86366825227584,100,1000,0.02204535010324886,0.02604461631694233,0.2788727335483683,0.35164359652095606,0.01,0.0216,0.011600000000000001,0.0106,0.0005999999999999998,0.0086,0.0014000000000000002,0.0454,0.0354,0.0784,0.0684,0.0,0.01
k10_n5_balanced_random_uniform,10,5,50,balanced,random_uniform,5000,6.6162,0.8298743325126278,0.2717018794782819,0.0,0.1264791670255363,2.529583340510726e-05,0.0004025470791384578,15.91357251179489,100,1000,0.023142407663686092,0.023682528043712306,0.17831009540257844,0.3561042805002871,0.1,0.1124,0.012399999999999994,0.1,0.0,0.1032,0.0031999999999999945,0.2184,0.1184,0.5534,0.4534,0.1,0.0
k10_n5_balanced_random_uniform,10,5,50,balanced,random_uniform,5000,6.6162,0.8298743325126278,0.2717018794782819,0.0,0.1264791670255363,2.529583340510726e-05,0.0004025470791384578,15.91357251179489,100,1000,0.023142407663686092,0.023682528043712306,0.17831009540257844,0.3561042805002871,0.05,0.066,0.016,0.0494,0.0006000000000000033,0.0522,0.0022000000000000006,0.1196,0.0696,0.3792,0.3292,0.07,0.020000000000000004
k10_n5_balanced_random_uniform,10,5,50,balanced,random_uniform,5000,6.6162,0.8298743325126278,0.2717018794782819,0.0,0.1264791670255363,2.529583340510726e-05,0.0004025470791384578,15.91357251179489,100,1000,0.023142407663686092,0.023682528043712306,0.17831009540257844,0.3561042805002871,0.01,0.0242,0.014199999999999999,0.0104,0.0003999999999999993,0.0078,0.0022000000000000006,0.0244,0.014400000000000001,0.1294,0.11939999999999999,0.01,0.0
k10_n5_both_skew_fixed_equal,10,5,50,both_skew,fixed_equal,5000,1.6878,1.1017445876050396,0.6246083774803073,0.1592,0.027893624966964126,5.578724993392825e-06,0.0005206329200882465,93.32471500295483,100,1000,0.17644543189791206,0.19072335797002965,0.16660357439649448,0.34537838680008853,0.1,0.102,0.001999999999999988,0.09,0.010000000000000009,0.0912,0.008800000000000002,0.0006,0.0994,0.1678,0.0678,0.02,0.08
k10_n5_both_skew_fixed_equal,10,5,50,both_skew,fixed_equal,5000,1.6878,1.1017445876050396,0.6246083774803073,0.1592,0.027893624966964126,5.578724993392825e-06,0.0005206329200882465,93.32471500295483,100,1000,0.17644543189791206,0.19072335797002965,0.16660357439649448,0.34537838680008853,0.05,0.0866,0.036599999999999994,0.0252,0.024800000000000003,0.029,0.021,0.0002,0.049800000000000004,0.0886,0.038599999999999995,0.02,0.030000000000000002
k10_n5_both_skew_fixed_equal,10,5,50,both_skew,fixed_equal,5000,1.6878,1.1017445876050396,0.6246083774803073,0.1592,0.027893624966964126,5.578724993392825e-06,0.0005206329200882465,93.32471500295483,100,1000,0.17644543189791206,0.19072335797002965,0.16660357439649448,0.34537838680008853,0.01,0.0112,0.0011999999999999997,0.0018,0.0082,0.0008,0.0092,0.0,0.01,0.0086,0.0014000000000000002,0.0,0.01
k10_n5_both_skew_random_uniform,10,5,50,both_skew,random_uniform,5000,1.6464,1.316074481131769,0.6472543133353854,0.1404,0.07337412494234741,1.4674824988469482e-05,0.0003134329104796052,21.35854504063117,100,1000,0.18892242044320626,0.22199069159419133,0.16111550330214267,0.35880878948920014,0.1,0.1306,0.03059999999999999,0.1144,0.014399999999999996,0.1214,0.02139999999999999,0.0012,0.0988,0.188,0.088,0.02,0.08
