cohort,domain,candidate,reference,metric,population_clusters,mean_paired_difference,ci95_low,ci95_high,candidate_better_fraction,tied_fraction
development,all,ratio_ge_4,normal,selection_score,108,-0.2912848303401276,-0.42420002959432934,-0.17715365750062148,0.38746438746438744,0.49786324786324787
development,all,ratio_ge_4,normal,absolute_error_05,108,-0.005496121635115497,-0.008159246846849195,-0.003317421799603624,0.3547008547008547,0.5163817663817664
development,all,ratio_ge_4,normal,absolute_error_01,108,-0.004726472279779454,-0.00694671146007119,-0.0029097612954551047,0.36396011396011396,0.5591168091168092
development,all,ratio_ge_2,normal,selection_score,108,-0.34239186900427265,-0.5002591668579053,-0.21131404315685132,0.5477207977207977,0.25213675213675213
development,all,ratio_ge_2,normal,absolute_error_05,108,-0.0065071945967386515,-0.0096454430735891,-0.0038590570160713057,0.5049857549857549,0.28561253561253563
development,all,ratio_ge_2,normal,absolute_error_01,108,-0.005546398460737722,-0.008093351676383314,-0.003422682886385952,0.5085470085470085,0.3482905982905983
development,all,ratio_ge_2,ratio_ge_4,selection_score,108,-0.051107038664145024,-0.07517173813086972,-0.03130360090475547,0.16025641025641027,0.7542735042735043
development,all,ratio_ge_2,ratio_ge_4,absolute_error_05,108,-0.0010110729616231544,-0.0015466871409393922,-0.0005691342344757471,0.1502849002849003,0.7692307692307693
development,all,ratio_ge_2,ratio_ge_4,absolute_error_01,108,-0.0008199261809582699,-0.001183032805976371,-0.0005152297450106109,0.14458689458689458,0.7891737891737892
development,all,expanded_fallback,ratio_ge_2,selection_score,108,0.0011096647066091427,-0.0005713077103520196,0.00288023269255308,0.02564102564102564,0.9387464387464387
development,all,expanded_fallback,ratio_ge_2,absolute_error_05,108,9.431237523053721e-05,2.341921753135878e-05,0.0001745607354185181,0.02564102564102564,0.9408831908831908
development,all,expanded_fallback,ratio_ge_2,absolute_error_01,108,3.3308190860754193e-06,-2.041404746815567e-05,2.659830582342273e-05,0.019230769230769232,0.9551282051282052
development,exclude_support_instability,ratio_ge_4,normal,selection_score,96,-0.2036030982905983,-0.31092534722222226,-0.11722923344017096,0.3613782051282051,0.5120192307692307
development,exclude_support_instability,ratio_ge_4,normal,absolute_error_05,96,-0.003955395299145299,-0.006035289797008547,-0.0022048143696581203,0.3229166666666667,0.5328525641025641
development,exclude_support_instability,ratio_ge_4,normal,absolute_error_01,96,-0.0032809829059829063,-0.005,-0.0018538528311965818,0.3349358974358974,0.5809294871794872
development,exclude_support_instability,ratio_ge_2,normal,selection_score,96,-0.2378688872074167,-0.36225095916498523,-0.13437616551938256,0.5072115384615384,0.27403846153846156
development,exclude_support_instability,ratio_ge_2,normal,absolute_error_05,96,-0.004645574165747557,-0.007113254936919855,-0.002530174946581196,0.4583333333333333,0.31169871794871795
development,exclude_support_instability,ratio_ge_2,normal,absolute_error_01,96,-0.0038282629109988226,-0.005854467256535654,-0.0021533140164420907,0.46474358974358976,0.38060897435897434
development,exclude_support_instability,ratio_ge_2,ratio_ge_4,selection_score,96,-0.034265788916818425,-0.05308242081406052,-0.018539457107141125,0.14583333333333334,0.7620192307692307
development,exclude_support_instability,ratio_ge_2,ratio_ge_4,absolute_error_05,96,-0.0006901788666022575,-0.0011354391968797287,-0.00032237580128205103,0.13541666666666666,0.7788461538461539
development,exclude_support_instability,ratio_ge_2,ratio_ge_4,absolute_error_01,96,-0.0005472800050159171,-0.0008424366125959366,-0.00030074140409694974,0.12980769230769232,0.7996794871794872
development,exclude_support_instability,expanded_fallback,ratio_ge_2,selection_score,96,0.0008458591711049812,-0.001083916205728495,0.002803687795008019,0.026442307692307692,0.9399038461538461
development,exclude_support_instability,expanded_fallback,ratio_ge_2,absolute_error_05,96,8.054023069149482e-05,5.547991940488554e-06,0.00016685936695053484,0.026442307692307692,0.9423076923076923
development,exclude_support_instability,expanded_fallback,ratio_ge_2,absolute_error_01,96,8.091372838006624e-07,-2.5091907652597583e-05,2.6187422582637765e-05,0.019230769230769232,0.9567307692307693
development,regular_support,ratio_ge_4,normal,selection_score,84,-0.08857142857142856,-0.12403014346764347,-0.056956501831501825,0.3324175824175824,0.5302197802197802
development,regular_support,ratio_ge_4,normal,absolute_error_05,84,-0.001659340659340659,-0.002361736874236874,-0.001020726495726496,0.2893772893772894,0.5540293040293041
development,regular_support,ratio_ge_4,normal,absolute_error_01,84,-0.0014395604395604396,-0.0020253510378510377,-0.0009322344322344325,0.3021978021978022,0.608058608058608
development,regular_support,ratio_ge_2,normal,selection_score,84,-0.10163308913308912,-0.14312034493284492,-0.06615644078144078,0.4661172161172161,0.3021978021978022
development,regular_support,ratio_ge_2,normal,absolute_error_05,84,-0.0018803418803418797,-0.0026947496947496937,-0.0011312499999999994,0.41117216117216115,0.34523809523809523
development,regular_support,ratio_ge_2,normal,absolute_error_01,84,-0.0016565934065934066,-0.002304967948717949,-0.00107232905982906,0.4194139194139194,0.42124542124542125
development,regular_support,ratio_ge_2,ratio_ge_4,selection_score,84,-0.013061660561660561,-0.019795787545787542,-0.007203830891330891,0.1336996336996337,0.771978021978022
development,regular_support,ratio_ge_2,ratio_ge_4,absolute_error_05,84,-0.00022100122100122076,-0.00039103327228327193,-6.288156288156277e-05,0.12179487179487179,0.7912087912087912
development,regular_support,ratio_ge_2,ratio_ge_4,absolute_error_01,84,-0.00021703296703296703,-0.0003195970695970696,-0.0001263659951159952,0.11721611721611722,0.8131868131868132
development,regular_support,expanded_fallback,ratio_ge_2,selection_score,84,-0.0007875457875457868,-0.0024328449328449315,0.0008150946275946267,0.029304029304029304,0.9423076923076923
development,regular_support,expanded_fallback,ratio_ge_2,absolute_error_05,84,1.7399267399267456e-05,-3.236416361416357e-05,6.960470085470085e-05,0.026556776556776556,0.945054945054945
development,regular_support,expanded_fallback,ratio_ge_2,absolute_error_01,84,-1.923076923076923e-05,-4.487179487179487e-05,4.281135531135429e-06,0.021062271062271064,0.9606227106227107
holdout,all,ratio_ge_4,normal,selection_score,108,-0.2979959685635303,-0.43419954275589456,-0.18560417713671654,0.391025641025641,0.5106837606837606
holdout,all,ratio_ge_4,normal,absolute_error_05,108,-0.005475338657327019,-0.008214290779593066,-0.0033764245960985545,0.36182336182336183,0.5277777777777778
holdout,all,ratio_ge_4,normal,absolute_error_01,108,-0.004864851639805202,-0.007104646350205818,-0.003068054121637421,0.3596866096866097,0.5698005698005698
holdout,all,ratio_ge_2,normal,selection_score,108,-0.3533296451502945,-0.5116305658734184,-0.22313517607652567,0.5548433048433048,0.27350427350427353
holdout,all,ratio_ge_2,normal,absolute_error_05,108,-0.00663343650567386,-0.009885761639631917,-0.004094965823609416,0.51994301994302,0.2948717948717949
holdout,all,ratio_ge_2,normal,absolute_error_01,108,-0.005739905601871119,-0.008334105092890155,-0.00365805340858544,0.5078347578347578,0.37037037037037035
holdout,all,ratio_ge_2,ratio_ge_4,selection_score,108,-0.05533367658676423,-0.07664864886082046,-0.03656041816976576,0.16381766381766383,0.7628205128205128
holdout,all,ratio_ge_2,ratio_ge_4,absolute_error_05,108,-0.0011580978483468401,-0.0017111260092386874,-0.0007018692446501765,0.1581196581196581,0.7670940170940171
holdout,all,ratio_ge_2,ratio_ge_4,absolute_error_01,108,-0.0008750539620659165,-0.001201765207744008,-0.0005825216149893587,0.14814814814814814,0.8005698005698005
