cohort,ratio,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,1,normal,Always Normal Wald,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,expanded_no_fallback,Always Expanded Welch,108,0.9825,1.0,0.23396080083032267,0.046029939003415926,0.008920678280534682,0.005666666666666667,0.01883333333333333,0.05,0.0085867927201493,0.0028950803604995187,0.0021666666666666666,0.006333333333333332,0.01
development,1,expanded_fallback,Expanded with Wald fallback,108,0.9962191358024691,0.9839938362002706,0.2224978444905894,0.04671117361907365,0.00823944366487697,0.005666666666666667,0.017866666666666663,0.043824619184849735,0.008679413324645087,0.002802068156836395,0.0021666666666666666,0.006099999999999999,0.01
development,1,ratio_ge_2,Expanded if ratio >= 2,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_3,Expanded if ratio >= 3,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4,Expanded if ratio >= 4,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_6,Expanded if ratio >= 6,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_10,Expanded if ratio >= 10,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
development,1,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,108,0.9962191358024691,0.0,0.20807220330467052,0.04984064625886582,0.007013382786879986,0.005333333333333329,0.016533333333333327,0.043824619184849735,0.009809133725850485,0.002758767508717414,0.002,0.006766666666666666,0.01
