cohort,regime,regime_label,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,well_sampled,Well sampled,normal,Always Normal Wald,156,1.0,0.0,0.20237179487179488,0.0494957264957265,0.005717948717948719,0.004333333333333335,0.01216666666666667,0.021999999999999992,0.011117521367521368,0.002903846153846154,0.0018333333333333335,0.006499999999999999,0.021666666666666667
development,well_sampled,Well sampled,expanded_no_fallback,Always Expanded Welch,156,1.0,1.0,0.14993589743589744,0.04593803418803419,0.005185897435897438,0.004666666666666666,0.010333333333333333,0.01633333333333334,0.00873931623931624,0.001961538461538462,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,expanded_fallback,Expanded with Wald fallback,156,1.0,1.0,0.14993589743589744,0.04593803418803419,0.005185897435897438,0.004666666666666666,0.010333333333333333,0.01633333333333334,0.00873931623931624,0.001961538461538462,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_2,Expanded if ratio >= 2,156,1.0,0.9230769230769231,0.14608974358974358,0.04613461538461539,0.005014957264957267,0.004666666666666666,0.009833333333333336,0.01633333333333334,0.008786324786324786,0.0019188034188034188,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_3,Expanded if ratio >= 3,156,1.0,0.7692307692307693,0.14177350427350427,0.04646153846153847,0.004722222222222223,0.004166666666666669,0.009500000000000005,0.014666666666666668,0.008938034188034188,0.0018910256410256414,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_4,Expanded if ratio >= 4,156,1.0,0.6153846153846154,0.14155982905982908,0.04691025641025641,0.004679487179487181,0.004166666666666666,0.009666666666666667,0.014666666666666668,0.009138888888888889,0.0018952991452991454,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_6,Expanded if ratio >= 6,156,1.0,0.46153846153846156,0.14632478632478632,0.04736538461538461,0.004707264957264958,0.004333333333333328,0.009333333333333336,0.014666666666666668,0.009433760683760685,0.001985042735042735,0.001666666666666667,0.004,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_10,Expanded if ratio >= 10,156,1.0,0.3076923076923077,0.1653846153846154,0.0479957264957265,0.005085470085470086,0.004333333333333335,0.00966666666666667,0.020666666666666667,0.00991025641025641,0.0022905982905982907,0.001666666666666667,0.0045,0.021666666666666667
development,well_sampled,Well sampled,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,156,1.0,0.6102371794871795,0.14175213675213677,0.04692094017094017,0.004677350427350429,0.004333333333333331,0.009666666666666667,0.014666666666666668,0.009143162393162393,0.0018995726495726496,0.001666666666666667,0.0038333333333333336,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,156,1.0,0.600741452991453,0.14226495726495728,0.04694017094017094,0.004675213675213677,0.004333333333333331,0.009666666666666667,0.014666666666666668,0.009153846153846153,0.0019102564102564106,0.001666666666666667,0.0038333333333333336,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,156,1.0,0.5889529914529914,0.14346153846153847,0.046955128205128205,0.004677350427350429,0.004333333333333331,0.009666666666666667,0.014666666666666668,0.009177350427350427,0.001933760683760684,0.001666666666666667,0.004,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,156,1.0,0.6152863247863248,0.14079059829059828,0.046912393162393165,0.004677350427350429,0.004166666666666666,0.009666666666666667,0.014666666666666668,0.009158119658119657,0.0018803418803418803,0.001666666666666667,0.003666666666666667,0.009333333333333334
development,well_sampled,Well sampled,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,156,1.0,0.6147435897435898,0.14350427350427353,0.04694017094017094,0.004649572649572651,0.0040000000000000036,0.009666666666666667,0.014666666666666668,0.009294871794871795,0.00194017094017094,0.001666666666666667,0.0038333333333333336,0.009333333333333334
