configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_0003558e2ef57471,pair_bb0d270c06c57be5,3x3,3,3,same_skew,,,additive,first,0.02,0.025,0.019999999999999858,0.025000000000000328,0.005000000000000469,0.005000000000000469,50,100,20000,4377233141809755131
config_0007e6d799a5d588,pair_fc844d27f7ad1eda,3x3,3,3,different_skew,,,additive,first,0.03,0.02,0.03000000000000011,0.019999999999999858,-0.010000000000000252,0.010000000000000252,100,50,20000,11160991276479422689
config_000cd4accbe31faf,pair_0781fad02073b5c0,3x3,3,3,custom_extreme,0.99,0.995,additive,first,1e-05,6e-05,9.999999999872636e-06,6.000000000003047e-05,5.000000000015783e-05,5.000000000015783e-05,10000,10000,20000,1854494313619354327
config_001f81d34c1b821e,pair_f7bc22e75aacc70b,3x3,3,3,different_skew,,,additive,rare,0.0001,0.0001,0.0001000000000000523,9.999999999995212e-05,-1.0018028073766061e-16,1.0018028073766061e-16,1000,1000,20000,15357168278137260510
config_00359013490aeb20,pair_ba448d12d6824f36,5x5,5,5,same_skew,,,additive,first,0.02,0.021,0.019999999999999872,0.020999999999999852,0.00099999999999998,0.00099999999999998,250,250,20000,13080142096733581624
config_00d2cc8ab3b820a8,pair_4d27465cf0425ea3,5x5,5,5,uniform,,,additive,first,0.02,0.03,0.019999999999999993,0.029999999999999794,0.0099999999999998,0.0099999999999998,1000,1000,20000,8933061012307928862
config_00d6ac2fbc68a31f,pair_c67ddcfe92c8546c,3x5,3,5,same_skew,,,additive,first,0.02,0.025,0.01999999999999993,0.025,0.00500000000000007,0.00500000000000007,100,100,20000,12262455350870053506
config_010684da9fee7a90,pair_06056104d4051773,2x2,2,2,same_skew,,,additive,first,0.001,0.021,0.0010000000000000668,0.021000000000000026,0.01999999999999996,0.01999999999999996,1000,1000,20000,9757939234626813366
config_0111e5cba0cda0ed,pair_be82699e9841393d,2x2,2,2,uniform,,,additive,first,0.02,0.025,0.01999999999999985,0.024999999999999967,0.0050000000000001155,0.0050000000000001155,5,5,20000,13161666581341489891
config_01173a2bdde90cc0,pair_1d9f93247e70de8d,5x5,5,5,uniform,,,additive,first,0.02,0.022,0.019999999999999993,0.02199999999999998,0.001999999999999988,0.001999999999999988,50,50,20000,13540901472243109767
