configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,mean_degrees_of_freedom,median_degrees_of_freedom,p10_degrees_of_freedom,p90_degrees_of_freedom,coverage_95_valid,false_positive_count_10,true_negative_count_10,false_positive_rate_10,true_negative_rate_10,fpr_wilson_low_10,fpr_wilson_high_10,absolute_fpr_error_10,unconditional_rejection_rate_10,false_positive_count_05,true_negative_count_05,false_positive_rate_05,true_negative_rate_05,fpr_wilson_low_05,fpr_wilson_high_05,absolute_fpr_error_05,unconditional_rejection_rate_05,false_positive_count_01,true_negative_count_01,false_positive_rate_01,true_negative_rate_01,fpr_wilson_low_01,fpr_wilson_high_01,absolute_fpr_error_01,unconditional_rejection_rate_01
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,50000,49851,149,0.99702,149,0,0,0,0,inf,inf,inf,inf,0.8670036709393995,9720,40131,0.19498104350965878,0.8050189564903412,0.1915267542323335,0.19848233796147075,0.09498104350965877,0.1944,6630,43221,0.13299632906060058,0.8670036709393995,0.13004372934945052,0.13600548614703067,0.08299632906060057,0.1326,2930,46921,0.05877514994684159,0.9412248500531584,0.0567442578814046,0.06087403729789375,0.04877514994684159,0.0586
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,50000,49851,149,0.99702,149,0,0,0,0,14.269324731825893,15.117697596135592,9.0,17.97453199971567,0.9011855328880063,8154,41697,0.16356743094421375,0.8364325690557862,0.160346429863378,0.16684027821780234,0.06356743094421374,0.16308,4926,44925,0.09881446711199374,0.9011855328880063,0.09622573708150615,0.10146502213916976,0.048814467111993734,0.09852,1954,47897,0.039196806483320294,0.9608031935166798,0.03752846292117596,0.04093616246634658,0.029196806483320292,0.03908
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,50000,48612,1388,0.97224,149,1239,603,636,1239,8.11571784369973,4.417857055867281,0.7818293870472971,19.46919925193264,0.9523780136591788,5312,43300,0.10927343042870073,0.8907265695712993,0.10653088465015534,0.11207772398254404,0.009273430428700727,0.10624,2315,46297,0.047621986340821196,0.9523780136591788,0.04576432013956945,0.04955114329318257,0.002378013659178807,0.0463,0,48612,0.0,1.0,6.776263578034403e-21,7.901660663320976e-05,0.01,0.0
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,50000,50000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.95282,4966,45034,0.09932,0.90068,0.09672909987685102,0.10197246322211781,0.00068,0.09932,2359,47641,0.04718,0.95282,0.045356097451264205,0.04907347677873247,0.002820000000000003,0.04718,456,49544,0.00912,0.99088,0.008323648270971193,0.009991773746653401,0.0008800000000000006,0.00912
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,50000,50000,0,1.0,0,0,0,0,0,88.17197969204811,92.4507472712402,71.27113228762691,97.79258360794684,0.95624,4727,45273,0.09454,0.90546,0.09200654145904265,0.097135756070427,0.0054600000000000065,0.09454,2188,47812,0.04376,0.95624,0.04200175590023623,0.045588343800955604,0.0062400000000000025,0.04376,362,49638,0.00724,0.99276,0.006533807960103512,0.008021902913031868,0.0027600000000000003,0.00724
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,50000,49992,8,0.99984,0,8,3,5,8,20.68371376468664,16.781396080568534,7.214297578786718,38.04759916139873,0.9621139382301168,4162,45830,0.08325332053128501,0.916746679468715,0.08086350640071889,0.08570717659658518,0.016746679468714998,0.08324,1894,48098,0.037886061769883184,0.9621139382301168,0.03624765949310546,0.03959547761948544,0.01211393823011682,0.03788,325,49667,0.006501040166426628,0.9934989598335734,0.005833478772028198,0.00724443810550318,0.003498959833573372,0.0065
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,50000,50000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.94866,5153,44847,0.10306,0.89694,0.10042546728801671,0.10575552117286152,0.0030599999999999933,0.10306,2567,47433,0.05134,0.94866,0.04943983463030466,0.05330910043005112,0.001339999999999994,0.05134,519,49481,0.01038,0.98962,0.009528478036903872,0.011306750386069878,0.00038000000000000013,0.01038
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,50000,50000,0,1.0,0,0,0,0,0,1984.216816156047,1991.6575929245519,1960.2059349126926,1997.7839835594284,0.94868,5140,44860,0.1028,0.8972,0.10016846468779443,0.10549256372118636,0.002799999999999997,0.1028,2566,47434,0.05132,0.94868,0.049420192501295444,0.0532887456319913,0.0013199999999999948,0.05132,516,49484,0.01032,0.98968,0.009471024493251596,0.011244213148515052,0.0003199999999999991,0.01032
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,50000,50000,0,1.0,0,0,0,0,0,290.5646488049881,288.127537246629,241.96522801732849,342.3516623207494,0.94976,5089,44911,0.10178,0.89822,0.09916027493919771,0.10446091018926232,0.00177999999999999,0.10178,2512,47488,0.05024,0.94976,0.04835963982701928,0.05218946424453963,0.00023999999999999716,0.05024,501,49499,0.01002,0.98998,0.009183872430487579,0.010931411305243555,1.9999999999999185e-05,0.01002
C1_N3_n50,C1,N3,One skewed population,,,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,6.235945008409225,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[23.764054991590772, 11.235945008409224], [6.235945008409225, 8.764054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698,normal_wald,Normal Wald,50000,49999,1,0.99998,1,0,0,0,0,inf,inf,inf,inf,0.9696593931878638,3379,46620,0.06758135162703253,0.9324186483729675,0.06541408333104358,0.06981506088447738,0.03241864837296747,0.06758,1517,48482,0.030340606812136243,0.9696593931878638,0.02887286252545201,0.031880514086604646,0.01965939318786376,0.03034,265,49734,0.005300106002120043,0.99469989399788,0.004700564412763431,0.005975658042721097,0.004699893997879958,0.0053
