method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,50000,1.0,0.05764704093467903,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,50000
simple_welch,Simple Welch,50000,1.0,0.05858804664089293,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,50000
expanded_welch,Expanded Welch,50000,1.0,0.06856840408117125,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,50000
normal_wald,Normal Wald,50000,1.0,0.0023724601476137436,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,50000
simple_welch,Simple Welch,50000,1.0,0.002718411379480859,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,50000
expanded_welch,Expanded Welch,49973,0.99946,0.1155957743177529,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,50000
normal_wald,Normal Wald,50000,1.0,0.12340551015285675,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,50000
simple_welch,Simple Welch,50000,1.0,0.12472837904467941,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,50000
expanded_welch,Expanded Welch,50000,1.0,0.17115543653204268,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,50000
normal_wald,Normal Wald,50000,1.0,0.008180791845401499,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,50000
simple_welch,Simple Welch,50000,1.0,0.008464264613942809,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,50000
expanded_welch,Expanded Welch,49507,0.99014,0.05211396648826963,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,50000
normal_wald,Normal Wald,50000,1.0,0.21305204909917028,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,50000
simple_welch,Simple Welch,50000,1.0,0.21332998207585416,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,50000
expanded_welch,Expanded Welch,49998,0.99996,0.2908727879708779,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,50000
normal_wald,Normal Wald,49999,0.99998,1.984854039155044e-121,extreme_rare_np100_nq1000,PCAL_PCAL_extreme_rare_np100_nq1000_extreme_rare_np100_nq1000,extreme_rare,100,1000,50000
simple_welch,Simple Welch,49999,0.99998,4.171656655863121e-75,extreme_rare_np100_nq1000,PCAL_PCAL_extreme_rare_np100_nq1000_extreme_rare_np100_nq1000,extreme_rare,100,1000,50000
expanded_welch,Expanded Welch,37699,0.75398,0.034507773159011074,extreme_rare_np100_nq1000,PCAL_PCAL_extreme_rare_np100_nq1000_extreme_rare_np100_nq1000,extreme_rare,100,1000,50000
