configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,truth,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,reject_count_05,nonreject_count_05,false_positive_count_05,true_negative_count_05,true_positive_count_05,false_negative_count_05,false_positive_rate_05,true_negative_rate_05,true_positive_rate_05,false_negative_rate_05,nominal_rejection_rate_05,rejection_wilson_low_05,rejection_wilson_high_05,unconditional_rejection_rate_05,size_adjustment_p_threshold,size_adjusted_reject_count,size_adjusted_rejection_rate,size_adjusted_power,size_adjusted_fpr
P1_balanced_mild_di0p05_n200,P1,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,34.321840163503396,16.000395303691406,16.000395303691406,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[103.99960469630858, 36.0003953036914], [16.000395303691406, 43.999604696308594]]",0.09494241304247028,0.1822875754189648,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,13212,36788,,,13212,36788,,,0.26424,0.73576,0.26424,0.2603933873352739,0.26812283637495077,0.26424,0.05764704093467903,14295,0.2859,0.2859,
P1_balanced_mild_di0p05_n200,P1,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,34.321840163503396,16.000395303691406,16.000395303691406,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[103.99960469630858, 36.0003953036914], [16.000395303691406, 43.999604696308594]]",0.09494241304247028,0.1822875754189648,simple_welch,Simple Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,13086,36914,,,13086,36914,,,0.26172,0.73828,0.26172,0.25788547129084216,0.2655911396086843,0.26172,0.05858804664089293,14305,0.2861,0.2861,
P1_balanced_mild_di0p05_n200,P1,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np200_nq200,200,200,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,34.321840163503396,16.000395303691406,16.000395303691406,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[65.6781598364966, 34.321840163503396], [34.321840163503396, 65.6781598364966]]","[[103.99960469630858, 36.0003953036914], [16.000395303691406, 43.999604696308594]]",0.09494241304247028,0.1822875754189648,expanded_welch,Expanded Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,12219,37781,,,12219,37781,,,0.24438,0.75562,0.24438,0.24063314719381165,0.24816612793686219,0.24438,0.06856840408117125,14787,0.29574,0.29574,
P2_balanced_mild_di0p05_np50_nq500,P2,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq500,50,500,10.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,8.580460040875849,40.000988259228514,8.580460040875849,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[259.99901174077144, 90.0009882592285], [40.000988259228514, 109.99901174077148]]",0.09494241304247028,0.1822875754189648,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,16095,33905,,,16095,33905,,,0.3219,0.6780999999999999,0.3219,0.3178186606812585,0.3260087037689918,0.3219,0.0023724601476137436,7939,0.15878,0.15878,
P2_balanced_mild_di0p05_np50_nq500,P2,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq500,50,500,10.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,8.580460040875849,40.000988259228514,8.580460040875849,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[259.99901174077144, 90.0009882592285], [40.000988259228514, 109.99901174077148]]",0.09494241304247028,0.1822875754189648,simple_welch,Simple Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,15772,34228,,,15772,34228,,,0.31544,0.6845600000000001,0.31544,0.31138119004723874,0.3195271669597136,0.31544,0.002718411379480859,7817,0.15634,0.15634,
P2_balanced_mild_di0p05_np50_nq500,P2,balanced_mild_di0p05,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq500,50,500,10.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.09999802348154296,0.0499999999999996,0.09999999999994569,-0.04999999999994609,0.05,0.17160920081751696,0.08000197651845703,8.580460040875849,40.000988259228514,8.580460040875849,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[259.99901174077144, 90.0009882592285], [40.000988259228514, 109.99901174077148]]",0.09494241304247028,0.1822875754189648,expanded_welch,Expanded Welch,alternative,50000,49972,28,0.99944,0,28,28,0,28,4161,45811,,,4161,45811,,,0.08326662931241495,0.9167333706875851,0.08326662931241495,0.08087616635778029,0.08572115778494686,0.08322,0.1155957743177529,12449,0.24911950692387738,0.24911950692387738,
P1_sparse_di0p02_n200,P1,sparse_di0p02,Sparse power family,sparse,sparse_np200_nq200,200,200,1.0,0.1,0.1,0.05,0.2,1,1,0.014455728986972094,0.024469305999939357,0.009999999999969145,0.03000000000004649,-0.020000000000077345,0.02,0.024455728986972097,0.01553069400006065,4.89114579739442,3.10613880001213,3.10613880001213,"[[0.8244557289869722, 0.07554427101302792], [0.07554427101302792, 0.024455728986972097]]","[[0.7844693059999394, 0.16553069400006065], [0.01553069400006065, 0.03446930599993936]]","[[164.89114579739444, 15.108854202605585], [15.108854202605585, 4.89114579739442]]","[[156.89386119998787, 33.10613880001213], [3.10613880001213, 6.893861199987872]]",0.02434798744293218,0.06971969354602088,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,4957,45043,,,4957,45043,,,0.09914,0.90086,0.09914,0.09655122827656129,0.10179036247878623,0.09914,0.12340551015285675,11795,0.2359,0.2359,
P1_sparse_di0p02_n200,P1,sparse_di0p02,Sparse power family,sparse,sparse_np200_nq200,200,200,1.0,0.1,0.1,0.05,0.2,1,1,0.014455728986972094,0.024469305999939357,0.009999999999969145,0.03000000000004649,-0.020000000000077345,0.02,0.024455728986972097,0.01553069400006065,4.89114579739442,3.10613880001213,3.10613880001213,"[[0.8244557289869722, 0.07554427101302792], [0.07554427101302792, 0.024455728986972097]]","[[0.7844693059999394, 0.16553069400006065], [0.01553069400006065, 0.03446930599993936]]","[[164.89114579739444, 15.108854202605585], [15.108854202605585, 4.89114579739442]]","[[156.89386119998787, 33.10613880001213], [3.10613880001213, 6.893861199987872]]",0.02434798744293218,0.06971969354602088,simple_welch,Simple Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,4841,45159,,,4841,45159,,,0.09682,0.90318,0.09682,0.09425890131694953,0.09944304589839004,0.09682,0.12472837904467941,11795,0.2359,0.2359,
P1_sparse_di0p02_n200,P1,sparse_di0p02,Sparse power family,sparse,sparse_np200_nq200,200,200,1.0,0.1,0.1,0.05,0.2,1,1,0.014455728986972094,0.024469305999939357,0.009999999999969145,0.03000000000004649,-0.020000000000077345,0.02,0.024455728986972097,0.01553069400006065,4.89114579739442,3.10613880001213,3.10613880001213,"[[0.8244557289869722, 0.07554427101302792], [0.07554427101302792, 0.024455728986972097]]","[[0.7844693059999394, 0.16553069400006065], [0.01553069400006065, 0.03446930599993936]]","[[164.89114579739444, 15.108854202605585], [15.108854202605585, 4.89114579739442]]","[[156.89386119998787, 33.10613880001213], [3.10613880001213, 6.893861199987872]]",0.02434798744293218,0.06971969354602088,expanded_welch,Expanded Welch,alternative,50000,49999,1,0.99998,0,1,0,1,1,3232,46767,,,3232,46767,,,0.06464129282585651,0.9353587071741435,0.06464129282585651,0.06251924352272592,0.06683023482936362,0.06464,0.17115543653204268,12657,0.25314506290125804,0.25314506290125804,
P2_sparse_di0p02_np50_nq500,P2,sparse_di0p02,Sparse power family,sparse,sparse_np50_nq500,50,500,10.0,0.1,0.1,0.05,0.2,1,1,0.014455728986972094,0.024469305999939357,0.009999999999969145,0.03000000000004649,-0.020000000000077345,0.02,0.024455728986972097,0.01553069400006065,1.222786449348605,7.765347000030325,1.222786449348605,"[[0.8244557289869722, 0.07554427101302792], [0.07554427101302792, 0.024455728986972097]]","[[0.7844693059999394, 0.16553069400006065], [0.01553069400006065, 0.03446930599993936]]","[[41.22278644934861, 3.777213550651396], [3.777213550651396, 1.222786449348605]]","[[392.2346529999697, 82.76534700003033], [7.765347000030325, 17.23465299996968]]",0.02434798744293218,0.06971969354602088,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,17977,32023,,,17977,32023,,,0.35954,0.64046,0.35954,0.35534480822592995,0.3637567729682428,0.35954,0.008180791845401499,10556,0.21112,0.21112,
