method,method_label,alpha,configurations,mean_absolute_fpr_error,median_absolute_fpr_error,maximum_absolute_fpr_error,mean_fpr,minimum_valid_rate
bartlett_lr,Constrained LR (oracle Bartlett),0.01,39,0.0034819742819742826,0.0032000000000000006,0.01,0.007707769307769308,0.999
constrained_lr,Constrained LR (chi-squared),0.01,39,0.00509214342547676,0.004,0.01,0.005789907856574523,0.999
empirical_lr,Constrained LR (split empirical),0.01,39,0.0015895074561741228,0.0011999999999999997,0.0072,0.010133569466902798,0.999
expanded_welch,Expanded Welch,0.01,39,0.00933444284104566,0.007987522640370295,0.07486789431545236,0.0088250686344977,0.5344
normal_wald,Normal Wald,0.01,39,0.04245976588990121,0.01,0.18259999999999998,0.04683953015627709,0.943
simple_welch,Simple Welch,0.01,39,0.04097089675164827,0.01,0.18239999999999998,0.04469413992094481,0.943
bartlett_lr,Constrained LR (oracle Bartlett),0.05,39,0.010578491311824647,0.008199999999999999,0.0592,0.04403689330355996,0.999
constrained_lr,Constrained LR (chi-squared),0.05,39,0.02104750391417058,0.0174,0.048600000000000004,0.033109042375709045,0.999
empirical_lr,Constrained LR (split empirical),0.05,39,0.0039064911064911065,0.003600000000000006,0.010799999999999997,0.05002171402171402,0.999
expanded_welch,Expanded Welch,0.05,39,0.03286894887931497,0.032600000000000004,0.16757405924739793,0.03596556923210499,0.5344
normal_wald,Normal Wald,0.05,39,0.07615484612098061,0.0362,0.6404,0.10726442361732239,0.943
simple_welch,Simple Welch,0.05,39,0.07241702737951297,0.0364,0.6402,0.1025313799615341,0.943
bartlett_lr,Constrained LR (oracle Bartlett),0.1,39,0.010730823130823132,0.005600000000000008,0.0872,0.09717184877184877,0.999
constrained_lr,Constrained LR (chi-squared),0.1,39,0.03478799312132645,0.024800000000000003,0.0922,0.07560850594183928,0.999
empirical_lr,Constrained LR (split empirical),0.1,39,0.004874366674366674,0.0034000000000000002,0.01419999999999999,0.09926411026411024,0.999
expanded_welch,Expanded Welch,0.1,39,0.05916646035026332,0.053000000000000005,0.25715765485808995,0.06944702636473075,0.5344
normal_wald,Normal Wald,0.1,39,0.07948290012013655,0.05260000000000001,0.6044,0.14722247973361727,0.943
simple_welch,Simple Welch,0.1,39,0.075649962099178,0.05260000000000001,0.6042000000000001,0.1414401380098787,0.943
