configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C1_N0_n1000_scale0.5,0.01,6.634896601021215,1.01603112238168,6.7412614404219795,6.799161988940796,5000
LR_C1_N0_n1000_scale0.5,0.05,3.8414588206941205,1.01603112238168,3.903041717172852,3.8709471671868414,5000
LR_C1_N0_n1000_scale0.5,0.1,2.705543454095418,1.01603112238168,2.748916352316975,2.75711002109756,5000
LR_C1_N0_n1000_scale1,0.01,6.634896601021215,0.9634153783899195,6.392161419450845,6.254556175306789,5000
LR_C1_N0_n1000_scale1,0.05,3.8414588206941205,0.9634153783899195,3.7009205033083203,3.6785967458181403,5000
LR_C1_N0_n1000_scale1,0.1,2.705543454095418,0.9634153783899195,2.6065621705777073,2.5537628053989465,5000
LR_C1_N0_n1000_scale2,0.01,6.634896601021215,1.0021349207803898,6.649061579650473,6.7603992680124065,5000
LR_C1_N0_n1000_scale2,0.05,3.8414588206941205,1.0021349207803898,3.849660030957432,3.8842589566338575,5000
LR_C1_N0_n1000_scale2,0.1,2.705543454095418,1.0021349207803898,2.7113195750378143,2.6402601388726907,5000
LR_C1_N0_n10_scale0.5,0.01,6.634896601021215,0.9286704462038462,6.161632386986755,4.236613621079796,5000
LR_C1_N0_n10_scale0.5,0.05,3.8414588206941205,0.9286704462038462,3.5674492770877095,3.268599402603975,5000
LR_C1_N0_n10_scale0.5,0.1,2.705543454095418,0.9286704462038462,2.512558246738687,2.345309753298814,5000
LR_C1_N0_n10_scale1,0.01,6.634896601021215,1.1404010704985603,7.5664431864518535,6.537198800239125,4995
LR_C1_N0_n10_scale1,0.05,3.8414588206941205,1.1404010704985603,4.380803751395712,4.119108289586606,4995
LR_C1_N0_n10_scale1,0.1,2.705543454095418,1.1404010704985603,3.0854046513307876,3.095308526601471,4995
LR_C1_N0_n10_scale2,0.01,6.634896601021215,1.1186680682404786,7.42224696363972,6.866488041983629,5000
LR_C1_N0_n10_scale2,0.05,3.8414588206941205,1.1186680682404786,4.297317318171239,4.162687834710198,5000
LR_C1_N0_n10_scale2,0.1,2.705543454095418,1.1186680682404786,3.0266050693335935,3.0730140381056685,5000
LR_C1_N0_n50_scale0.5,0.01,6.634896601021215,1.1459464115004094,7.603235950616526,7.630816428864961,5000
LR_C1_N0_n50_scale0.5,0.05,3.8414588206941205,1.1459464115004094,4.4021059505010225,4.476925085379264,5000
LR_C1_N0_n50_scale0.5,0.1,2.705543454095418,1.1459464115004094,3.1004078123790673,3.0945065311410076,5000
LR_C1_N0_n50_scale1,0.01,6.634896601021215,1.067776957262365,7.084589704388841,7.08941188210855,5000
LR_C1_N0_n50_scale1,0.05,3.8414588206941205,1.067776957262365,4.101821211009441,4.161586926590161,5000
LR_C1_N0_n50_scale1,0.1,2.705543454095418,1.067776957262365,2.8889169571551148,2.938559672878938,5000
LR_C1_N0_n50_scale2,0.01,6.634896601021215,1.0124080470243206,6.717222710048191,6.72442098703317,5000
LR_C1_N0_n50_scale2,0.05,3.8414588206941205,1.0124080470243206,3.8891238223832842,3.901391117117555,5000
LR_C1_N0_n50_scale2,0.1,2.705543454095418,1.0124080470243206,2.739113964500177,2.690530126282283,5000
LR_C1_N3_n50_scale0.5,0.01,6.634896601021215,0.8770135404999044,5.818894158912398,5.158480811035332,5000
LR_C1_N3_n50_scale0.5,0.05,3.8414588206941205,0.8770135404999044,3.369011401021538,3.316189465811874,5000
LR_C1_N3_n50_scale0.5,0.1,2.705543454095418,0.8770135404999044,2.3727982436525634,2.3897532046432275,5000
LR_C1_N3_n50_scale1,0.01,6.634896601021215,1.011108613888801,6.708601105554078,6.248607149241309,5000
LR_C1_N3_n50_scale1,0.05,3.8414588206941205,1.011108613888801,3.8841321035029406,3.7835340293862316,5000
LR_C1_N3_n50_scale1,0.1,2.705543454095418,1.011108613888801,2.7355982916863373,2.7651485993796996,5000
LR_C1_N3_n50_scale2,0.01,6.634896601021215,1.040786103608222,6.9055081812203065,6.683106902681061,5000
LR_C1_N3_n50_scale2,0.05,3.8414588206941205,1.040786103608222,3.9981369581616693,3.8943158860166704,5000
LR_C1_N3_n50_scale2,0.1,2.705543454095418,1.040786103608222,2.815892029730701,2.802650650463818,5000
LR_C1_N6_n100_scale0.5,0.01,6.634896601021215,0.5522965659947159,3.6644306084740297,4.194450884205409,5000
LR_C1_N6_n100_scale0.5,0.05,3.8414588206941205,0.5522965659947159,2.121624515079474,2.222947834501582,5000
LR_C1_N6_n100_scale0.5,0.1,2.705543454095418,0.5522965659947159,1.4942623588463817,1.435136433216968,5000
LR_C1_N6_n100_scale1,0.01,6.634896601021215,0.6194892300247282,4.110246986660319,4.150178460708844,5000
LR_C1_N6_n100_scale1,0.05,3.8414588206941205,0.6194892300247282,2.379742367003501,2.0590799442272782,5000
LR_C1_N6_n100_scale1,0.1,2.705543454095418,0.6194892300247282,1.6760550311760143,1.5274547291353429,5000
