configuration_id,configuration_label,n_p,n_q,wall_seconds,development_lr_valid_count,development_lr_valid_rate,development_lr_retry_count,development_lr_median_elapsed_ms,development_lr_p99_elapsed_ms,development_lr_max_constraint_residual,development_lr_median_iterations,development_lr_full_start_audit_count,development_lr_full_start_max_statistic_difference,validation_lr_valid_count,validation_lr_valid_rate,validation_lr_retry_count,validation_lr_median_elapsed_ms,validation_lr_p99_elapsed_ms,validation_lr_max_constraint_residual,validation_lr_median_iterations,validation_lr_full_start_audit_count,validation_lr_full_start_max_statistic_difference
LR_C1_N0_n1000_scale0.5,"Balanced, large sample",500,500,38.561597666935995,5000,1.0,0,3.7781670689582825,4.4159761071205175,8.379092142352107e-09,10.0,25,2.7593614504439756e-08,5000,1.0,0,3.7269368767738342,4.252327391877771,9.572389977896556e-09,10.0,25,2.0691004465334117e-09
LR_C1_N0_n1000_scale1,"Balanced, large sample",1000,1000,39.80192687502131,5000,1.0,0,3.887729486450553,4.41177916713059,9.924839547426068e-09,10.0,25,9.49785317061469e-09,5000,1.0,0,3.8627709727734327,4.369811401702465,9.226606617618316e-09,10.0,25,4.389221430756152e-09
LR_C1_N0_n1000_scale2,"Balanced, large sample",2000,2000,41.186289249919355,5000,1.0,0,4.032249446026981,4.550008703954519,9.894339125793294e-09,9.0,25,8.21819412522018e-09,5000,1.0,0,3.9876459632068872,4.517094304319472,9.882462667643033e-09,9.0,25,2.570232027210295e-09
LR_C1_N0_n10_scale0.5,"Balanced, very small sample",5,5,65.15573870786466,5000,1.0,0,6.638457998633385,16.887000775896027,9.856490110204952e-09,32.0,25,4.827640509574849e-09,5000,1.0,0,7.015395909547806,17.79359224718064,9.856490110204952e-09,32.0,25,4.739359127370335e-09
LR_C1_N0_n10_scale1,"Balanced, very small sample",10,10,37.65250404085964,4995,0.999,5,2.6811249554157257,11.187085001729448,9.740896880772176e-09,11.0,25,5.041634665303718e-09,4995,0.999,5,2.815874991938472,11.405713064596096,9.525368604990092e-09,11.0,25,2.182304115194711e-09
LR_C1_N0_n10_scale2,"Balanced, very small sample",20,20,36.18159691686742,5000,1.0,0,2.7316665509715676,13.380906772799793,9.992535229819133e-09,10.0,25,4.126960106987099e-09,5000,1.0,0,2.902499516494572,13.262935562524959,9.998939232147563e-09,10.0,25,8.369767101612524e-10
LR_C1_N0_n50_scale0.5,"Balanced, moderate sample",25,25,37.50798404193483,5000,1.0,0,2.8234788915142417,14.40152083989233,9.996971944703503e-09,10.0,25,3.2989362352964235e-09,5000,1.0,0,3.0204789945855737,16.58415681449698,9.998786867915221e-09,10.0,25,1.5205046111077536e-09
LR_C1_N0_n50_scale1,"Balanced, moderate sample",50,50,35.78093216591515,5000,1.0,0,3.3212915295735,9.248836513143036,9.992479912956931e-09,10.0,25,8.874678769643651e-09,5000,1.0,0,3.3028334146365523,9.426779919303963,9.982964316312959e-09,10.0,25,2.9239117793622427e-09
LR_C1_N0_n50_scale2,"Balanced, moderate sample",100,100,35.31521829217672,5000,1.0,0,3.428353928029537,4.167775521054869,9.34834284982422e-09,10.0,25,7.83273890192504e-09,5000,1.0,0,3.407041891478002,3.9398209773935386,9.41258754966201e-09,10.0,25,1.5744490156066604e-09
LR_C1_N3_n50_scale0.5,One skewed population,25,25,46.73889008304104,5000,1.0,0,3.7749166367575526,11.697934991680095,9.923163089842202e-09,14.0,25,5.887841325602494e-09,5000,1.0,0,3.7792290095239878,12.083274524193298,9.976553756729789e-09,14.0,25,8.98992880138394e-09
