configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,bartlett_lr,Constrained LR (oracle Bartlett),0.01,5000,5000,1.0,0,0.0,0.01,0.0,0.0007677019450571244
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,constrained_lr,Constrained LR (chi-squared),0.01,5000,5000,1.0,0,0.0,0.01,0.0,0.0007677019450571244
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,empirical_lr,Constrained LR (split empirical),0.01,5000,5000,1.0,56,0.0112,0.0011999999999999997,0.008635392875722448,0.014515112545765398
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,expanded_welch,Expanded Welch,0.01,5000,3928,0.7856,0,0.0,0.01,0.0,0.000977012644311025
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,normal_wald,Normal Wald,0.01,5000,4942,0.9884,576,0.11655200323755564,0.10655200323755565,0.10790197151378599,0.12579768676363434
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,simple_welch,Simple Welch,0.01,5000,4942,0.9884,576,0.11655200323755564,0.10655200323755565,0.10790197151378599,0.12579768676363434
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,bartlett_lr,Constrained LR (oracle Bartlett),0.05,5000,5000,1.0,71,0.0142,0.0358,0.011273607305690402,0.017872291904127105
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,constrained_lr,Constrained LR (chi-squared),0.05,5000,5000,1.0,71,0.0142,0.0358,0.011273607305690402,0.017872291904127105
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,empirical_lr,Constrained LR (split empirical),0.05,5000,5000,1.0,295,0.059,0.008999999999999994,0.052801227987900407,0.06587588512763998
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,expanded_welch,Expanded Welch,0.05,5000,3928,0.7856,0,0.0,0.05,0.0,0.000977012644311025
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,normal_wald,Normal Wald,0.05,5000,4942,0.9884,864,0.17482800485633346,0.12482800485633345,0.16449219237949683,0.1856689426346533
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,simple_welch,Simple Welch,0.05,5000,4942,0.9884,576,0.11655200323755564,0.06655200323755564,0.10790197151378599,0.12579768676363434
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,bartlett_lr,Constrained LR (oracle Bartlett),0.1,5000,5000,1.0,437,0.0874,0.0126,0.07988520275826139,0.09554830488679977
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,constrained_lr,Constrained LR (chi-squared),0.1,5000,5000,1.0,437,0.0874,0.0126,0.07988520275826139,0.09554830488679977
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,empirical_lr,Constrained LR (split empirical),0.1,5000,5000,1.0,513,0.1026,0.002599999999999991,0.09449212557428169,0.11131804393164971
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,expanded_welch,Expanded Welch,0.1,5000,3928,0.7856,0,0.0,0.1,0.0,0.000977012644311025
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,normal_wald,Normal Wald,0.1,5000,4942,0.9884,1146,0.23188992310805343,0.13188992310805342,0.2203343360098292,0.2438619949757022
LR_C1_N0_n10_scale0.5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.09999999999999987,0.7005134345964756,simple_welch,Simple Welch,0.1,5000,4942,0.9884,807,0.1632942128692837,0.06329421286928369,0.15325093114355565,0.1738605365997834
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,bartlett_lr,Constrained LR (oracle Bartlett),0.01,5000,5000,1.0,42,0.0084,0.0016000000000000007,0.006220654387306615,0.011334150165073551
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,constrained_lr,Constrained LR (chi-squared),0.01,5000,5000,1.0,46,0.0092,0.0008000000000000004,0.0069047385482477065,0.012248837681020369
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,empirical_lr,Constrained LR (split empirical),0.01,5000,5000,1.0,42,0.0084,0.0016000000000000007,0.006220654387306615,0.011334150165073551
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,expanded_welch,Expanded Welch,0.01,5000,5000,1.0,39,0.0078,0.0022000000000000006,0.005711256209150136,0.010644469585564097
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,normal_wald,Normal Wald,0.01,5000,5000,1.0,43,0.0086,0.0014000000000000002,0.0063911756315949385,0.011563321840007208
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,simple_welch,Simple Welch,0.01,5000,5000,1.0,42,0.0084,0.0016000000000000007,0.006220654387306615,0.011334150165073551
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,bartlett_lr,Constrained LR (oracle Bartlett),0.05,5000,5000,1.0,231,0.0462,0.0038000000000000048,0.0407216699236964,0.05237509636163745
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,constrained_lr,Constrained LR (chi-squared),0.05,5000,5000,1.0,242,0.0484,0.0016000000000000042,0.04279030408863613,0.05470308430813947
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,empirical_lr,Constrained LR (split empirical),0.05,5000,5000,1.0,236,0.0472,0.002800000000000004,0.041661525804974855,0.053433705076468885
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,expanded_welch,Expanded Welch,0.05,5000,5000,1.0,228,0.0456,0.004400000000000001,0.04015811220817567,0.05173957531949226
LR_C1_N0_n1000_scale0.5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.09999999999999987,70.05134345964755,normal_wald,Normal Wald,0.05,5000,5000,1.0,237,0.0474,0.002600000000000005,0.04184958432057469,0.05364533948009102
